run_id,variant,seed,score_source,model_type,target_mode,excluded_features,diffusion_steps,diffusion_restart,endpoint_penalty,region_risk_penalty,candidate_limit,best_epoch,test_correlation,gpu_training_seconds,peak_gpu_memory_mb,method,train_query_count,evaluation_split,evaluation_query_count,region_count,region_size,shortcut_count,internal_node_count,compressed_node_count,compressed_edge_count,fallback_query_count,fallback_rate_pct,preprocessing_seconds,evaluation_wall_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,expanded_change_pct,faster_query_rate_pct,correctness_rate
demand_overlap_target__seed1,demand_overlap_target,1,gnn,graph_sage,demand_overlap,,3,0.4,2.0,200.0,80000,198,0.8549903631210327,1.4370999069651589,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,42355,40866,92973,194606,9260,62.941816204458945,100.06029660196509,40.96146562695503,12.064053474846583,11.4870948349584,-4.782460895843466,53.72402190696452,50.864842481678366,-5.321975763909636,10296.482803153887,9219.037656334966,-10.464205762465728,59.815116911364875,1
demand_overlap_target__seed2,demand_overlap_target,2,gnn,graph_sage,demand_overlap,,3,0.4,2.0,200.0,80000,199,0.856714129447937,1.3879168670391664,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,40879,40936,92903,192932,9253,62.89423599782491,99.1551008579554,39.55619802302681,12.305707885236659,11.684455032119628,-5.048493422002631,54.27552494802514,51.819735794561005,-4.524671398048796,10296.482803153887,9217.68297988037,-10.477362453740735,59.73355084284937,1
demand_overlap_target__seed3,demand_overlap_target,3,gnn,graph_sage,demand_overlap,,3,0.4,2.0,200.0,80000,200,0.8574054837226868,1.4313983600586653,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,42996,40887,92952,194326,9029,61.37166938553562,100.91561834700406,39.45528032805305,12.256977563048029,11.69340128181197,-4.598003694933006,54.241648002062206,51.43654578132558,-5.171491508941584,10296.482803153887,9227.780587275693,-10.379293942498924,58.496465470364335,1
demand_overlap_target__seed4,demand_overlap_target,4,gnn,graph_sage,demand_overlap,,3,0.4,2.0,200.0,80000,200,0.8602617979049683,1.378321428084746,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,42224,40914,92925,193762,9394,63.852637302882,100.15491432999261,39.63865383004304,12.089675840320758,11.457006018119472,-5.233141322873558,53.66854474414147,50.620630074990956,-5.6791453609951414,10296.482803153887,9166.000815660685,-10.979302438565986,61.27650897226754,1
demand_overlap_target__seed5,demand_overlap_target,5,gnn,graph_sage,demand_overlap,,3,0.4,2.0,200.0,80000,200,0.8563411235809326,1.4355410860152915,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,42156,40898,92941,193404,9119,61.98341489940184,98.76346594293136,40.18593500403222,12.109263378205657,11.464457828642056,-5.324894912469469,53.878338402137224,50.77501875930471,-5.75986516078123,10296.482803153887,9165.978724850462,-10.979516985714232,61.08618814573138,1
diffusion_steps_0__seed1,diffusion_steps_0,1,gnn,graph_sage,midpoint,,0,0.4,2.0,200.0,80000,200,0.4677647352218628,1.3564879469340667,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,39435,40890,92949,191870,5641,38.34284937466014,99.93078860791866,38.334979164996184,12.465310350217836,10.62130893009712,-14.793064659545285,54.938355123158544,46.8806601536926,-14.66679326565663,10296.482803153887,8089.190864600327,-21.43733914533855,71.1731919521479,1
diffusion_steps_0__seed2,diffusion_steps_0,2,gnn,graph_sage,midpoint,,0,0.4,2.0,200.0,80000,200,0.4634186029434204,1.4267561230808496,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,37067,40961,92878,188607,5938,40.36160957041871,100.3863895139657,39.719542362960055,12.354323179243615,10.583928835594975,-14.33016052731293,54.407442203955725,47.28236128576101,-13.095783645709924,10296.482803153887,8170.205478520936,-20.65052081650306,71.11201740076129,1
diffusion_steps_0__seed3,diffusion_steps_0,3,gnn,graph_sage,midpoint,,0,0.4,2.0,200.0,80000,200,0.47783172130584717,1.3575461510336027,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,38999,40878,92961,191810,5732,38.96139206090267,101.11524289590307,37.72570606798399,12.217254072888979,10.441861800151072,-14.531843752661555,53.97241219179715,46.63655309705065,-13.59186813566472,10296.482803153887,8115.430668841762,-21.182496741936507,72.62098966829798,1
diffusion_steps_0__seed4,diffusion_steps_0,4,gnn,graph_sage,midpoint,,0,0.4,2.0,200.0,80000,200,0.4649052917957306,1.4310074630193412,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,41649,40846,92993,193628,5976,40.61990212071778,101.00698381802067,38.49630380794406,12.506094771883195,10.825613866815084,-13.437295460500176,55.45552855473947,47.877453407272725,-13.6651391573818,10296.482803153887,8214.435290918978,-20.220958477172058,70.66340402392605,1
diffusion_steps_0__seed5,diffusion_steps_0,5,gnn,graph_sage,midpoint,,0,0.4,2.0,200.0,80000,200,0.4763728976249695,1.3799481741152704,359.54638671875,gnn_v1_budget_matched,68657,validation,14712,85,512,40162,40888,92951,191653,5314,36.12017400761283,100.38967309391592,39.83585302904248,12.551135247823431,10.795000624169898,-13.991838897266884,55.86372675024905,48.176791705191135,-13.760154383226219,10296.482803153887,8197.40715062534,-20.386336700194217,70.95568243610658,1
