method,region_id,seed_node,seed_score,node_count,boundary_count
gnn_v1_budget_matched,0,12459096107,0.38364092,512,46
gnn_v1_budget_matched,1,1147305957,0.30826974,512,26
gnn_v1_budget_matched,2,1487204360,0.30612838,512,26
gnn_v1_budget_matched,3,11364764806,0.31069213,512,32
gnn_v1_budget_matched,4,11406500727,0.33898473,512,33
gnn_v1_budget_matched,5,2092787438,0.3714954,512,26
gnn_v1_budget_matched,6,6819834234,0.31254506,512,27
gnn_v1_budget_matched,7,1146570134,0.25504827,512,43
gnn_v1_budget_matched,8,10884254804,0.30597854,512,44
gnn_v1_budget_matched,9,1164520682,0.23158461,512,33
gnn_v1_budget_matched,10,429854616,0.24011946,512,39
gnn_v1_budget_matched,11,1322623837,0.19688712,512,32
gnn_v1_budget_matched,12,4457269828,0.3125259,512,56
gnn_v1_budget_matched,13,4720708097,0.33081684,512,43
gnn_v1_budget_matched,14,1474720662,0.24121754,512,39
gnn_v1_budget_matched,15,3250683236,0.33700326,512,25
gnn_v1_budget_matched,16,5185113753,0.27361503,512,27
gnn_v1_budget_matched,17,1551011811,0.19379586,512,33
gnn_v1_budget_matched,18,3573222093,0.18593954,512,26
gnn_v1_budget_matched,19,9451027037,0.25887221,512,31
gnn_v1_budget_matched,20,12086013501,0.40092337,512,34
gnn_v1_budget_matched,21,4505162229,0.25867134,512,16
gnn_v1_budget_matched,22,5570669125,0.16229539,512,35
gnn_v1_budget_matched,23,4412467945,0.15843698,512,29
gnn_v1_budget_matched,24,8882800564,0.16551453,512,28
gnn_v1_budget_matched,25,5271116864,0.15741396,512,28
gnn_v1_budget_matched,26,1788785538,0.25532562,512,31
gnn_v1_budget_matched,27,1419378941,0.1475776,512,18
gnn_v1_budget_matched,28,263576193,0.14098808,512,32
gnn_v1_budget_matched,29,8267921471,0.23385823,512,29
gnn_v1_budget_matched,30,6228577725,0.19599299,512,24
gnn_v1_budget_matched,31,2292618102,0.13645309,512,33
gnn_v1_budget_matched,32,3394631637,0.14311017,512,30
gnn_v1_budget_matched,33,9074189730,0.25465927,512,41
gnn_v1_budget_matched,34,6910740839,0.12905969,512,38
gnn_v1_budget_matched,35,1264279315,0.24557269,512,31
