node_id,seed_score,endpoint_risk,train_proxy_target,validation_proxy_target,test_proxy_target,selected_region_id
25503936,0.15492339,0.00234101,0.02379260,0.04086759,0.11616967,
25503937,0.08198504,0.00065976,0.08207607,0.11989275,0.00976729,
25503938,0.12978455,0.01068186,0.09697803,0.02427694,0.00720332,
25503940,0.19694901,0.02711980,0.09797304,0.19635572,0.10677934,
25503943,0.11149003,0.00475994,0.06444313,0.20505388,0.00000000,
25503951,0.08517730,0.00000000,0.21442145,0.06212898,0.04226094,
25503952,0.06910156,0.00000000,0.06392948,0.21010673,0.00000000,
25503953,0.06435542,0.00000000,0.05873866,0.10087962,0.00000000,
25503962,0.08282028,0.00000000,0.06478854,0.01669288,0.11006496,
25503965,0.04323874,0.00000000,0.03005550,0.07961438,0.11815352,
25503966,0.04338269,0.00000000,0.00224034,0.21164852,0.06042508,
25503967,0.04396494,0.00049514,0.00000000,0.03895710,0.01931038,
25503969,0.07289766,0.00364025,0.00222415,0.19331636,0.11175737,
25503977,0.08874825,0.00428129,0.02188345,0.11521396,0.00000000,
25503993,0.07358225,0.00900508,0.03310816,0.06770320,0.00960715,
25503994,0.05822007,0.00065976,0.03469554,0.13677122,0.00000000,
25503995,0.06422039,0.00098834,0.03753422,0.14316151,0.00000000,
25503996,0.07502259,0.00364025,0.02787034,0.10608353,0.00000000,
25503998,0.05371144,0.00364025,0.03139457,0.01494450,0.00000000,
25503999,0.04055276,0.00099028,0.00832505,0.00000000,0.00000000,
25504000,0.04716191,0.00364025,0.06559631,0.00000000,0.00000000,
25504002,0.05646924,0.00838766,0.05195131,0.00000000,0.00000000,
25504003,0.11161841,0.00000000,0.06815441,0.15963565,0.20454170,
25504005,0.05221318,0.00000000,0.11441742,0.06456797,0.14245997,
25504006,0.04915957,0.00000000,0.11417849,0.00759448,0.06466576,
25504007,0.05146611,0.00000000,0.08228736,0.00000000,0.00735721,
25504008,0.05039413,0.00000000,0.00999053,0.00000000,0.00000000,
25504010,0.04774690,0.00000000,0.03370444,0.00000000,0.00000000,
25504011,0.05597514,0.00000000,0.05480385,0.00000000,0.00000000,
25504013,0.09527183,0.00076938,0.04180907,0.01666723,0.01296844,
25504017,0.04920496,0.00000000,0.06398322,0.20735164,0.35261118,
25504018,0.04875158,0.00000000,0.01778261,0.03195599,0.03777746,
25504021,0.05744793,0.00000000,0.04005887,0.19472378,0.05180800,
25504024,0.06473918,0.00000000,0.00723868,0.10882910,0.05180800,
25504025,0.07433997,0.00000000,0.02754699,0.01505330,0.00735721,
25504027,0.08554784,0.00000000,0.07312785,0.01669288,0.01298839,
25504120,0.14526105,0.00142799,0.05732192,0.11329009,0.10975151,
25504123,0.19009934,0.01252818,0.05448063,0.05580949,0.04841172,
25504126,0.10095148,0.00082416,0.01667633,0.00506994,0.00491154,
25504135,0.11616620,0.00214066,0.01806427,0.00505665,0.00000000,
25504141,0.08906161,0.00044022,0.00870087,0.11351370,0.00000000,
25504147,0.08041679,0.00033031,0.00943534,0.05119114,0.00000000,
25504151,0.10009369,0.00428129,0.06370635,0.05302459,0.00000000,
25504153,0.11131899,0.01179689,0.03595915,0.05224594,0.00000000,
25504154,0.08672260,0.00115232,0.01450461,0.00757701,0.00000000,
25504156,0.07370542,0.00000000,0.01453804,0.00000000,0.00000000,
25504157,0.05923114,0.00049514,0.01668729,0.00000000,0.00000000,
25504158,0.06230536,0.00065976,0.02540196,0.00000000,0.00000000,
25504163,0.18205023,0.00904742,0.00293148,0.00333209,0.00483220,
