region_id,seed_node,seed_score,node_count,boundary_count
0,12459096107,0.38348588,512,46
1,1147305957,0.30819798,512,26
2,1487204360,0.30610019,512,26
3,11364764806,0.31062073,512,32
4,11406500727,0.33893225,512,33
5,2092787438,0.37146273,512,26
6,6819834234,0.31255054,512,27
7,1146570134,0.25506392,512,43
8,10884254804,0.30601758,512,44
9,1164520682,0.23167285,512,33
10,429854616,0.24017836,512,39
11,1322623837,0.19691472,512,32
12,4457269828,0.31259832,512,56
13,4720708097,0.33091211,512,43
14,1474720662,0.24127096,512,39
15,3250683236,0.33707219,512,25
16,5185113753,0.27364570,512,27
17,1551011811,0.19380793,512,33
18,3573222093,0.18595776,512,26
19,9451027037,0.25894478,512,31
20,12086013501,0.40095365,512,34
21,4505162229,0.25867018,512,16
22,5570669125,0.16234104,512,35
23,4412467945,0.15845209,512,29
24,8882800564,0.16557246,512,28
25,5271116864,0.15740225,512,28
26,1788785538,0.25532132,512,31
27,1419378941,0.14756513,512,18
28,263576193,0.14100964,512,32
29,8267921471,0.23385341,512,29
30,6228577725,0.19604759,512,24
31,2292618102,0.13646494,512,33
32,3394631637,0.14312194,512,30
33,9074189730,0.25475129,512,41
34,6910740839,0.12905532,512,38
35,1264279315,0.24561012,512,31
36,8075429988,0.15598258,512,48
37,12071873508,0.22501545,512,42
38,478929323,0.30354908,512,32
39,497870665,0.30061901,512,37
40,12291327686,0.12221280,512,35
41,3556425400,0.13510603,512,28
42,1548181545,0.12416216,512,26
43,12228247401,0.12132800,512,38
44,4763870029,0.10521507,512,32
45,4749945205,0.40792868,512,50
46,1141655164,0.10410227,512,23
47,1262328921,0.10338753,512,17
48,7859533483,0.13180289,512,29
49,1866964599,0.10368761,512,27
50,8245495707,0.16519964,512,33
51,1025584822,0.08957206,512,26
52,280065156,0.10544135,512,37
53,10892455136,0.23715772,512,25
54,9002376039,0.09552696,512,42
55,478646555,0.24595413,512,21
56,4488753666,0.36792663,512,34
57,12304907866,0.07878412,512,37
58,2854226007,0.07845921,512,27
59,1801521576,0.07510045,512,37
60,9598450079,0.07324213,512,18
61,1687477875,0.07668994,512,43
62,1520375253,0.07301889,512,30
63,9926934758,0.07329074,512,17
64,2291588720,0.07126923,512,31
65,11394389733,0.06867900,512,12
66,2749809980,0.42504245,512,50
67,4614421821,0.06882828,512,30
68,12708651396,0.34892297,512,56
69,1640742702,0.07028504,512,32
70,1382334080,0.06231761,512,24
71,1314136512,0.06238133,512,24
72,293057147,0.05794712,512,31
73,3137464296,0.05655442,512,28
74,4898201813,0.05632364,512,20
75,276929971,0.05493478,512,11
76,1451029592,0.05478368,512,25
77,1436602974,0.05151485,512,22
78,1650416988,0.05115198,512,30
79,9887069685,0.05154709,512,31
80,3146277561,0.04706922,512,17
81,13039741161,0.04400098,512,33
82,11948679772,0.04533264,512,21
83,1437037509,0.04019533,512,31
84,1235201992,0.04008179,512,31
85,1323015359,0.03697948,512,22
86,2089112348,0.03550329,512,23
87,1801524378,0.03312194,512,28
88,1549683040,0.03538440,512,36
89,480496458,0.13092105,512,24
90,1437366922,0.03166829,512,15
91,1318772735,0.03247343,512,37
92,3715259897,0.03091024,512,17
93,702048303,0.02794269,512,27
94,13278805903,0.02652168,512,30
95,3521762575,0.02459328,512,21
96,1158156522,0.02373725,512,37
97,424016795,0.03361390,512,43
98,1324808104,0.02186580,512,26
99,1520428588,0.02170818,512,25
