source,target,length_m,highway,osm_way_id
26099532,258489909,35.474,secondary,4309527
258489909,26099532,35.474,secondary,4309527
258489909,656669549,22.544,secondary,4309527
656669549,258489909,22.544,secondary,4309527
656669549,258489910,28.386,secondary,4309527
258489910,656669549,28.386,secondary,4309527
258489910,258489911,52.401,secondary,4309527
258489911,258489910,52.401,secondary,4309527
258489911,4334560481,13.19,secondary,4309527
4334560481,258489911,13.19,secondary,4309527
4070185565,4070185566,12.93,tertiary,4309528
4070185566,4070185563,59.868,tertiary,4309528
4070185563,4070185576,5.847,tertiary,4309528
4070185576,32873349,21.141,tertiary,4309528
26099542,4070508903,9.084,residential,4309529
4070508903,26099542,9.084,residential,4309529
4070508903,3338544243,69.113,residential,4309529
3338544243,4070508903,69.113,residential,4309529
3338544243,262418818,44.47,residential,4309529
262418818,3338544243,44.47,residential,4309529
262418818,9374007952,144.148,residential,4309529
9374007952,262418818,144.148,residential,4309529
9374007952,26099537,8.603,residential,4309529
26099537,9374007952,8.603,residential,4309529
4334157068,4006808136,7.295,primary,4319823
4006808136,4334157068,7.295,primary,4319823
4006808136,261240213,132.752,primary,4319823
261240213,4006808136,132.752,primary,4319823
261240213,9297379954,276.686,primary,4319823
9297379954,261240213,276.686,primary,4319823
9297379954,277670424,10.482,primary,4319823
277670424,9297379954,10.482,primary,4319823
277670424,5498091907,7.85,primary,4319823
5498091907,277670424,7.85,primary,4319823
5498091907,5498091896,45.713,primary,4319823
5498091896,5498091907,45.713,primary,4319823
5498091896,5498091868,14.823,primary,4319823
5498091868,5498091896,14.823,primary,4319823
5498091868,5498091862,91.814,primary,4319823
5498091862,5498091868,91.814,primary,4319823
5498091862,9297379949,12.169,primary,4319823
9297379949,5498091862,12.169,primary,4319823
9297379949,1438083136,10.204,primary,4319823
1438083136,9297379949,10.204,primary,4319823
1438083136,9297379951,10.715,primary,4319823
9297379951,1438083136,10.715,primary,4319823
9297379951,5498125685,16.877,primary,4319823
5498125685,9297379951,16.877,primary,4319823
5498125685,4334157067,47.056,primary,4319823
4334157067,5498125685,47.056,primary,4319823
258016930,4336079673,241.367,motorway,4341221
26703640,2998908270,33.684,motorway_link,4377106
2998908270,4334551538,159.215,motorway_link,4377106
26703891,26703892,32.067,motorway_link,4377123
26703892,26703890,41.61,motorway_link,4377123
26703890,26703889,40.037,motorway_link,4377123
26703889,26703888,84.62,motorway_link,4377123
26703888,4337248983,25.04,motorway_link,4377123
25779161,25779162,64.523,motorway,4378009
25779162,2998820416,67.18,motorway,4378009
2998820416,2998820415,31.08,motorway,4378009
2998820415,25779163,55.524,motorway,4378009
25779163,739968328,135.594,motorway,4378009
26703897,26704162,127.586,motorway,4388261
26704162,8454014149,114.457,motorway,4388261
26703423,3001458782,74.509,motorway,4388264
3001458782,2995226785,97.723,motorway,4388264
2995226785,310319149,189.428,motorway,4388264
26792886,26792885,74.256,motorway,4388268
26792885,2998820419,41.699,motorway,4388268
2998820419,26704028,39.966,motorway,4388268
26704028,26704125,33.019,motorway,4388268
26704125,26704126,37.977,motorway,4388268
26704126,26704127,42.809,motorway,4388268
26704127,26704128,42.637,motorway,4388268
26704128,309816381,29.063,motorway,4388268
26704171,26704172,88.311,motorway,4388270
347267029,7015655604,88.256,motorway,4388492
7015655604,7015655605,51.207,motorway,4388492
7015655605,347265942,93.569,motorway,4388492
347265942,7015655606,138.273,motorway,4388492
7015655606,25779203,91.169,motorway,4388492
258487701,258487702,21.706,motorway,4388611
258487702,258487384,36.275,motorway,4388611
258487384,258487385,48.341,motorway,4388611
258487385,26794400,36.862,motorway,4388611
26794400,26794401,92.88,motorway,4388611
26794401,258487313,226.416,motorway,4388611
26794508,26794509,54.841,motorway,4388612
26794509,26794510,45.697,motorway,4388612
26794510,26794511,50.775,motorway,4388612
26794511,7981531529,246.96,motorway,4388612
7981531529,26794514,347.214,motorway,4388612
26794514,2650379807,89.31,motorway,4388612
2650379807,26794515,217.437,motorway,4388612
26794515,519550469,83.355,motorway,4388612
519550469,257973326,46.255,motorway,4388612
4335556804,1984851610,58.839,motorway_link,4388614
1984851610,4066276034,37.583,motorway_link,4388614
4066276034,26794540,10.372,motorway_link,4388614
26794550,26794625,197.693,residential,4388625
26794625,26794583,202.132,residential,4388625
26794583,8474749719,1.188,residential,4388625
8474749719,26794590,200.24,residential,4388625
26794590,26794594,202.857,residential,4388625
26794594,257168666,202.887,residential,4388625
257168666,1472184018,191.718,residential,4388625
1472184018,257157207,10.028,residential,4388625
257157207,257173247,203.136,residential,4388625
257173247,257157208,202.365,residential,4388625
257157208,257173201,330.06,residential,4388625
257173201,4621449610,73.021,residential,4388625
4621449610,257157209,99.926,residential,4388625
26794626,26794627,198.609,residential,4388626
26794584,26794626,201.657,residential,4388626
8474749718,26794584,1.066,residential,4388626
4612985931,8474749718,50.984,residential,4388626
26794589,4612985931,148.776,residential,4388626
26794595,26794589,203.167,residential,4388626
1439714760,26794595,53.625,residential,4388626
257157070,1439714760,149.493,residential,4388626
257157067,257157070,201.343,residential,4388626
1472184031,257157067,11.348,residential,4388626
257173248,1472184031,191.531,residential,4388626
257157069,257173248,201.957,residential,4388626
1317862204,1319004309,184.358,residential,4388627
1319004309,1319004307,10.011,residential,4388627
1319004307,1319004316,121.127,residential,4388627
1319004316,8121644247,13.284,residential,4388627
8121644247,1319004305,9.489,residential,4388627
1319004305,5357659407,43.692,residential,4388627
5357659407,8474749722,10.105,residential,4388627
8474749722,26794577,1.371,residential,4388627
4332812778,5495961777,94.936,primary,4431848
5495961777,4332812778,94.936,primary,4431848
5495961777,157713681,11.639,primary,4431848
157713681,5495961777,11.639,primary,4431848
157713681,734819582,20.372,primary,4431848
734819582,157713681,20.372,primary,4431848
734819582,734819583,20.967,primary,4431848
734819583,734819582,20.967,primary,4431848
734819583,157713680,17.99,primary,4431848
157713680,734819583,17.99,primary,4431848
157713680,734819584,18.545,primary,4431848
734819584,157713680,18.545,primary,4431848
734819584,734819585,27.225,primary,4431848
734819585,734819584,27.225,primary,4431848
734819585,157713679,22.221,primary,4431848
157713679,734819585,22.221,primary,4431848
157713679,734819586,20.448,primary,4431848
734819586,157713679,20.448,primary,4431848
734819586,157713677,111.781,primary,4431848
157713677,734819586,111.781,primary,4431848
157713677,734819587,32.415,primary,4431848
734819587,157713677,32.415,primary,4431848
734819587,157713676,14.27,primary,4431848
157713676,734819587,14.27,primary,4431848
157713676,734819588,18.476,primary,4431848
734819588,157713676,18.476,primary,4431848
734819588,157713674,27.143,primary,4431848
157713674,734819588,27.143,primary,4431848
157713674,734816113,28.654,primary,4431848
734816113,157713674,28.654,primary,4431848
734816113,157713673,37.818,primary,4431848
157713673,734816113,37.818,primary,4431848
157713673,734816114,28.982,primary,4431848
734816114,157713673,28.982,primary,4431848
734816114,157713671,31.313,primary,4431848
157713671,734816114,31.313,primary,4431848
157713671,734816115,17.518,primary,4431848
734816115,157713671,17.518,primary,4431848
734816115,157713670,25.75,primary,4431848
157713670,734816115,25.75,primary,4431848
157713670,734816116,17.676,primary,4431848
734816116,157713670,17.676,primary,4431848
734816116,157713669,22.984,primary,4431848
157713669,734816116,22.984,primary,4431848
29412098,9318954741,12.316,secondary,4476709
9318954741,6774908215,76.54,secondary,4476709
6774908215,262072488,21.845,secondary,4476709
262072488,6938081348,74.873,secondary,4476709
6938081348,365028094,14.568,secondary,4476709
365028094,5844638553,78.04,secondary,4476709
5844638553,29412101,10.227,secondary,4476709
29412101,5844638551,9.151,secondary,4476709
5844638551,4980136424,33.117,secondary,4476709
4980136424,5821500494,7.496,secondary,4476709
5821500494,5821500496,17.647,secondary,4476709
5821500496,5844638545,10.917,secondary,4476709
5844638545,29412102,10.917,secondary,4476709
27440233,2423569101,13.367,secondary,4476710
2423569101,1884311495,58.055,secondary,4476710
1884311495,27440229,68.474,secondary,4476710
27440229,8838345383,15.005,secondary,4476710
8838345383,2180600382,8.983,secondary,4476710
2180600382,2180600360,16.689,secondary,4476710
2180600360,2180600372,17.154,secondary,4476710
2180600372,1884311483,13.808,secondary,4476710
1884311483,27440235,62.07,secondary,4476710
27440235,736686544,34.214,secondary,4476711
736686544,1884311460,45.0,secondary,4476711
1884311460,27440236,8.092,secondary,4476711
27440236,27440237,46.565,secondary,4476711
27440237,2284331784,3.369,secondary,4476711
2284331784,1884311456,28.324,secondary,4476711
1884311456,740237183,5.628,secondary,4476711
