node_id,lon,lat,x_m,y_m
25778862,-87.661656,41.9035946,445120.458,4639284.174
25779160,-87.6614873,41.9021928,445133.25,4639128.427
25779161,-87.6609207,41.9009018,445179.143,4638984.728
25779162,-87.6606833,41.9003484,445198.361,4638923.134
25779163,-87.6600892,41.8990364,445246.519,4638777.086
25779166,-87.658834,41.8966675,445348.617,4638513.272
25779167,-87.6582552,41.8959998,445396.061,4638438.771
25779169,-87.6577192,41.8954934,445440.093,4638382.205
25779172,-87.6574225,41.8952516,445464.499,4638355.17
25779173,-87.6571137,41.8950178,445489.917,4638329.016
25779174,-87.6559762,41.8943014,445583.669,4638248.753
25779176,-87.6548686,41.8935372,445674.902,4638163.204
25779177,-87.6536133,41.8927047,445778.333,4638069.98
25779178,-87.6528337,41.8922288,445842.605,4638016.649
25779179,-87.6517274,41.8915136,445933.778,4637936.545
25779184,-87.6475258,41.888344,446279.681,4637581.993
25779186,-87.6466145,41.8869727,446354.138,4637429.171
25779187,-87.6462193,41.8859287,446386.053,4637313.011
25779189,-87.646069,41.8842651,446397.132,4637128.212
25779203,-87.644383,41.8577727,446514.936,4634185.785
25779204,-87.6443467,41.8570535,446517.349,4634105.912
25779213,-87.650674,41.8455407,445982.477,4632831.644
25779214,-87.6518676,41.8452574,445883.148,4632800.941
25779215,-87.6527077,41.8449552,445813.149,4632767.919
25779216,-87.6577887,41.8427836,445389.483,4632530.032
25779217,-87.6620843,41.840616,445030.999,4632292.111
25779219,-87.6669125,41.8379524,444627.844,4631999.482
25779220,-87.6678721,41.8376508,444547.91,4631966.615
25779221,-87.6683828,41.8375443,444505.415,4631955.121
25779222,-87.6692527,41.8374203,444433.081,4631941.916
25779223,-87.6784039,41.8372223,443673.095,4631925.893
25779224,-87.6791172,41.8371809,443613.834,4631921.765
25779225,-87.6800752,41.8370447,443534.172,4631907.272
25779226,-87.6809108,41.8368356,443464.609,4631884.606
25779227,-87.6816582,41.8366001,443402.345,4631858.952
25779229,-87.6988342,41.8312117,441971.358,4631272.156
25779232,-87.7315703,41.8209093,439243.315,4630150.948
25779233,-87.7397758,41.8183413,438559.392,4629871.667
25779234,-87.7416989,41.8178603,438399.211,4629819.641
25779235,-87.7430619,41.8175286,438285.69,4629783.791
25779236,-87.7437643,41.8173095,438227.141,4629759.97
25779237,-87.7455323,41.8166175,438079.634,4629684.412
25779238,-87.7495577,41.8152191,437743.947,4629532.062
25779239,-87.762545,41.8111245,436661.219,4629086.944
26098007,-87.6206947,41.8479233,448473.216,4633077.754
26098008,-87.6226635,41.8478853,448309.745,4633074.718
26098009,-87.623841,41.8478274,448211.948,4633068.999
26098011,-87.6244981,41.8477374,448157.326,4633059.403
26098012,-87.6254503,41.8475177,448078.101,4633035.586
26098013,-87.6264293,41.8472359,447996.601,4633004.891
26098015,-87.6271723,41.8470401,447934.761,4632983.602
26098016,-87.6275907,41.8469622,447899.964,4632975.207
26098027,-87.636332,41.8472219,447174.507,4633009.38
26098028,-87.6424665,41.8470594,446665.11,4632995.13
26098029,-87.6438228,41.8467491,446552.257,4632961.522
26098031,-87.645335,41.8461471,446426.217,4632895.626
26098032,-87.6463192,41.8458125,446344.232,4632859.091
26098033,-87.6478072,41.8455298,446220.464,4632828.634
26098036,-87.6505412,41.8452632,445993.268,4632800.75
26098037,-87.6514442,41.8450315,445918.107,4632775.594
26098039,-87.6525328,41.8446216,445827.387,4632730.77
26098040,-87.657115,41.8427392,445445.377,4632524.674
26098041,-87.6619146,41.840397,445044.901,4632267.687
26098045,-87.6646373,41.8388509,444817.521,4632097.775
26098046,-87.6686559,41.8372567,444482.491,4631923.366
26098048,-87.6701672,41.8371412,444356.91,4631911.52
26098049,-87.6779178,41.8369884,443713.25,4631899.605
26098050,-87.679298,41.8369076,443598.582,4631891.54
26098052,-87.6798289,41.8368267,443554.431,4631882.907
26098053,-87.6808675,41.8365739,443467.974,4631855.522
26098057,-87.6987738,41.8309546,441976.141,4631243.571
26098058,-87.7134448,41.8263382,440753.646,4630741.041
26098060,-87.7213385,41.8238565,440095.815,4630470.981
26098061,-87.7314704,41.8206633,439251.379,4630123.565
26098063,-87.7408774,41.8177715,438467.355,4629809.193
26098065,-87.7430546,41.8172502,438286.029,4629752.876
26098066,-87.7438511,41.8169906,438219.626,4629724.626
26098067,-87.7455151,41.8163249,438080.78,4629651.914
26098070,-87.7468153,41.815829,437972.312,4629597.793
26098095,-87.6172234,41.85946,448770.593,4634356.559
26098097,-87.6176192,41.8603344,448738.44,4634453.877
26098098,-87.6181591,41.8616473,448694.678,4634599.967
26098101,-87.6191804,41.8658271,448613.26,4635064.648
26098103,-87.6191634,41.8666499,448615.33,4635155.991
26098105,-87.6190604,41.8669631,448624.128,4635190.703
26098106,-87.6189176,41.8672078,448636.175,4635217.786
26098107,-87.6175383,41.8687248,448751.855,4635385.389
26098109,-87.6171837,41.869225,448781.682,4635440.713
26098110,-87.6169966,41.8697395,448797.62,4635497.725
26098113,-87.6172207,41.880924,448787.952,4636739.642
26098153,-87.6256626,41.9092061,448110.406,4639884.806
26098155,-87.6257802,41.9110905,448102.179,4640094.098
