query_id,origin,destination,query_type,source_hotspot,target_hotspot,count
1,118822,93718,hotspot_to_random,13,-1,1
2,117816,236093,random,-1,-1,1
3,194371,96198,hotspot_to_random,16,-1,1
4,114213,173819,hotspot_to_hotspot,11,9,1
5,23753,108607,hotspot_to_random,8,-1,1
6,52493,33796,hotspot_to_hotspot,2,7,1
7,135065,227099,hotspot_to_hotspot,10,14,1
8,118879,239031,hotspot_to_hotspot,13,4,1
9,204869,24924,hotspot_to_hotspot,17,15,1
10,13941,221962,hotspot_to_hotspot,8,5,1
11,233807,204673,hotspot_to_hotspot,16,1,1
12,227127,206383,hotspot_to_random,14,-1,1
13,23215,134981,hotspot_to_hotspot,12,10,1
14,227185,53166,hotspot_to_hotspot,14,3,1
15,23112,149455,hotspot_to_random,12,-1,1
16,193789,114453,hotspot_to_hotspot,16,11,1
17,223158,181443,hotspot_to_hotspot,5,19,1
18,138906,207848,hotspot_to_hotspot,20,17,1
19,227054,182307,hotspot_to_hotspot,14,9,1
20,173183,24902,hotspot_to_hotspot,9,15,1
21,204463,17465,hotspot_to_hotspot,1,7,1
22,24235,227477,hotspot_to_hotspot,15,14,1
23,226805,135685,hotspot_to_hotspot,14,10,1
24,24192,227205,hotspot_to_hotspot,8,14,1
25,29421,33794,hotspot_to_hotspot,3,7,1
26,135011,106270,hotspot_to_hotspot,10,18,1
27,201116,208571,hotspot_to_random,6,-1,1
28,187523,179961,hotspot_to_hotspot,2,9,1
29,227150,218701,hotspot_to_hotspot,14,5,1
30,22745,134512,hotspot_to_hotspot,12,10,1
31,235355,81595,hotspot_to_random,14,-1,1
32,21229,187343,hotspot_to_hotspot,12,2,1
33,204495,23956,hotspot_to_hotspot,1,15,1
34,227004,33754,hotspot_to_hotspot,14,7,1
35,214398,184258,hotspot_to_hotspot,6,19,1
36,201005,17871,hotspot_to_hotspot,6,7,1
37,193602,173069,hotspot_to_hotspot,16,9,1
38,135689,182278,hotspot_to_hotspot,10,9,1
39,194492,201356,hotspot_to_hotspot,16,6,1
40,201227,134234,hotspot_to_hotspot,6,10,1
41,116184,79880,hotspot_to_random,11,-1,1
42,116148,227130,hotspot_to_hotspot,11,14,1
43,234647,23744,hotspot_to_hotspot,14,15,1
44,28481,257779,random,-1,-1,1
45,222112,53322,hotspot_to_hotspot,5,3,1
46,134217,254622,hotspot_to_random,10,-1,1
47,83835,167816,random,-1,-1,1
48,162869,200517,hotspot_to_hotspot,19,6,1
49,204431,113983,hotspot_to_hotspot,1,11,1
50,139316,197892,hotspot_to_random,20,-1,1
51,218667,30660,hotspot_to_random,5,-1,1
52,134904,151472,hotspot_to_hotspot,10,1,1
53,207198,187482,hotspot_to_hotspot,17,2,1
54,69381,250530,random,-1,-1,1
55,215319,187392,hotspot_to_hotspot,5,2,1
56,33945,22720,hotspot_to_hotspot,7,12,1
57,262081,138975,hotspot_to_hotspot,4,20,1
58,185279,53494,hotspot_to_hotspot,9,3,1
59,223204,204554,hotspot_to_hotspot,5,1,1
60,115811,235545,hotspot_to_hotspot,18,14,1
61,244691,189116,hotspot_to_random,4,-1,1
62,214949,114683,hotspot_to_random,17,-1,1
63,32714,21378,random,-1,-1,1
64,53212,23782,hotspot_to_hotspot,3,8,1
65,137731,75721,random,-1,-1,1
66,131953,6572,random,-1,-1,1
67,29383,118804,hotspot_to_hotspot,3,13,1
68,53501,204875,hotspot_to_hotspot,3,1,1
69,195174,212630,random,-1,-1,1
70,119398,191046,hotspot_to_hotspot,13,16,1
71,53429,210636,hotspot_to_random,3,-1,1
72,17434,114289,hotspot_to_hotspot,7,11,1
73,215169,207784,hotspot_to_hotspot,6,17,1
74,52923,227125,hotspot_to_hotspot,3,14,1
75,200877,182176,hotspot_to_hotspot,6,9,1
76,139305,233057,hotspot_to_random,20,-1,1
77,14372,187584,hotspot_to_hotspot,8,2,1
78,92568,53140,hotspot_to_hotspot,18,3,1
79,21148,258977,hotspot_to_hotspot,12,4,1
80,187419,227443,hotspot_to_hotspot,2,14,1
81,56620,115505,hotspot_to_hotspot,2,11,1
82,184462,115525,hotspot_to_hotspot,19,11,1
83,134662,207882,hotspot_to_hotspot,10,17,1
84,119049,22687,hotspot_to_hotspot,13,12,1
85,204962,184305,hotspot_to_hotspot,1,19,1
86,53608,106821,hotspot_to_random,3,-1,1
87,106271,204897,hotspot_to_hotspot,18,17,1
88,84775,212013,random,-1,-1,1
89,118869,162913,hotspot_to_random,13,-1,1
90,23742,207668,hotspot_to_hotspot,15,17,1
91,207710,207284,hotspot_to_random,17,-1,1
92,218839,14390,hotspot_to_hotspot,5,8,1
93,257946,173555,hotspot_to_hotspot,4,9,1
94,34801,112331,hotspot_to_hotspot,15,7,1
95,223036,201421,hotspot_to_hotspot,5,6,1
96,193734,115836,hotspot_to_hotspot,16,18,1
97,134404,53493,hotspot_to_random,10,-1,1
98,193611,139160,hotspot_to_hotspot,16,20,1
99,204603,157933,hotspot_to_random,1,-1,1
100,227630,34921,hotspot_to_random,14,-1,1
101,118802,187445,hotspot_to_hotspot,13,2,1
102,22336,191233,random,-1,-1,1
103,36324,44780,random,-1,-1,1
104,193324,177728,hotspot_to_hotspot,16,9,1
105,23820,66981,random,-1,-1,1
106,151488,187404,hotspot_to_hotspot,1,2,1
107,238885,204712,hotspot_to_hotspot,4,1,1
108,227160,233662,hotspot_to_hotspot,14,16,1
109,134898,53539,hotspot_to_hotspot,10,3,1
110,189424,227256,hotspot_to_hotspot,2,14,1
111,173006,177438,hotspot_to_random,9,-1,1
112,24863,106192,hotspot_to_hotspot,15,18,1
113,114604,201010,hotspot_to_hotspot,11,6,1
114,189669,184169,hotspot_to_hotspot,2,19,1
115,28782,146182,hotspot_to_random,8,-1,1
116,95372,206270,random,-1,-1,1
117,53407,23595,hotspot_to_hotspot,3,8,1
118,189738,112031,random,-1,-1,1
119,52909,168408,hotspot_to_random,3,-1,1
120,21275,135882,hotspot_to_hotspot,12,10,1
121,204429,23764,hotspot_to_hotspot,1,15,1
122,173097,214768,hotspot_to_hotspot,9,6,1
123,162881,29234,hotspot_to_random,19,-1,1
124,11677,232414,random,-1,-1,1
125,214986,25109,hotspot_to_hotspot,17,15,1
126,184567,53575,hotspot_to_hotspot,19,3,1
127,92723,65008,hotspot_to_random,18,-1,1
128,218701,116084,hotspot_to_hotspot,5,18,1
129,76372,173483,random,-1,-1,1
130,139343,204044,hotspot_to_hotspot,20,1,1
131,118607,63061,hotspot_to_random,13,-1,1
132,218834,176882,hotspot_to_random,5,-1,1
133,211732,31783,random,-1,-1,1
134,23687,208514,hotspot_to_hotspot,15,17,1
135,53215,138661,hotspot_to_hotspot,3,20,1
136,23686,187394,hotspot_to_hotspot,15,2,1
137,187434,4164,hotspot_to_random,2,-1,1
138,201319,259114,hotspot_to_random,6,-1,1
139,190172,135879,hotspot_to_hotspot,2,10,1
140,204454,187575,hotspot_to_random,1,-1,1
141,28780,189687,hotspot_to_hotspot,8,2,1
142,184166,114323,hotspot_to_hotspot,19,11,1
143,29431,182284,hotspot_to_hotspot,3,9,1
144,200617,114315,hotspot_to_hotspot,6,11,1
145,41747,39240,random,-1,-1,1
146,234136,172510,hotspot_to_hotspot,14,9,1
147,184313,53375,hotspot_to_hotspot,19,3,1
148,118875,23660,hotspot_to_hotspot,13,15,1
149,204860,23794,hotspot_to_hotspot,17,8,1
150,151586,105748,hotspot_to_hotspot,1,18,1
151,134862,52553,hotspot_to_hotspot,10,2,1
152,114316,155211,hotspot_to_random,11,-1,1
153,119108,222127,hotspot_to_hotspot,13,5,1
154,115466,118608,hotspot_to_hotspot,11,13,1
155,114041,234318,hotspot_to_random,11,-1,1
156,224754,133134,random,-1,-1,1
157,193677,201318,hotspot_to_hotspot,16,6,1
158,151804,193611,hotspot_to_hotspot,1,16,1
159,208524,20526,hotspot_to_random,17,-1,1
160,135025,200652,hotspot_to_hotspot,10,6,1
161,179588,115433,hotspot_to_random,19,-1,1
162,207751,98406,hotspot_to_random,17,-1,1
163,221946,118976,hotspot_to_hotspot,5,13,1
164,96465,20252,random,-1,-1,1
165,139055,82202,hotspot_to_random,20,-1,1
166,53308,13982,hotspot_to_hotspot,3,15,1
167,234415,118962,hotspot_to_hotspot,14,13,1
168,258116,234169,hotspot_to_hotspot,4,14,1
169,163077,218949,hotspot_to_hotspot,19,5,1
170,134262,173114,hotspot_to_hotspot,10,9,1
171,52577,114668,hotspot_to_random,2,-1,1
172,258946,116047,hotspot_to_hotspot,4,18,1
173,119247,116011,hotspot_to_hotspot,13,18,1
174,184117,22740,hotspot_to_hotspot,19,12,1
175,186340,207523,hotspot_to_hotspot,2,17,1
176,23640,227240,hotspot_to_hotspot,8,14,1
177,187443,23729,hotspot_to_hotspot,2,15,1
178,33942,140460,hotspot_to_random,7,-1,1
179,193865,133440,hotspot_to_random,16,-1,1
180,80621,155204,random,-1,-1,1
181,24217,154092,hotspot_to_random,8,-1,1
182,114460,134258,hotspot_to_hotspot,11,10,1
183,166269,166758,random,-1,-1,1
184,33798,195353,hotspot_to_hotspot,7,1,1
185,6562,182611,random,-1,-1,1
186,182279,56760,hotspot_to_hotspot,9,3,1
187,263653,25071,hotspot_to_hotspot,4,15,1
188,92412,163099,hotspot_to_hotspot,18,19,1
189,136160,190514,random,-1,-1,1
190,164785,206720,random,-1,-1,1
191,187365,134055,hotspot_to_random,2,-1,1
192,227537,118859,hotspot_to_hotspot,14,13,1
193,28352,260270,random,-1,-1,1
194,192347,25132,hotspot_to_hotspot,16,15,1
195,201315,17737,hotspot_to_hotspot,6,7,1
196,207709,139130,hotspot_to_hotspot,17,20,1
197,184546,187343,hotspot_to_hotspot,19,2,1
198,204400,114705,hotspot_to_hotspot,17,11,1
199,187440,193632,hotspot_to_hotspot,2,16,1
200,92441,227102,hotspot_to_hotspot,18,14,1
201,233820,195466,hotspot_to_random,16,-1,1
202,24877,239978,hotspot_to_random,8,-1,1
203,218739,139381,hotspot_to_hotspot,5,20,1
204,218786,234151,hotspot_to_hotspot,5,14,1
205,178051,177539,hotspot_to_random,9,-1,1
206,23493,92486,hotspot_to_hotspot,8,18,1
207,207723,14376,hotspot_to_hotspot,17,15,1
208,115195,92602,hotspot_to_hotspot,11,18,1
209,189673,179895,hotspot_to_hotspot,2,9,1
210,168717,78343,random,-1,-1,1
211,53159,115194,hotspot_to_hotspot,3,11,1
212,199622,157343,hotspot_to_random,20,-1,1
213,184118,134869,hotspot_to_hotspot,19,10,1
214,187525,53472,hotspot_to_hotspot,2,3,1
215,201073,134244,hotspot_to_hotspot,6,10,1
216,112408,94531,hotspot_to_hotspot,7,18,1
217,201038,214061,hotspot_to_hotspot,6,19,1
218,222092,115840,hotspot_to_hotspot,5,18,1
219,223038,163866,hotspot_to_random,5,-1,1
220,116005,119125,hotspot_to_hotspot,18,13,1
221,116018,113438,hotspot_to_hotspot,18,7,1
222,21195,207201,hotspot_to_random,12,-1,1
223,214695,135845,hotspot_to_hotspot,17,10,1
224,226887,238587,hotspot_to_random,14,-1,1
225,135669,45256,hotspot_to_random,10,-1,1
226,114609,179894,hotspot_to_hotspot,11,9,1
227,180019,92577,hotspot_to_hotspot,9,18,1
228,200570,184174,hotspot_to_hotspot,6,19,1
229,134317,214201,hotspot_to_hotspot,10,19,1
230,106193,201244,hotspot_to_hotspot,18,6,1
231,234449,92490,hotspot_to_hotspot,14,18,1
232,221972,201292,hotspot_to_hotspot,5,6,1
233,115813,24831,hotspot_to_hotspot,18,8,1
234,151579,135986,hotspot_to_hotspot,1,10,1
235,134907,140034,hotspot_to_random,10,-1,1
236,22023,215264,hotspot_to_hotspot,12,5,1
237,33914,222044,hotspot_to_hotspot,7,5,1
238,134880,106244,hotspot_to_hotspot,10,18,1
239,204567,22746,hotspot_to_hotspot,1,12,1
240,184415,92771,hotspot_to_hotspot,19,18,1
241,119192,226946,hotspot_to_hotspot,13,14,1
242,114431,226814,hotspot_to_hotspot,11,14,1
243,115186,121024,hotspot_to_random,11,-1,1
244,258111,226146,hotspot_to_random,4,-1,1
245,218731,162563,hotspot_to_hotspot,5,19,1
246,159513,21002,random,-1,-1,1
247,14384,84168,hotspot_to_random,8,-1,1
248,53138,78364,hotspot_to_random,3,-1,1
249,118722,215207,hotspot_to_hotspot,13,5,1
250,17403,234078,hotspot_to_hotspot,7,14,1
251,258109,187182,hotspot_to_random,4,-1,1
252,207822,32826,hotspot_to_random,17,-1,1
253,222171,208577,hotspot_to_hotspot,5,17,1
254,190620,258972,hotspot_to_hotspot,2,4,1
255,199820,181443,hotspot_to_hotspot,20,19,1
256,24031,53575,hotspot_to_hotspot,8,3,1
257,208617,257918,hotspot_to_hotspot,17,4,1
258,22678,173551,hotspot_to_hotspot,12,9,1
259,227015,4801,hotspot_to_random,14,-1,1
260,52912,218693,hotspot_to_hotspot,3,5,1
261,218779,257877,hotspot_to_hotspot,5,4,1
262,114048,24205,hotspot_to_hotspot,11,15,1
263,200486,39595,random,-1,-1,1
264,184358,23664,hotspot_to_hotspot,19,8,1
265,179978,138920,hotspot_to_hotspot,9,20,1
266,207705,257983,hotspot_to_hotspot,17,4,1
267,70154,47171,random,-1,-1,1
268,92562,139194,hotspot_to_hotspot,18,20,1
269,224891,92824,hotspot_to_hotspot,5,18,1
270,114212,24165,hotspot_to_hotspot,11,8,1
271,23673,150660,hotspot_to_random,15,-1,1
272,23808,184450,hotspot_to_hotspot,15,19,1
273,204428,233818,hotspot_to_hotspot,1,16,1
274,257891,139006,hotspot_to_hotspot,4,20,1
275,25139,104319,hotspot_to_random,15,-1,1
276,112302,119075,hotspot_to_hotspot,7,13,1
277,23799,21158,hotspot_to_hotspot,8,12,1
278,12282,112445,hotspot_to_hotspot,8,7,1
279,53654,17237,hotspot_to_hotspot,3,7,1
280,192249,64394,random,-1,-1,1
281,179943,192381,hotspot_to_hotspot,9,16,1
282,135539,214771,hotspot_to_hotspot,20,6,1
283,200944,171515,hotspot_to_hotspot,6,9,1
284,127281,64698,random,-1,-1,1
285,116052,119184,hotspot_to_hotspot,18,13,1
286,192400,200501,hotspot_to_hotspot,16,6,1
287,238346,162299,random,-1,-1,1
288,259685,155596,random,-1,-1,1
289,214193,189650,hotspot_to_hotspot,19,2,1
290,193800,207761,hotspot_to_hotspot,16,17,1
291,190578,116204,hotspot_to_hotspot,2,11,1
292,24210,138525,hotspot_to_random,8,-1,1
293,212585,235599,hotspot_to_hotspot,17,14,1
294,204689,11410,hotspot_to_random,1,-1,1
295,54671,107980,random,-1,-1,1
296,53037,26540,hotspot_to_random,3,-1,1
297,239181,207513,hotspot_to_hotspot,4,17,1
298,262663,23614,hotspot_to_hotspot,4,8,1
299,23054,197487,hotspot_to_random,12,-1,1
300,23733,33840,hotspot_to_hotspot,15,7,1
301,184457,149092,hotspot_to_hotspot,19,1,1
