figure,city,window,method,metric,value,std,unit,seed_count,status,source
ranking_results,Porto,holdout,Z0,Spearman,0.935602950708,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,holdout,BRIDGE,Spearman,0.94590230837,0.00169859461387,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,holdout,Z0,NDCG@5,0.930719828035,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,holdout,BRIDGE,NDCG@5,0.930719828035,0,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,holdout,Z0,NDCG@18,0.974533363559,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,holdout,BRIDGE,NDCG@18,0.974551226863,0.000109832473027,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,Z0,Spearman,0.944655607015,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,BRIDGE,Spearman,0.95659750252,0.0015800959663,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,Z0,NDCG@5,0.944420512295,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,BRIDGE,NDCG@5,0.893760614274,0.00562774458244,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,Z0,NDCG@18,0.93369831806,0,,1,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Porto,future_all,BRIDGE,NDCG@18,0.919342911473,0.00139734570444,,3,frozen,results/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,Z0,Spearman,0.941135362146,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,BRIDGE,Spearman,0.946786854762,0.00114405134836,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,Z0,NDCG@5,0.940544544987,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,BRIDGE,NDCG@5,0.775402977247,0.0607628611045,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,Z0,NDCG@18,0.922494256767,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,holdout,BRIDGE,NDCG@18,0.866698802055,0.033992889046,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,Z0,Spearman,0.897508701963,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,BRIDGE,Spearman,0.9257118831,0.000866472519234,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,Z0,NDCG@5,0.659842083711,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,BRIDGE,NDCG@5,0.697910143981,0.0466483432389,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,Z0,NDCG@18,0.786935161816,0,,1,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
ranking_results,Chicago,future_all,BRIDGE,NDCG@18,0.765980994461,0.0307255489202,,3,frozen,results/chicago/gnn_v2/nbfnet_propagation/g4_frozen_evaluation/summary.json
mechanism_ablation,Porto,holdout,z0_base,Spearman,0.935602950708,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,undirected,Spearman,0.936339598959,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,degree_rewired,Spearman,0.556580964433,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,origin_only,Spearman,0.888268930373,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,destination_only,Spearman,0.922219821599,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,shuffled_od,Spearman,0.9359301213,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,pooling_mean,Spearman,0.886877166991,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,pooling_max,Spearman,0.9356404702,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_01,Spearman,0.938689465724,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_02,Spearman,0.935650277272,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_04,Spearman,0.934026770374,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_08,Spearman,0.932913567291,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_16,Spearman,0.931600769571,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,holdout,depth_32,Spearman,0.924203421916,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,z0_base,Spearman,0.944655607015,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,undirected,Spearman,0.943223210177,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,degree_rewired,Spearman,0.572466943189,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,origin_only,Spearman,0.897995832121,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,destination_only,Spearman,0.936078354472,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,shuffled_od,Spearman,0.943999169055,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,pooling_mean,Spearman,0.913665224168,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,pooling_max,Spearman,0.944681611673,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
mechanism_ablation,Porto,future,depth_01,Spearman,0.942252003485,0,,1,frozen,results/gnn_v2/z0_orthogonal_ablation/summary.json
