region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
6,fixed_random_bfs,12484918850,512,27,485,255,2000,1976,1,0.050000000,10881.926500000,10877.163500000,10876.939500000,0.217000000,4.763000000,9526,2.950000000,8.359524028,27.291214339,130.394207649,2.250600960,56.255694843,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,2000,1976,1,0.050000000,10881.926500000,10878.501000000,10878.252000000,0.242000000,3.425500000,6851,1.200000000,8.359524028,28.958207549,138.137819850,2.394760231,59.720188386,1.000000000
23,history_hotspot_bfs,2156098755,512,44,468,483,2000,1976,129,6.450000000,10881.926500000,10823.694000000,10808.323500000,15.363500000,58.232500000,116465,28.100000000,8.359524028,26.557190175,130.906754702,2.058647197,54.642121750,1.000000000
51,history_hotspot_bfs,12456064553,512,55,457,416,2000,1976,94,4.700000000,10881.926500000,10704.884500000,10692.749000000,12.128500000,177.042000000,354084,70.950000000,8.359524028,28.468123597,141.863311452,2.198967143,58.669033517,1.000000000
54,fixed_random_bfs,11406498895,512,40,472,746,2000,1976,1,0.050000000,10881.926500000,10853.205000000,10852.959000000,0.239000000,28.721500000,57443,9.350000000,8.359524028,23.466695624,112.256886152,1.968974885,48.296649175,1.000000000
61,fixed_random_bfs,4753112735,512,17,495,272,2000,1976,0,0.000000000,10881.926500000,10880.932500000,10880.925500000,0.000000000,0.994000000,1988,0.550000000,8.359524028,26.304849113,126.895170800,2.151327992,54.189367791,1.000000000
65,spatial_uniform_bfs,1263990280,512,35,477,1027,2000,1976,2,0.100000000,10881.926500000,10878.249000000,10877.738500000,0.503500000,3.677500000,7355,1.800000000,8.359524028,28.039529117,132.646833853,2.229650550,57.765602765,1.000000000
88,fixed_random_bfs,7856254144,512,27,485,219,2000,1976,3,0.150000000,10881.926500000,10840.594000000,10840.151000000,0.436000000,41.332500000,82665,14.600000000,8.359524028,26.084981435,128.026807453,2.051001664,53.741438059,1.000000000
93,fixed_random_bfs,283317561,512,23,489,382,2000,1976,1,0.050000000,10881.926500000,10859.271000000,10859.016500000,0.247500000,22.655500000,45311,9.000000000,8.359524028,27.236031080,131.505948150,2.152300814,56.107431769,1.000000000
96,fixed_random_bfs,2264487487,512,28,484,603,2000,1976,1,0.050000000,10881.926500000,10852.638500000,10852.379500000,0.252000000,29.288000000,58576,6.650000000,8.359524028,24.756688000,118.816383448,2.206891007,50.949887732,1.000000000
114,history_hotspot_bfs,5494272217,512,32,480,281,2000,1976,142,7.100000000,10881.926500000,10716.615500000,10690.050500000,26.558000000,165.311000000,330622,62.400000000,8.359524028,25.709407515,124.718888851,2.187537084,52.944704505,1.000000000
