region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
6,fixed_random_bfs,12484918850,512,27,485,255,2000,1976,0,0.000000000,10854.976000000,10850.139500000,10850.133000000,0.000000000,4.836500000,9673,2.750000000,8.307417192,23.866896987,113.947570250,2.080576425,49.076042920,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,2000,1976,0,0.000000000,10854.976000000,10852.054000000,10852.047500000,0.000000000,2.922000000,5844,1.000000000,8.307417192,25.158735087,119.927312848,2.117576431,51.786997003,1.000000000
23,history_hotspot_bfs,2156098755,512,44,468,483,2000,1976,104,5.200000000,10854.976000000,10796.002500000,10784.564500000,11.431500000,58.973500000,117947,27.200000000,8.307417192,29.153740711,140.608102649,1.875868518,60.019969356,1.000000000
51,history_hotspot_bfs,12456064553,512,55,457,416,2000,1976,118,5.900000000,10854.976000000,10679.787500000,10664.003500000,15.777500000,175.188500000,350377,72.600000000,8.307417192,29.881267460,139.589948850,2.188488161,61.546562969,1.000000000
54,fixed_random_bfs,11406498895,512,40,472,746,2000,1976,3,0.150000000,10854.976000000,10825.445000000,10824.721500000,0.717000000,29.531000000,59062,9.800000000,8.307417192,25.774272118,120.050851651,2.147698404,53.105105511,1.000000000
61,fixed_random_bfs,4753112735,512,17,495,272,2000,1976,0,0.000000000,10854.976000000,10853.048500000,10853.042000000,0.000000000,1.927500000,3855,0.800000000,8.307417192,29.408421032,140.713334101,2.132502942,60.661464904,1.000000000
65,spatial_uniform_bfs,1263990280,512,35,477,1027,2000,1976,7,0.350000000,10854.976000000,10850.896000000,10849.126000000,1.763500000,4.080000000,8160,2.050000000,8.307417192,25.954383258,121.562043397,2.156973154,53.455719809,1.000000000
88,fixed_random_bfs,7856254144,512,27,485,219,2000,1976,2,0.100000000,10854.976000000,10809.942000000,10809.558500000,0.377000000,45.034000000,90068,16.000000000,8.307417192,26.051556932,122.209617902,2.236287437,53.687726923,1.000000000
93,fixed_random_bfs,283317561,512,23,489,382,2000,1976,1,0.050000000,10854.976000000,10831.119000000,10830.865000000,0.247500000,23.857000000,47714,8.800000000,8.307417192,25.860932372,119.990429652,2.114910332,53.308570842,1.000000000
96,fixed_random_bfs,2264487487,512,28,484,603,2000,1976,0,0.000000000,10854.976000000,10825.575000000,10825.568500000,0.000000000,29.401000000,58802,6.950000000,8.307417192,25.891960534,121.935383501,2.177732884,53.357110240,1.000000000
114,history_hotspot_bfs,5494272217,512,32,480,281,2000,1976,139,6.950000000,10854.976000000,10688.523000000,10664.468500000,24.048000000,166.453000000,332906,63.000000000,8.307417192,25.683557284,120.715161100,2.175053848,52.855755749,1.000000000
130,fixed_random_bfs,343634630,512,37,475,497,2000,1976,62,3.100000000,10854.976000000,10751.743000000,10737.540000000,14.196500000,103.233000000,206466,46.500000000,8.307417192,24.261991355,110.786526550,2.164132729,49.895706722,1.000000000
135,fixed_random_bfs,4421109825,512,21,491,362,2000,1976,2,0.100000000,10854.976000000,10821.936000000,10821.421500000,0.508000000,33.040000000,66080,11.950000000,8.307417192,24.878014519,116.897259150,2.118195806,51.212350401,1.000000000
142,fixed_random_bfs,1551005126,512,23,489,463,2000,1976,1,0.050000000,10854.976000000,10837.813500000,10837.553500000,0.253500000,17.162500000,34325,5.600000000,8.307417192,26.003482670,123.944829202,2.143877275,53.581093530,1.000000000
146,fixed_random_bfs,9038898395,512,51,461,400,2000,1976,110,5.500000000,10854.976000000,10725.817500000,10714.354500000,11.456500000,129.158500000,258317,46.100000000,8.307417192,24.120845836,115.878166747,1.935484700,49.612084268,1.000000000
161,fixed_random_bfs,12469475530,512,33,479,160,2000,1976,0,0.000000000,10854.976000000,10846.400000000,10846.393500000,0.000000000,8.576000000,17152,5.150000000,8.307417192,30.658134266,141.353888998,2.062616390,63.241817528,1.000000000
163,fixed_random_bfs,263571647,512,33,479,591,2000,1976,1,0.050000000,10854.976000000,10850.636500000,10850.461500000,0.168500000,4.339500000,8679,2.150000000,8.307417192,27.433550983,125.740392050,0.954594917,56.487153073,1.000000000
178,history_hotspot_bfs,5849847823,512,28,484,254,2000,1976,267,13.350000000,10854.976000000,10754.285000000,10714.629500000,39.649000000,100.691000000,201382,53.050000000,8.307417192,26.503363173,123.877068752,1.071938553,54.456954476,1.000000000
186,history_hotspot_bfs,3387597051,512,32,480,260,2000,1976,333,16.650000000,10854.976000000,10719.160500000,10674.416500000,44.737500000,135.815500000,271631,58.600000000,8.307417192,26.500243532,127.729561100,0.871589695,54.395285694,1.000000000
189,fixed_random_bfs,5342861433,512,29,483,246,2000,1976,12,0.600000000,10854.976000000,10814.119000000,10811.708500000,2.404000000,40.857000000,81714,14.650000000,8.307417192,26.918231711,121.043151049,0.884119265,55.434927386,1.000000000
191,fixed_random_bfs,445028130,512,21,491,191,2000,1976,3,0.150000000,10854.976000000,10803.848500000,10802.902000000,0.940000000,51.127500000,102255,14.500000000,8.307417192,23.767819435,111.475470351,0.817169855,48.869804102,1.000000000
198,fixed_random_bfs,1235226279,512,14,498,123,2000,1976,0,0.000000000,10854.976000000,10850.093000000,10850.086500000,0.000000000,4.883000000,9766,1.650000000,8.307417192,26.596910616,122.296741950,1.193344762,54.713922129,1.000000000
206,fixed_random_bfs,12607378904,512,30,482,584,2000,1976,0,0.000000000,10854.976000000,10845.191000000,10845.184500000,0.000000000,9.785000000,19570,3.550000000,8.307417192,26.941742521,125.970231649,1.168082977,55.481956568,1.000000000
209,history_hotspot_bfs,4751660531,512,31,481,346,2000,1976,201,10.050000000,10854.976000000,10764.508500000,10720.540500000,43.961500000,90.467500000,180935,44.150000000,8.307417192,25.891605522,122.727061249,1.158462222,53.156337941,1.000000000
224,fixed_random_bfs,3170890749,512,28,484,374,2000,1976,1,0.050000000,10854.976000000,10836.290500000,10836.044500000,0.239500000,18.685500000,37371,6.250000000,8.307417192,26.882673135,125.910790601,1.149828797,55.357463030,1.000000000
228,history_hotspot_bfs,10893691664,512,29,483,428,2000,1976,58,2.900000000,10854.976000000,10805.825000000,10793.241500000,12.577000000,49.151000000,98302,19.100000000,8.307417192,26.925102655,126.073792999,1.119047348,55.409622060,1.000000000
234,fixed_random_bfs,411029266,512,43,469,473,2000,1976,22,1.100000000,10854.976000000,10767.331000000,10765.075500000,2.249000000,87.645000000,175290,45.300000000,8.307417192,26.662900977,127.363903350,1.104958468,54.909830988,1.000000000
255,fixed_random_bfs,12488699245,512,33,479,101,2000,1976,2,0.100000000,10854.976000000,10848.292000000,10848.067500000,0.218000000,6.684000000,13368,4.600000000,8.307417192,27.246003298,129.513635202,1.078252171,56.120960653,1.000000000
283,history_hotspot_bfs,2352569141,512,44,468,390,2000,1976,175,8.750000000,10854.976000000,10679.997500000,10648.995500000,30.995500000,174.978500000,349957,64.900000000,8.307417192,31.470261854,148.107441497,1.167169909,64.740944610,1.000000000
285,fixed_random_bfs,12763312047,512,18,494,126,2000,1976,1,0.050000000,10854.976000000,10848.810500000,10848.803000000,0.001000000,6.165500000,12331,2.400000000,8.307417192,25.242814038,117.483241352,1.174390579,51.935921708,1.000000000
292,history_hotspot_bfs,3457190272,512,18,494,99,2000,1976,306,15.300000000,10854.976000000,10711.630500000,10665.802000000,45.822000000,143.345500000,286691,57.850000000,8.307417192,31.566571502,146.623770951,1.152338021,64.888201568,1.000000000
313,fixed_random_bfs,5585575940,512,23,489,194,2000,1976,3,0.150000000,10854.976000000,10828.754500000,10828.070000000,0.678000000,26.221500000,52443,7.650000000,8.307417192,23.260900524,106.376347997,0.911840791,47.791186663,1.000000000
318,fixed_random_bfs,6412501106,512,33,479,328,2000,1976,23,1.150000000,10854.976000000,10742.140000000,10737.897000000,4.236500000,112.836000000,225672,43.100000000,8.307417192,27.485716981,130.710130548,1.412964888,56.607017985,1.000000000
323,fixed_random_bfs,1322651089,512,26,486,426,2000,1976,1,0.050000000,10854.976000000,10835.652000000,10835.397500000,0.248000000,19.324000000,38648,6.250000000,8.307417192,27.474123293,129.843616699,1.456420430,56.607262098,1.000000000
326,fixed_random_bfs,1132441774,512,26,486,316,2000,1976,1,0.050000000,10854.976000000,10821.218500000,10820.996000000,0.216000000,33.757500000,67515,11.650000000,8.307417192,28.589791209,130.404685902,1.482074765,58.925882449,1.000000000
327,history_hotspot_bfs,12458783069,512,40,472,320,2000,1976,425,21.250000000,10854.976000000,10705.384500000,10632.029500000,73.348500000,149.591500000,299183,61.900000000,8.307417192,29.240069079,133.375354250,1.544378654,59.937644585,1.000000000
333,fixed_random_bfs,2069959804,512,46,466,400,2000,1976,13,0.650000000,10854.976000000,10803.610500000,10802.284000000,1.320000000,51.365500000,102731,20.750000000,8.307417192,27.160863344,129.559770699,1.579707088,55.940950709,1.000000000
334,fixed_random_bfs,138194386,512,48,464,534,2000,1976,102,5.100000000,10854.976000000,10715.029500000,10702.948000000,12.075000000,139.946500000,279893,57.800000000,8.307417192,27.366796383,127.032331853,1.268648214,56.293817274,1.000000000
350,fixed_random_bfs,2249891220,512,23,489,382,2000,1976,0,0.000000000,10854.976000000,10851.382500000,10851.376000000,0.000000000,3.593500000,7187,1.400000000,8.307417192,28.874135397,134.012614347,1.275695486,59.460981560,1.000000000
365,fixed_random_bfs,11231050475,512,36,476,349,2000,1976,105,5.250000000,10854.976000000,10727.931000000,10720.048000000,7.876500000,127.045000000,254090,47.650000000,8.307417192,28.304001581,129.829973949,1.567491060,58.249563792,1.000000000
393,fixed_random_bfs,1328041456,512,32,480,479,2000,1976,0,0.000000000,10854.976000000,10831.810000000,10831.803500000,0.000000000,23.166000000,46332,6.650000000,8.307417192,27.383409522,127.574989249,1.560231541,56.365495512,1.000000000
407,fixed_random_bfs,1549671659,512,33,479,789,2000,1976,0,0.000000000,10854.976000000,10847.142500000,10847.136000000,0.000000000,7.833500000,15667,2.300000000,8.307417192,29.943356961,139.444744500,1.546064029,61.715720129,1.000000000
429,fixed_random_bfs,1874361203,512,21,491,64,2000,1976,8,0.400000000,10854.976000000,10834.467000000,10833.231000000,1.229500000,20.509000000,41018,6.450000000,8.307417192,26.283018043,119.726822450,1.541309303,54.023025308,1.000000000
432,fixed_random_bfs,4492974926,512,25,487,442,2000,1976,2,0.100000000,10854.976000000,10821.254500000,10820.771000000,0.477000000,33.721500000,67443,11.900000000,8.307417192,24.974654380,113.027055103,1.462867013,51.352187422,1.000000000
435,history_hotspot_bfs,3694908966,512,48,464,447,2000,1976,176,8.800000000,10854.976000000,10685.880000000,10659.925500000,25.948000000,169.096000000,338192,66.500000000,8.307417192,26.847490482,125.555583998,1.167476997,55.202309250,1.000000000
440,history_hotspot_bfs,4468847635,512,38,474,938,2000,1976,28,1.400000000,10854.976000000,10771.081500000,10764.197000000,6.878000000,83.894500000,167789,27.350000000,8.307417192,28.221192704,130.992317701,1.152906924,58.077687217,1.000000000
447,fixed_random_bfs,1866964756,512,47,465,1109,2000,1976,3,0.150000000,10854.976000000,10824.481500000,10824.032500000,0.442500000,30.494500000,60989,10.650000000,8.307417192,28.460234624,130.202671302,1.542910818,58.586329664,1.000000000
449,spatial_uniform_bfs,1300651831,512,41,471,1233,2000,1976,3,0.150000000,10854.976000000,10849.274000000,10848.517500000,0.750000000,5.702000000,11404,2.150000000,8.307417192,27.042181761,127.029428651,1.236601583,55.656268795,1.000000000
451,fixed_random_bfs,1398201412,512,20,492,48,2000,1976,1,0.050000000,10854.976000000,10833.161000000,10833.149500000,0.005000000,21.815000000,43630,6.050000000,8.307417192,28.304425165,134.315302248,1.112954562,58.279869047,1.000000000
457,fixed_random_bfs,422548097,512,40,472,121,2000,1976,7,0.350000000,10854.976000000,10777.211000000,10776.895000000,0.309500000,77.765000000,155530,38.650000000,8.307417192,27.604484866,130.299943002,1.111269817,56.838044734,1.000000000
466,spatial_uniform_bfs,1327631607,512,36,476,1023,2000,1976,0,0.000000000,10854.976000000,10848.353000000,10848.346500000,0.000000000,6.623000000,13246,2.100000000,8.307417192,25.856758894,118.584921699,0.897703680,53.118741102,1.000000000
469,fixed_random_bfs,1324735565,512,34,478,944,2000,1976,0,0.000000000,10854.976000000,10853.368000000,10853.361500000,0.000000000,1.608000000,3216,1.000000000,8.307417192,27.708849666,130.737961850,1.170845218,57.073763740,1.000000000
476,fixed_random_bfs,1561603666,512,36,476,628,2000,1976,31,1.550000000,10854.976000000,10785.667500000,10778.697000000,6.964000000,69.308500000,138617,30.550000000,8.307417192,30.709987830,145.350236902,1.087596599,63.238211926,1.000000000
501,fixed_random_bfs,62890972,512,38,474,618,2000,1976,0,0.000000000,10854.976000000,10827.495000000,10827.488500000,0.000000000,27.481000000,54962,8.900000000,8.307417192,23.072857159,110.094816750,0.955603335,47.385488047,1.000000000
505,fixed_random_bfs,13012333814,512,30,482,260,2000,1976,6,0.300000000,10854.976000000,10814.132500000,10812.904000000,1.222000000,40.843500000,81687,18.050000000,8.307417192,24.409555275,113.189114348,0.917950054,50.148603129,1.000000000
514,history_hotspot_bfs,2414401910,512,53,459,319,2000,1976,342,17.100000000,10854.976000000,10697.223500000,10665.602000000,31.615000000,157.752500000,315505,70.150000000,8.307417192,28.028537690,130.929201500,1.173580275,57.452266411,1.000000000
538,history_hotspot_bfs,12455973455,512,54,458,1215,2000,1976,117,5.850000000,10854.976000000,10735.103500000,10710.105000000,24.992000000,119.872500000,239745,57.150000000,8.307417192,23.322579678,108.522034698,1.020261534,47.854578699,1.000000000
