region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,spatial_uniform_bfs,1300651758,512,28,484,652,2000,1969,1,0.050000000,10019.868000000,10018.255500000,10017.989000000,0.252500000,1.612500000,3225,0.650000000,7.680878384,24.714466354,115.364733899,2.140021948,50.994943864,1.000000000
1,history_hotspot_bfs,11005952442,512,47,465,439,2000,1969,261,13.050000000,10019.868000000,9861.835000000,9829.254500000,32.566500000,158.033000000,316066,56.800000000,7.680878384,22.470844228,104.775803148,2.230240756,46.212943886,1.000000000
2,fixed_random_bfs,1142609813,512,16,496,225,2000,1969,0,0.000000000,10019.868000000,10002.119500000,10002.105500000,0.000000000,17.748500000,35497,5.600000000,7.680878384,21.802578928,103.320065247,2.224844636,44.953260391,1.000000000
3,history_hotspot_bfs,5305637330,512,26,486,299,2000,1969,206,10.300000000,10019.868000000,9934.401000000,9888.041000000,46.346000000,85.467000000,170934,40.700000000,7.680878384,22.260451610,104.071930700,2.177649220,45.704610880,1.000000000
4,fixed_random_bfs,1112073249,512,44,468,580,2000,1969,3,0.150000000,10019.868000000,9993.553000000,9993.172500000,0.366500000,26.315000000,52630,12.150000000,7.680878384,22.715944307,105.826679400,2.162097514,46.847585013,1.000000000
5,history_hotspot_bfs,12111393897,512,36,476,198,2000,1969,333,16.650000000,10019.868000000,9856.813500000,9824.273500000,32.526000000,163.054500000,326109,59.750000000,7.680878384,20.794103873,97.160284152,2.150204459,42.684295227,1.000000000
6,fixed_random_bfs,12484918850,512,27,485,255,2000,1969,1,0.050000000,10019.868000000,10014.130000000,10013.899000000,0.217000000,5.738000000,11476,2.450000000,7.680878384,22.711609531,105.130896649,2.248448602,46.839491401,1.000000000
7,history_hotspot_bfs,3573222227,512,34,478,367,2000,1969,142,7.100000000,10019.868000000,9973.949000000,9957.045000000,16.890000000,45.919000000,91838,23.650000000,7.680878384,25.572494458,115.841240500,2.370708563,52.709818448,1.000000000
8,fixed_random_bfs,292782963,512,29,483,490,2000,1969,0,0.000000000,10019.868000000,10009.273500000,10009.259500000,0.000000000,10.594500000,21189,3.250000000,7.680878384,21.954189714,101.375198148,2.130583719,45.238108185,1.000000000
9,fixed_random_bfs,479437576,512,18,494,100,2000,1969,42,2.100000000,10019.868000000,9914.001000000,9905.292500000,8.694500000,105.867000000,211734,35.800000000,7.680878384,22.656274655,104.964440152,2.261043299,46.714107064,1.000000000
10,history_hotspot_bfs,10804032079,512,28,484,186,2000,1969,259,12.950000000,10019.868000000,9896.375500000,9845.980000000,50.381500000,123.492500000,246985,54.500000000,7.680878384,25.608690466,121.924155847,2.298329792,52.733621407,1.000000000
11,fixed_random_bfs,2163335530,512,38,474,537,2000,1969,8,0.400000000,10019.868000000,9978.351000000,9977.685000000,0.652000000,41.517000000,83034,16.700000000,7.680878384,24.067444243,113.710791450,2.342986723,49.628794800,1.000000000
12,history_hotspot_bfs,13050276131,512,30,482,244,2000,1969,154,7.700000000,10019.868000000,9877.660000000,9845.038500000,32.607500000,142.208000000,284416,51.700000000,7.680878384,21.383286569,100.953826752,2.230644293,44.000534081,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,2000,1969,0,0.000000000,10019.868000000,10016.468000000,10016.454000000,0.000000000,3.400000000,6800,0.950000000,7.680878384,24.822801225,115.381316451,2.124738255,51.228093698,1.000000000
14,history_hotspot_bfs,12435776715,512,18,494,88,2000,1969,74,3.700000000,10019.868000000,10003.063000000,9999.028500000,4.020500000,16.805000000,33610,4.400000000,7.680878384,23.207428337,109.020576502,2.242567028,47.470962231,1.000000000
15,fixed_random_bfs,1327639071,512,21,491,293,2000,1969,0,0.000000000,10019.868000000,10014.571000000,10014.557000000,0.000000000,5.297000000,10594,2.700000000,7.680878384,22.312066305,104.513106050,2.239348294,46.027448863,1.000000000
16,history_hotspot_bfs,129795309,512,29,483,262,2000,1969,191,9.550000000,10019.868000000,9871.064500000,9843.303500000,27.747000000,148.803500000,297607,54.150000000,7.680878384,23.191093730,108.277970449,0.873165135,47.652463529,1.000000000
17,fixed_random_bfs,6094066396,512,32,480,185,2000,1969,5,0.250000000,10019.868000000,10004.288500000,10003.883500000,0.391000000,15.579500000,31159,5.100000000,7.680878384,24.283363953,112.166505002,1.073441964,50.033381090,1.000000000
18,history_hotspot_bfs,1386063700,512,38,474,191,2000,1969,352,17.600000000,10019.868000000,9865.761000000,9828.855000000,36.892000000,154.107000000,308214,62.250000000,7.680878384,23.973969891,111.225342250,1.090184822,49.225530462,1.000000000
19,fixed_random_bfs,1322917608,512,38,474,591,2000,1969,2,0.100000000,10019.868000000,10001.537000000,10000.832500000,0.690500000,18.331000000,36662,5.700000000,7.680878384,25.183411476,111.445396751,0.983862721,51.884885983,1.000000000
20,history_hotspot_bfs,3392710660,512,24,488,149,2000,1969,218,10.900000000,10019.868000000,9885.810000000,9857.307000000,28.489000000,134.058000000,268116,52.050000000,7.680878384,20.957926838,96.647598499,0.957440702,42.975580078,1.000000000
21,fixed_random_bfs,12454038415,512,46,466,979,2000,1969,27,1.350000000,10019.868000000,9926.053500000,9922.729000000,3.310500000,93.814500000,187629,34.950000000,7.680878384,23.284505946,105.366910198,1.216441240,47.893297085,1.000000000
22,fixed_random_bfs,3200644413,512,24,488,364,2000,1969,2,0.100000000,10019.868000000,9996.559500000,9996.051500000,0.494000000,23.308500000,46617,5.450000000,7.680878384,23.897316429,109.278687151,1.079376025,49.261209678,1.000000000
23,history_hotspot_bfs,2156098755,512,44,468,483,2000,1969,142,7.100000000,10019.868000000,9963.928000000,9948.839500000,15.074500000,55.940000000,111880,26.650000000,7.680878384,24.520001240,112.373504599,1.127038549,50.429485465,1.000000000
