region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,spatial_uniform_bfs,1300651758,512,28,484,652,2000,1976,1,0.050000000,10881.926500000,10879.281000000,10879.021500000,0.252500000,2.645500000,5291,1.300000000,8.359524028,25.835066433,125.981284500,2.155632072,53.225923518,1.000000000
1,history_hotspot_bfs,11005952442,512,47,465,439,2000,1976,354,17.700000000,10881.926500000,10713.692000000,10670.227000000,43.458000000,168.234500000,336469,62.850000000,8.359524028,25.369205050,123.450715401,2.117705835,52.008560586,1.000000000
2,fixed_random_bfs,1142609813,512,16,496,225,2000,1976,1,0.050000000,10881.926500000,10859.045000000,10858.782000000,0.256000000,22.881500000,45763,6.500000000,8.359524028,23.753958699,116.776504249,2.164372695,48.852593684,1.000000000
3,history_hotspot_bfs,5305637330,512,26,486,299,2000,1976,173,8.650000000,10881.926500000,10787.092000000,10747.264000000,39.821000000,94.834500000,189669,43.200000000,8.359524028,29.895217748,146.324219452,2.335446192,61.462479637,1.000000000
4,fixed_random_bfs,1112073249,512,44,468,580,2000,1976,0,0.000000000,10881.926500000,10849.007500000,10849.000500000,0.000000000,32.919000000,65838,15.400000000,8.359524028,26.082178132,128.369986150,2.346584453,53.730265570,1.000000000
5,history_hotspot_bfs,12111393897,512,36,476,198,2000,1976,390,19.500000000,10881.926500000,10708.591500000,10664.043500000,44.541000000,173.335000000,346670,65.400000000,8.359524028,25.422480516,122.914705101,2.333551087,52.090371301,1.000000000
6,fixed_random_bfs,12484918850,512,27,485,255,2000,1976,1,0.050000000,10881.926500000,10877.163500000,10876.939500000,0.217000000,4.763000000,9526,2.950000000,8.359524028,25.621849525,124.025662797,2.146995774,52.775686704,1.000000000
7,history_hotspot_bfs,3573222227,512,34,478,367,2000,1976,127,6.350000000,10881.926500000,10834.824500000,10816.381500000,18.436000000,47.102000000,94204,25.050000000,8.359524028,29.744951371,143.383680401,2.239940646,61.225362425,1.000000000
8,fixed_random_bfs,292782963,512,29,483,490,2000,1976,1,0.050000000,10881.926500000,10870.142000000,10869.907500000,0.227500000,11.784500000,23569,4.150000000,8.359524028,23.526661757,112.756032050,1.903231473,48.418821256,1.000000000
9,fixed_random_bfs,479437576,512,18,494,100,2000,1976,33,1.650000000,10881.926500000,10776.335000000,10769.326500000,7.001500000,105.591500000,211183,35.450000000,8.359524028,28.702020725,138.976665049,2.137745944,59.169465250,1.000000000
10,history_hotspot_bfs,10804032079,512,28,484,186,2000,1976,227,11.350000000,10881.926500000,10730.147000000,10689.664000000,40.476000000,151.779500000,303559,60.450000000,8.359524028,25.314100687,122.912231652,2.114102368,52.027320060,1.000000000
11,fixed_random_bfs,2163335530,512,38,474,537,2000,1976,12,0.600000000,10881.926500000,10835.769500000,10835.095000000,0.667500000,46.157000000,92314,18.000000000,8.359524028,26.808407763,129.200246150,1.887150631,55.226804278,1.000000000
12,history_hotspot_bfs,13050276131,512,30,482,244,2000,1976,167,8.350000000,10881.926500000,10724.792500000,10689.893500000,34.892000000,157.134000000,314268,55.650000000,8.359524028,27.022593580,131.494345753,2.363812122,55.562452088,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,2000,1976,1,0.050000000,10881.926500000,10878.501000000,10878.252000000,0.242000000,3.425500000,6851,1.200000000,8.359524028,24.212194355,120.370436849,2.378539061,49.801046206,1.000000000
14,history_hotspot_bfs,12435776715,512,18,494,88,2000,1976,96,4.800000000,10881.926500000,10861.125000000,10856.260000000,4.858000000,20.801500000,41603,5.600000000,8.359524028,22.066104091,106.004696948,1.873301213,45.006171917,1.000000000
15,fixed_random_bfs,1327639071,512,21,491,293,2000,1976,1,0.050000000,10881.926500000,10872.467500000,10872.211000000,0.249500000,9.459000000,18918,4.300000000,8.359524028,21.489791223,102.177330601,1.966603780,44.156125328,1.000000000
16,history_hotspot_bfs,129795309,512,29,483,262,2000,1976,171,8.550000000,10881.926500000,10727.561500000,10700.435000000,27.119500000,154.365000000,308730,54.850000000,8.359524028,23.419991330,112.110127299,0.902079627,48.061638271,1.000000000
17,fixed_random_bfs,6094066396,512,32,480,185,2000,1976,1,0.050000000,10881.926500000,10863.042500000,10862.844000000,0.191500000,18.884000000,37768,5.600000000,8.359524028,23.525172559,111.831985552,0.838101074,48.359128438,1.000000000
18,history_hotspot_bfs,1386063700,512,38,474,191,2000,1976,393,19.650000000,10881.926500000,10722.951500000,10673.668500000,49.276000000,158.975000000,317950,66.600000000,8.359524028,28.761296186,136.054921949,1.057817012,58.962622186,1.000000000
19,fixed_random_bfs,1322917608,512,38,474,591,2000,1976,1,0.050000000,10881.926500000,10858.077500000,10857.841500000,0.229000000,23.849000000,47698,6.800000000,8.359524028,23.355605262,112.607076502,0.891666254,47.985925766,1.000000000
20,history_hotspot_bfs,3392710660,512,24,488,149,2000,1976,270,13.500000000,10881.926500000,10733.491500000,10693.240000000,40.244500000,148.435000000,296870,57.700000000,8.359524028,26.381737528,129.480034450,0.871955968,54.096067090,1.000000000
21,fixed_random_bfs,12454038415,512,46,466,979,2000,1976,34,1.700000000,10881.926500000,10785.799000000,10781.437500000,4.354500000,96.127500000,192255,36.850000000,8.359524028,26.691283164,130.738607798,1.149904646,54.893413470,1.000000000
22,fixed_random_bfs,3200644413,512,24,488,364,2000,1976,0,0.000000000,10881.926500000,10852.865500000,10852.858500000,0.000000000,29.061000000,58122,6.450000000,8.359524028,27.262398311,130.779532500,1.146898931,56.106987351,1.000000000
23,history_hotspot_bfs,2156098755,512,44,468,483,2000,1976,129,6.450000000,10881.926500000,10823.694000000,10808.323500000,15.363500000,58.232500000,116465,28.100000000,8.359524028,27.254921187,131.544237348,1.094929670,56.003616076,1.000000000
24,fixed_random_bfs,6768048270,512,27,485,676,2000,1976,0,0.000000000,10881.926500000,10881.384500000,10881.377500000,0.000000000,0.542000000,1084,0.200000000,8.359524028,27.327222438,132.767901649,1.106603425,56.253574240,1.000000000
25,history_hotspot_bfs,423185164,512,35,477,328,2000,1976,83,4.150000000,10881.926500000,10715.959500000,10701.177000000,14.775500000,165.967000000,331934,58.750000000,8.359524028,27.814774471,135.110991753,1.092539310,57.208849394,1.000000000
26,fixed_random_bfs,4665705852,512,26,486,222,2000,1976,10,0.500000000,10881.926500000,10841.590500000,10840.504500000,1.079000000,40.336000000,80672,14.700000000,8.359524028,25.696817319,125.026909650,1.074232543,52.820900376,1.000000000
27,fixed_random_bfs,3241516294,512,44,468,1213,2000,1976,0,0.000000000,10881.926500000,10853.458500000,10853.451500000,0.000000000,28.468000000,56936,10.050000000,8.359524028,28.041205289,140.801281349,1.184323059,57.723524988,1.000000000
28,history_hotspot_bfs,12456240972,512,40,472,365,2000,1976,279,13.950000000,10881.926500000,10700.878000000,10653.136000000,47.735000000,181.048500000,362097,64.700000000,8.359524028,26.966094148,128.698276998,1.080059303,55.300569885,1.000000000
29,fixed_random_bfs,4955285396,512,26,486,405,2000,1976,6,0.300000000,10881.926500000,10857.245000000,10855.774000000,1.464000000,24.681500000,49363,7.900000000,8.359524028,25.552315705,117.597920147,0.853538797,52.562727792,1.000000000
30,history_hotspot_bfs,12064709805,512,32,480,275,2000,1976,335,16.750000000,10881.926500000,10748.403000000,10693.729500000,54.666500000,133.523500000,267047,57.200000000,8.359524028,30.920344661,152.044051002,1.197328146,63.427286184,1.000000000
31,fixed_random_bfs,497240505,512,43,469,846,2000,1976,23,1.150000000,10881.926500000,10797.915500000,10793.495500000,4.413000000,84.011000000,168022,25.850000000,8.359524028,28.626386977,140.421562000,1.185364655,58.908573788,1.000000000
32,history_hotspot_bfs,9026947863,512,26,486,207,2000,1976,138,6.900000000,10881.926500000,10758.949500000,10727.892500000,31.050000000,122.977000000,245954,46.750000000,8.359524028,25.241703614,124.787964849,1.548377348,51.838076717,1.000000000
33,fixed_random_bfs,9073575305,512,46,466,835,2000,1976,92,4.600000000,10881.926500000,10751.715000000,10730.385500000,21.322500000,130.211500000,260423,55.500000000,8.359524028,27.627611438,133.480134501,1.497396010,56.827691361,1.000000000
34,fixed_random_bfs,4074469815,512,25,487,404,2000,1976,7,0.350000000,10881.926500000,10848.348500000,10846.595500000,1.746000000,33.578000000,67156,12.550000000,8.359524028,31.183662104,150.400721200,1.486852211,64.234585673,1.000000000
35,fixed_random_bfs,10562265153,512,23,489,263,2000,1976,0,0.000000000,10881.926500000,10875.024000000,10875.017000000,0.000000000,6.902500000,13805,2.150000000,8.359524028,27.757990185,135.668743498,1.475689803,57.122483811,1.000000000
36,history_hotspot_bfs,1731168353,512,47,465,415,2000,1976,52,2.600000000,10881.926500000,10788.767500000,10783.283500000,5.477000000,93.159000000,186318,34.850000000,8.359524028,25.607873720,124.117344850,1.388814803,52.628496437,1.000000000
37,fixed_random_bfs,1801523308,512,27,485,184,2000,1976,1,0.050000000,10881.926500000,10858.076000000,10858.063000000,0.006000000,23.850500000,47701,5.750000000,8.359524028,23.658599991,115.491489949,1.266746313,48.570887859,1.000000000
38,history_hotspot_bfs,4529952469,512,35,477,205,2000,1976,229,11.450000000,10881.926500000,10705.709500000,10664.171500000,41.531000000,176.217000000,352434,65.950000000,8.359524028,27.477449657,135.654837601,1.710521442,56.383000629,1.000000000
39,fixed_random_bfs,1548076025,512,36,476,595,2000,1976,18,0.900000000,10881.926500000,10806.487000000,10802.780000000,3.700000000,75.439500000,150879,27.750000000,8.359524028,25.635803623,124.149411947,1.578914305,52.686897948,1.000000000
40,history_hotspot_bfs,5185083151,512,25,487,303,2000,1976,18,0.900000000,10881.926500000,10822.691000000,10818.663000000,4.021000000,59.235500000,118471,20.350000000,8.359524028,27.642953505,133.736186950,1.542068672,56.867335017,1.000000000
41,fixed_random_bfs,5185111392,512,31,481,430,2000,1976,6,0.300000000,10881.926500000,10850.168500000,10848.752500000,1.409000000,31.758000000,63516,10.000000000,8.359524028,27.578392122,133.573681900,1.526184981,56.744204187,1.000000000
42,fixed_random_bfs,445353619,512,26,486,509,2000,1976,5,0.250000000,10881.926500000,10855.211000000,10853.940000000,1.264000000,26.715500000,53431,8.600000000,8.359524028,27.598431611,135.225790301,1.718294736,56.790662241,1.000000000
43,history_hotspot_bfs,12514870315,512,37,475,415,2000,1976,215,10.750000000,10881.926500000,10734.528000000,10693.161500000,41.359500000,147.398500000,294797,58.900000000,8.359524028,25.167884310,119.665048251,1.286678249,51.663300148,1.000000000
44,history_hotspot_bfs,314074569,512,42,470,837,2000,1976,92,4.600000000,10881.926500000,10776.429000000,10757.434000000,18.988000000,105.497500000,210995,39.800000000,8.359524028,31.758590853,153.724564449,1.636712341,65.356592441,1.000000000
45,fixed_random_bfs,5284628346,512,26,486,625,2000,1976,0,0.000000000,10881.926500000,10878.879500000,10878.872500000,0.000000000,3.047000000,6094,2.450000000,8.359524028,27.519783832,133.106799750,1.493395931,56.622037992,1.000000000
46,spatial_uniform_bfs,6491943284,512,29,483,678,2000,1976,2,0.100000000,10881.926500000,10879.206000000,10878.695000000,0.504000000,2.720500000,5441,1.500000000,8.359524028,27.252853053,130.570904450,1.482460589,56.074344359,1.000000000
47,history_hotspot_bfs,6924815711,512,58,454,470,2000,1976,134,6.700000000,10881.926500000,10739.651500000,10720.802500000,18.842000000,142.275000000,284550,64.150000000,8.359524028,27.219884053,131.200770950,1.469673388,55.924668369,1.000000000
48,fixed_random_bfs,10892466852,512,32,480,584,2000,1976,45,2.250000000,10881.926500000,10830.076000000,10820.157500000,9.911500000,51.850500000,103701,19.150000000,8.359524028,32.357470606,156.960172001,1.201612799,66.606469898,1.000000000
49,history_hotspot_bfs,3098121126,512,44,468,260,2000,1976,273,13.650000000,10881.926500000,10721.259500000,10693.093500000,28.159000000,160.667000000,321334,66.500000000,8.359524028,24.255323240,117.023354498,0.931185300,49.663673875,1.000000000
50,fixed_random_bfs,1110698247,512,44,468,372,2000,1976,174,8.700000000,10881.926500000,10699.082000000,10678.482000000,20.593000000,182.844500000,365689,68.350000000,8.359524028,28.654837646,140.343526849,0.896042927,58.887641197,1.000000000
51,history_hotspot_bfs,12456064553,512,55,457,416,2000,1976,94,4.700000000,10881.926500000,10704.884500000,10692.749000000,12.128500000,177.042000000,354084,70.950000000,8.359524028,26.110176602,119.430150250,0.875876866,53.644680746,1.000000000
52,fixed_random_bfs,13426945403,512,29,483,704,2000,1976,1,0.050000000,10881.926500000,10869.400500000,10869.143000000,0.250500000,12.526000000,25052,4.700000000,8.359524028,29.496805324,145.361278800,1.278947370,60.741328641,1.000000000
53,spatial_uniform_bfs,1145535936,512,34,478,963,2000,1976,2,0.100000000,10881.926500000,10878.867500000,10878.352500000,0.508000000,3.059000000,6118,1.800000000,8.359524028,26.119585645,124.311425898,0.922707190,53.697702799,1.000000000
54,fixed_random_bfs,11406498895,512,40,472,746,2000,1976,1,0.050000000,10881.926500000,10853.205000000,10852.959000000,0.239000000,28.721500000,57443,9.350000000,8.359524028,27.977266374,136.348865502,1.143273397,57.548249708,1.000000000
55,history_hotspot_bfs,1471128087,512,42,470,843,2000,1976,56,2.800000000,10881.926500000,10811.790000000,10800.119500000,11.663500000,70.136500000,140273,39.000000000,8.359524028,31.172018355,147.735528250,1.125189486,64.181982879,1.000000000
56,fixed_random_bfs,1251033242,512,48,464,983,2000,1976,12,0.600000000,10881.926500000,10843.195500000,10840.779000000,2.409500000,38.731000000,77462,13.900000000,8.359524028,23.233734044,112.585510750,0.904330360,47.669676172,1.000000000
57,history_hotspot_bfs,7057137055,512,46,466,458,2000,1976,110,5.500000000,10881.926500000,10722.281000000,10707.903500000,14.370500000,159.645500000,319291,62.750000000,8.359524028,26.646533904,128.871538748,1.143722286,54.731328444,1.000000000
58,fixed_random_bfs,1436602798,512,37,475,611,2000,1976,1,0.050000000,10881.926500000,10865.025500000,10864.795500000,0.223000000,16.901000000,33802,6.650000000,8.359524028,28.020264792,134.345689250,1.112168875,57.648842578,1.000000000
59,spatial_uniform_bfs,1263990239,512,29,483,784,2000,1976,1,0.050000000,10881.926500000,10876.910500000,10876.650500000,0.253000000,5.016000000,10032,2.550000000,8.359524028,28.176723011,136.048871101,1.122784320,57.975006051,1.000000000
60,history_hotspot_bfs,112613631,512,32,480,404,2000,1976,42,2.100000000,10881.926500000,10819.525500000,10811.222000000,8.296500000,62.401000000,124802,22.400000000,8.359524028,27.915006125,133.642828698,1.113290153,57.406373243,1.000000000
61,fixed_random_bfs,4753112735,512,17,495,272,2000,1976,0,0.000000000,10881.926500000,10880.932500000,10880.925500000,0.000000000,0.994000000,1988,0.550000000,8.359524028,23.524228676,113.255990900,1.138374789,48.277443281,1.000000000
62,fixed_random_bfs,1324799773,512,18,494,306,2000,1976,0,0.000000000,10881.926500000,10881.460000000,10881.453000000,0.000000000,0.466500000,933,0.200000000,8.359524028,29.230859339,145.037258901,1.230615865,60.158490134,1.000000000
63,history_hotspot_bfs,5849890925,512,33,479,310,2000,1976,65,3.250000000,10881.926500000,10770.116000000,10756.104500000,14.004500000,111.810500000,223621,39.500000000,8.359524028,27.821577585,134.333586147,0.872306140,57.213923852,1.000000000
64,fixed_random_bfs,3250683230,512,34,478,735,2000,1976,43,2.150000000,10881.926500000,10804.793500000,10794.386500000,10.400000000,77.133000000,154266,31.400000000,8.359524028,23.305871623,114.493913899,1.193883267,47.821995086,1.000000000
65,spatial_uniform_bfs,1263990280,512,35,477,1027,2000,1976,2,0.100000000,10881.926500000,10878.249000000,10877.738500000,0.503500000,3.677500000,7355,1.800000000,8.359524028,32.450095358,158.177662050,1.669334587,66.824025545,1.000000000
66,history_hotspot_bfs,12170822363,512,48,464,598,2000,1976,41,2.050000000,10881.926500000,10776.810500000,10768.972500000,7.831000000,105.116000000,210232,34.500000000,8.359524028,23.078810374,111.830261200,1.344096206,47.322048579,1.000000000
67,fixed_random_bfs,1321499596,512,30,482,870,2000,1976,1,0.050000000,10881.926500000,10875.404000000,10875.141000000,0.256000000,6.522500000,13045,2.300000000,8.359524028,32.340864332,157.405714599,1.878339270,66.602026873,1.000000000
