region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,spatial_uniform_bfs,1300651758,512,28,484,652,500,494,0,0.000000000,10072.006000000,10067.784000000,10067.778000000,0.000000000,4.222000000,2111,1.800000000,7.674976160,22.563709170,101.223030351,2.051660327,11.628013792,1.000000000
1,history_hotspot_bfs,11005952442,512,47,465,439,500,494,85,17.000000000,10072.006000000,9910.512000000,9868.076000000,42.430000000,161.494000000,80747,61.600000000,7.674976160,24.884512954,112.785340249,2.433905207,12.764111289,1.000000000
2,fixed_random_bfs,1142609813,512,16,496,225,500,494,0,0.000000000,10072.006000000,10055.112000000,10055.106000000,0.000000000,16.894000000,8447,5.200000000,7.674976160,29.079739902,134.172790700,2.504023071,15.007899252,1.000000000
3,history_hotspot_bfs,5305637330,512,26,486,299,500,494,36,7.200000000,10072.006000000,9976.322000000,9942.464000000,33.852000000,95.684000000,47842,39.600000000,7.674976160,26.946096260,121.212026253,2.245672959,13.888632672,1.000000000
4,fixed_random_bfs,1112073249,512,44,468,580,500,494,0,0.000000000,10072.006000000,10046.634000000,10046.628000000,0.000000000,25.372000000,12686,14.800000000,7.674976160,22.925187840,96.449201950,2.204521960,11.800356126,1.000000000
5,history_hotspot_bfs,12111393897,512,36,476,198,500,494,98,19.600000000,10072.006000000,9903.102000000,9860.176000000,42.920000000,168.904000000,84452,64.600000000,7.674976160,22.488398492,100.964388202,2.244501027,11.525818986,1.000000000
6,fixed_random_bfs,12484918850,512,27,485,255,500,494,0,0.000000000,10072.006000000,10068.466000000,10068.460000000,0.000000000,3.540000000,1770,2.800000000,7.674976160,25.275803344,107.591152549,2.516817993,13.035751239,1.000000000
7,history_hotspot_bfs,3573222227,512,34,478,367,500,494,36,7.200000000,10072.006000000,10030.506000000,10010.818000000,19.682000000,41.500000000,20750,23.000000000,7.674976160,23.656898170,107.583077099,2.265142221,12.172360601,1.000000000
8,fixed_random_bfs,292782963,512,29,483,490,500,494,0,0.000000000,10072.006000000,10061.838000000,10061.832000000,0.000000000,10.168000000,5084,3.200000000,7.674976160,23.773149974,108.158331250,2.274322395,12.242593912,1.000000000
9,fixed_random_bfs,479437576,512,18,494,100,500,494,12,2.400000000,10072.006000000,9963.862000000,9953.528000000,10.328000000,108.144000000,54072,36.000000000,7.674976160,23.708246826,110.091891098,2.263774967,12.217042948,1.000000000
10,history_hotspot_bfs,10804032079,512,28,484,186,500,494,53,10.600000000,10072.006000000,9925.144000000,9886.002000000,39.136000000,146.862000000,73431,60.200000000,7.674976160,23.869703286,113.255283951,2.151520853,12.275877580,1.000000000
11,fixed_random_bfs,2163335530,512,38,474,537,500,494,5,1.000000000,10072.006000000,10032.972000000,10032.122000000,0.844000000,39.034000000,19517,18.000000000,7.674976160,26.246919988,117.496715449,2.390074303,13.535576922,1.000000000
12,history_hotspot_bfs,13050276131,512,30,482,244,500,494,43,8.600000000,10072.006000000,9926.950000000,9893.048000000,33.896000000,145.056000000,72528,54.200000000,7.674976160,20.299968288,94.508883749,2.026733641,10.411257407,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,500,494,0,0.000000000,10072.006000000,10070.890000000,10070.884000000,0.000000000,1.116000000,558,0.400000000,7.674976160,20.034779168,92.464977850,2.074397537,10.293445434,1.000000000
14,history_hotspot_bfs,12435776715,512,18,494,88,500,494,20,4.000000000,10072.006000000,10055.426000000,10049.920000000,5.500000000,16.580000000,8290,4.600000000,7.674976160,26.900054456,113.402026350,2.484395240,13.750374800,1.000000000
15,fixed_random_bfs,1327639071,512,21,491,293,500,494,0,0.000000000,10072.006000000,10059.456000000,10059.450000000,0.000000000,12.550000000,6275,4.200000000,7.674976160,24.072881616,107.469750900,2.256936229,12.397411882,1.000000000
16,history_hotspot_bfs,129795309,512,29,483,262,500,494,45,9.000000000,10072.006000000,9912.162000000,9885.122000000,27.034000000,159.844000000,79922,55.800000000,7.674976160,20.488056882,99.067991901,0.850952830,10.516805596,1.000000000
17,fixed_random_bfs,6094066396,512,32,480,185,500,494,0,0.000000000,10072.006000000,10059.940000000,10059.934000000,0.000000000,12.066000000,6033,4.200000000,7.674976160,29.611323172,134.982432602,1.256067174,15.278221684,1.000000000
18,history_hotspot_bfs,1386063700,512,38,474,191,500,494,98,19.600000000,10072.006000000,9917.518000000,9868.216000000,49.296000000,154.488000000,77244,67.200000000,7.674976160,27.627130010,116.864379800,1.308511362,14.198854230,1.000000000
