region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,fixed_random_bfs,261130664,512,63,449,2664,2000,2000,2,0.100000000,3240.418500000,3236.671500000,3235.941500000,0.730000000,3.747000000,7494,2.350000000,3.314701307,6.800521903,27.410371743,1.277490442,13.895956398,1.000000000
1,fixed_random_bfs,261245312,512,49,463,1144,2000,2000,84,4.200000000,3240.418500000,3222.190500000,3201.290500000,20.900000000,18.228000000,36456,12.250000000,3.314701307,4.760569213,19.114619061,1.004364354,9.718074763,1.000000000
2,fixed_random_bfs,709360166,512,56,456,1447,2000,2000,57,2.850000000,3240.418500000,3184.748500000,3175.609000000,9.139500000,55.670000000,111340,26.600000000,3.314701307,5.319458989,21.754345211,1.274572702,10.861386198,1.000000000
3,fixed_random_bfs,1296625442,512,45,467,1135,2000,2000,23,1.150000000,3240.418500000,3225.762000000,3219.456500000,6.305500000,14.656500000,29313,7.750000000,3.314701307,4.816984887,19.372142112,1.006441608,9.842756501,1.000000000
4,fixed_random_bfs,5495808193,512,69,443,3972,2000,2000,0,0.000000000,3240.418500000,3240.197000000,3240.197000000,0.000000000,0.221500000,443,0.050000000,3.314701307,5.651045893,22.876309709,1.279119250,11.550137476,1.000000000
5,fixed_random_bfs,1647496589,512,60,452,484,2000,2000,35,1.750000000,3240.418500000,3200.000500000,3197.818500000,2.182000000,40.418000000,80836,28.100000000,3.314701307,5.494676817,21.532807852,0.938294943,11.225025583,1.000000000
6,fixed_random_bfs,739118563,512,41,471,594,2000,2000,125,6.250000000,3240.418500000,3197.693000000,3173.089000000,24.604000000,42.725500000,85451,24.950000000,3.314701307,5.741485161,22.903703597,1.274951468,11.714622322,1.000000000
7,fixed_random_bfs,1308232052,512,51,461,1529,2000,2000,7,0.350000000,3240.418500000,3235.119500000,3232.917500000,2.202000000,5.299000000,10598,3.950000000,3.314701307,5.881894754,23.602798043,1.309219939,12.017205343,1.000000000
8,fixed_random_bfs,2402712172,512,43,469,1162,2000,2000,1,0.050000000,3240.418500000,3239.608500000,3239.362500000,0.246000000,0.810000000,1620,0.750000000,3.314701307,5.963151966,23.672141342,1.276181639,12.182836163,1.000000000
9,fixed_random_bfs,8229753272,512,58,454,1266,2000,2000,69,3.450000000,3240.418500000,3192.269500000,3183.170500000,9.099000000,48.149000000,96298,25.400000000,3.314701307,4.788555447,19.016225055,0.941199468,9.775781724,1.000000000
10,fixed_random_bfs,5870701665,512,60,452,1595,2000,2000,1,0.050000000,3240.418500000,3237.473500000,3237.028500000,0.445000000,2.945000000,5890,2.750000000,3.314701307,4.957635588,20.010065144,0.949458761,10.131540115,1.000000000
11,fixed_random_bfs,9074937013,512,40,472,824,2000,2000,35,1.750000000,3240.418500000,3246.139000000,3235.304000000,10.835000000,-5.720500000,-11441,0.850000000,3.314701307,4.862268224,19.254684448,1.002339470,9.936516534,1.000000000
12,fixed_random_bfs,602411024,512,34,478,768,2000,2000,5,0.250000000,3240.418500000,3236.997000000,3235.745500000,1.251500000,3.421500000,6843,1.750000000,3.314701307,6.727219028,27.338130795,1.272644043,13.746204571,1.000000000
13,fixed_random_bfs,727782494,512,40,472,939,2000,2000,0,0.000000000,3240.418500000,3239.913000000,3239.913000000,0.000000000,0.505500000,1011,0.550000000,3.314701307,4.761930593,19.141408250,0.933502249,9.730110857,1.000000000
14,fixed_random_bfs,261312107,512,46,466,1644,2000,2000,0,0.000000000,3240.418500000,3240.245500000,3240.245500000,0.000000000,0.173000000,346,0.100000000,3.314701307,4.752256973,19.031574197,0.935024872,9.709723427,1.000000000
15,fixed_random_bfs,2401929340,512,45,467,1200,2000,2000,3,0.150000000,3240.418500000,3237.532000000,3236.802500000,0.729500000,2.886500000,5773,2.650000000,3.314701307,6.724407171,27.445635998,1.272666136,13.736826362,1.000000000
16,fixed_random_bfs,709547089,512,38,474,1093,2000,2000,5,0.250000000,3240.418500000,3240.084500000,3238.571000000,1.513500000,0.334000000,668,0.850000000,3.314701307,4.956312703,19.742433653,1.295781635,10.129717543,1.000000000
17,fixed_random_bfs,261201660,512,66,446,4097,2000,2000,0,0.000000000,3240.418500000,3240.007500000,3240.007500000,0.000000000,0.411000000,822,0.100000000,3.314701307,4.759592937,19.131221293,1.026665234,9.725336907,1.000000000
18,fixed_random_bfs,261210238,512,42,470,1162,2000,2000,0,0.000000000,3240.418500000,3239.835000000,3239.835000000,0.000000000,0.583500000,1167,0.400000000,3.314701307,6.437517867,26.051861009,1.269126457,13.151260842,1.000000000
19,fixed_random_bfs,7396450160,512,45,467,1526,2000,2000,4,0.200000000,3240.418500000,3239.478500000,3238.495500000,0.983000000,0.940000000,1880,0.550000000,3.314701307,6.769626787,27.366652144,1.277863511,13.829553424,1.000000000
20,fixed_random_bfs,2183538570,512,47,465,1238,2000,2000,0,0.000000000,3240.418500000,3239.475000000,3239.475000000,0.000000000,0.943500000,1887,0.400000000,3.314701307,4.768083836,19.187786155,1.004740056,9.744129487,1.000000000
21,fixed_random_bfs,2243177979,512,52,460,1419,2000,2000,20,1.000000000,3240.418500000,3234.800500000,3229.542500000,5.258000000,5.618000000,11236,4.350000000,3.314701307,6.742930183,26.973832288,1.279957492,13.771367598,1.000000000
22,fixed_random_bfs,259745633,512,35,477,710,2000,2000,25,1.250000000,3240.418500000,3237.612000000,3231.516000000,6.096000000,2.806500000,5613,2.750000000,3.314701307,4.875969112,19.538324899,1.220726439,9.963584117,1.000000000
23,fixed_random_bfs,1894564272,512,38,474,849,2000,2000,27,1.350000000,3240.418500000,3219.318000000,3213.398500000,5.919500000,21.100500000,42201,11.800000000,3.314701307,6.699433662,27.098945811,1.273906583,13.684136151,1.000000000
24,fixed_random_bfs,367763450,512,49,463,1524,2000,2000,0,0.000000000,3240.418500000,3240.187000000,3240.187000000,0.000000000,0.231500000,463,0.050000000,3.314701307,4.725409314,19.029203601,0.931959060,9.654924673,1.000000000
25,fixed_random_bfs,2396652983,512,54,458,1254,2000,2000,4,0.200000000,3240.418500000,3227.985000000,3227.053000000,0.932000000,12.433500000,24867,7.100000000,3.314701307,6.690607800,27.485929057,1.271685977,13.666110748,1.000000000
26,fixed_random_bfs,261115691,512,37,475,812,2000,2000,0,0.000000000,3240.418500000,3240.064000000,3240.064000000,0.000000000,0.354500000,709,0.200000000,3.314701307,6.772649341,27.262100954,1.278640832,13.840026695,1.000000000
27,fixed_random_bfs,1317862230,512,52,460,1570,2000,2000,35,1.750000000,3240.418500000,3226.676500000,3217.724500000,8.952000000,13.742000000,27484,8.450000000,3.314701307,4.782553399,19.283041402,0.935374314,9.767913797,1.000000000
28,fixed_random_bfs,2431739453,512,43,469,1377,2000,2000,3,0.150000000,3240.418500000,3239.815500000,3239.066000000,0.749500000,0.603000000,1206,0.650000000,3.314701307,4.831703070,19.738869955,0.933010165,9.871252149,1.000000000
29,fixed_random_bfs,367783431,512,40,472,1064,2000,2000,0,0.000000000,3240.418500000,3240.140000000,3240.140000000,0.000000000,0.278500000,557,0.150000000,3.314701307,4.831399356,19.212062359,0.933383956,9.873216735,1.000000000
30,fixed_random_bfs,2402691813,512,55,457,1946,2000,2000,3,0.150000000,3240.418500000,3238.867000000,3237.877000000,0.990000000,1.551500000,3103,1.450000000,3.314701307,6.790076911,27.384067207,1.272558461,13.870087910,1.000000000
31,fixed_random_bfs,1929916051,512,43,469,1565,2000,2000,1,0.050000000,3240.418500000,3239.622000000,3239.371500000,0.250500000,0.796500000,1593,0.350000000,3.314701307,6.720588195,27.240689804,1.305550531,13.727707176,1.000000000
32,fixed_random_bfs,261102572,512,54,458,1386,2000,2000,0,0.000000000,3240.418500000,3240.155000000,3240.155000000,0.000000000,0.263500000,527,0.200000000,3.314701307,4.759322371,18.994631343,0.994746483,9.724735736,1.000000000
33,fixed_random_bfs,365020486,512,56,456,1431,2000,2000,68,3.400000000,3240.418500000,3223.858500000,3206.539500000,17.319000000,16.560000000,33120,11.900000000,3.314701307,4.788732338,19.111915362,0.931592123,9.775888236,1.000000000
34,fixed_random_bfs,2172916655,512,44,468,1353,2000,2000,2,0.100000000,3240.418500000,3238.931000000,3238.437000000,0.494000000,1.487500000,2975,1.000000000,3.314701307,4.752741736,19.239701958,1.176031725,9.710362220,1.000000000
35,fixed_random_bfs,408454273,512,61,451,2408,2000,2000,1,0.050000000,3240.418500000,3238.939500000,3238.453000000,0.486500000,1.479000000,2958,1.200000000,3.314701307,4.874650372,19.475158102,1.272512636,9.962090572,1.000000000
36,fixed_random_bfs,258019611,512,61,451,1326,2000,2000,8,0.400000000,3240.418500000,3235.589000000,3234.107500000,1.481500000,4.829500000,9659,4.350000000,3.314701307,5.620804374,21.665868098,0.924145030,11.485581891,1.000000000
37,fixed_random_bfs,1473072794,512,45,467,913,2000,2000,14,0.700000000,3240.418500000,3230.553500000,3226.961500000,3.592000000,9.865000000,19730,3.950000000,3.314701307,6.422505372,25.735586892,0.991774460,13.121999657,1.000000000
38,fixed_random_bfs,5307840552,512,49,463,1813,2000,2000,105,5.250000000,3240.418500000,3203.886500000,3175.902500000,27.984000000,36.532000000,73064,24.600000000,3.314701307,5.115451718,20.280676997,1.369792641,10.441653050,1.000000000
39,fixed_random_bfs,6341895472,512,46,466,849,2000,2000,8,0.400000000,3240.418500000,3236.194000000,3234.923000000,1.271000000,4.224500000,8449,4.700000000,3.314701307,6.751188365,27.419548150,1.259402747,13.791034579,1.000000000
40,fixed_random_bfs,7187140191,512,42,470,1066,2000,2000,57,2.850000000,3240.418500000,3194.652000000,3180.268000000,14.384000000,45.766500000,91533,26.900000000,3.314701307,4.798484671,19.397888103,0.796865073,9.799272990,1.000000000
41,fixed_random_bfs,4881223217,512,46,466,1341,2000,2000,0,0.000000000,3240.418500000,3240.218000000,3240.218000000,0.000000000,0.200500000,401,0.050000000,3.314701307,4.835367454,19.488850552,0.813748140,9.880627464,1.000000000
42,fixed_random_bfs,366588631,512,55,457,1577,2000,2000,0,0.000000000,3240.418500000,3240.206000000,3240.206000000,0.000000000,0.212500000,425,0.150000000,3.314701307,6.692692010,26.771260546,0.817996778,13.676614597,1.000000000
43,fixed_random_bfs,2174877840,512,50,462,1079,2000,2000,26,1.300000000,3240.418500000,3227.180000000,3221.004500000,6.175500000,13.238500000,26477,5.900000000,3.314701307,4.866319966,19.568806748,0.815973309,9.941350847,1.000000000
44,fixed_random_bfs,728736502,512,43,469,1034,2000,2000,0,0.000000000,3240.418500000,3239.761500000,3239.761500000,0.000000000,0.657000000,1314,0.200000000,3.314701307,4.866622733,19.528700205,0.810143110,9.943933707,1.000000000
45,fixed_random_bfs,2426839445,512,59,453,2366,2000,2000,0,0.000000000,3240.418500000,3240.192000000,3240.192000000,0.000000000,0.226500000,453,0.050000000,3.314701307,4.872282920,19.600484842,0.809073178,9.957161865,1.000000000
46,fixed_random_bfs,1494455687,512,56,456,2041,2000,2000,0,0.000000000,3240.418500000,3240.418500000,3240.418500000,0.000000000,0.000000000,0,0.000000000,3.314701307,4.857276378,19.477646955,0.805202217,9.925129916,1.000000000
47,fixed_random_bfs,736861058,512,57,455,899,2000,2000,84,4.200000000,3240.418500000,3174.632000000,3155.019500000,19.612500000,65.786500000,131573,28.900000000,3.314701307,4.782823317,19.227734605,0.797986688,9.763936090,1.000000000
48,fixed_random_bfs,261211056,512,43,469,722,2000,2000,0,0.000000000,3240.418500000,3240.185500000,3240.185500000,0.000000000,0.233000000,466,0.050000000,3.314701307,4.858658933,19.561407151,0.808058002,9.931645147,1.000000000
49,fixed_random_bfs,6042061913,512,39,473,1226,2000,2000,9,0.450000000,3240.418500000,3226.285500000,3224.036500000,2.249000000,14.133000000,28266,6.850000000,3.314701307,4.841953863,19.392886799,0.804125401,9.892617360,1.000000000
50,fixed_random_bfs,261135255,512,33,479,760,2000,2000,0,0.000000000,3240.418500000,3240.179500000,3240.179500000,0.000000000,0.239000000,478,0.050000000,3.314701307,4.909100500,19.468125755,0.799382612,10.032453526,1.000000000
51,fixed_random_bfs,4384635707,512,41,471,1097,2000,2000,128,6.400000000,3240.418500000,3206.781500000,3173.272000000,33.509500000,33.637000000,67274,18.650000000,3.314701307,4.860014174,19.528999649,0.794572768,9.919246091,1.000000000
52,fixed_random_bfs,9239252083,512,50,462,1587,2000,2000,0,0.000000000,3240.418500000,3240.056500000,3240.056500000,0.000000000,0.362000000,724,0.450000000,3.314701307,4.898972828,19.517908102,0.795363795,10.010575583,1.000000000
53,fixed_random_bfs,9169043132,512,49,463,1770,2000,2000,66,3.300000000,3240.418500000,3184.304000000,3167.337000000,16.967000000,56.114500000,112229,25.900000000,3.314701307,4.875667890,19.698298008,0.780413096,9.955012918,1.000000000
54,fixed_random_bfs,261152732,512,39,473,747,2000,2000,0,0.000000000,3240.418500000,3240.418500000,3240.418500000,0.000000000,0.000000000,0,0.000000000,3.314701307,6.772905856,27.594504197,1.102668433,13.839327917,1.000000000
55,fixed_random_bfs,1482492926,512,60,452,2229,2000,2000,37,1.850000000,3240.418500000,3226.830000000,3217.904000000,8.926000000,13.588500000,27177,8.850000000,3.314701307,6.780355157,27.401049298,1.084067991,13.843877929,1.000000000
56,fixed_random_bfs,6290594072,512,34,478,933,2000,2000,0,0.000000000,3240.418500000,3240.418500000,3240.418500000,0.000000000,0.000000000,0,0.000000000,3.314701307,4.829838312,18.884039194,0.751165799,9.870751700,1.000000000
57,fixed_random_bfs,8041709691,512,45,467,1808,2000,2000,7,0.350000000,3240.418500000,3240.412000000,3238.636000000,1.776000000,0.006500000,13,0.350000000,3.314701307,4.857333582,19.022336501,0.754722318,9.926922740,1.000000000
58,fixed_random_bfs,6986257372,512,28,484,389,2000,2000,0,0.000000000,3240.418500000,3240.216000000,3240.216000000,0.000000000,0.202500000,405,0.050000000,3.314701307,6.716079967,26.961982892,1.080716176,13.722650512,1.000000000
59,fixed_random_bfs,4070073402,512,39,473,577,2000,2000,129,6.450000000,3240.418500000,3188.587000000,3163.714500000,24.872500000,51.831500000,103663,27.800000000,3.314701307,4.859215660,19.548857598,0.754156832,9.917082174,1.000000000
60,fixed_random_bfs,261164801,512,44,468,777,2000,2000,6,0.300000000,3240.418500000,3235.000500000,3233.575500000,1.425000000,5.418000000,10836,2.400000000,3.314701307,4.885746236,19.869690204,0.747243529,9.985406079,1.000000000
61,fixed_random_bfs,261127767,512,42,470,1523,2000,2000,0,0.000000000,3240.418500000,3240.183500000,3240.183500000,0.000000000,0.235000000,470,0.050000000,3.314701307,6.736277577,27.235221150,1.070208486,13.762635381,1.000000000
62,fixed_random_bfs,713241889,512,48,464,1529,2000,2000,3,0.150000000,3240.418500000,3229.285500000,3228.550500000,0.735000000,11.133000000,22266,5.650000000,3.314701307,6.710220787,26.822674848,1.067818408,13.708376357,1.000000000
63,fixed_random_bfs,2871468811,512,29,483,534,2000,2000,116,5.800000000,3240.418500000,3175.526000000,3146.133000000,29.393000000,64.892500000,129785,26.400000000,3.314701307,4.843704204,19.831895354,0.774383653,9.887458201,1.000000000
64,fixed_random_bfs,5892601787,512,58,454,2507,2000,2000,33,1.650000000,3240.418500000,3210.632000000,3202.464000000,8.168000000,29.786500000,59573,16.900000000,3.314701307,4.954874086,20.044387607,0.775069159,10.119467192,1.000000000
65,fixed_random_bfs,2005928505,512,35,477,964,2000,2000,0,0.000000000,3240.418500000,3240.105500000,3240.105500000,0.000000000,0.313000000,626,0.250000000,3.314701307,4.900786531,19.844515950,0.754630610,10.017012403,1.000000000
66,fixed_random_bfs,8113178951,512,55,457,1307,2000,2000,8,0.400000000,3240.418500000,3234.776500000,3232.650500000,2.126000000,5.642000000,11284,3.300000000,3.314701307,4.950214415,20.305841351,0.755061780,10.114273350,1.000000000
67,fixed_random_bfs,2264917066,512,54,458,1613,2000,2000,41,2.050000000,3240.418500000,3231.216500000,3220.750000000,10.466500000,9.202000000,18404,7.150000000,3.314701307,6.821547414,27.529053397,1.120508959,13.930842275,1.000000000
68,fixed_random_bfs,4489793464,512,45,467,777,2000,2000,110,5.500000000,3240.418500000,3188.259500000,3164.298500000,23.961000000,52.159000000,104318,26.700000000,3.314701307,6.671329169,27.136619304,1.134444433,13.609336967,1.000000000
69,fixed_random_bfs,308441105,512,54,458,1783,2000,2000,41,2.050000000,3240.418500000,3198.022000000,3186.859500000,11.162500000,42.396500000,84793,22.500000000,3.314701307,6.743940034,27.419874749,1.146232648,13.771084723,1.000000000
70,fixed_random_bfs,5930773268,512,50,462,1854,2000,2000,5,0.250000000,3240.418500000,3235.067500000,3233.567500000,1.500000000,5.351000000,10702,3.150000000,3.314701307,6.768251461,27.723244199,1.141087637,13.826642466,1.000000000
71,fixed_random_bfs,5435951427,512,59,453,2056,2000,2000,5,0.250000000,3240.418500000,3237.474500000,3236.147000000,1.327500000,2.944000000,5888,3.550000000,3.314701307,6.778994991,27.570220695,1.122278752,13.848580896,1.000000000
72,fixed_random_bfs,2196336941,512,46,466,1000,2000,2000,5,0.250000000,3240.418500000,3231.940000000,3230.762500000,1.177500000,8.478500000,16957,5.100000000,3.314701307,6.782878607,27.687489006,1.113637639,13.857786980,1.000000000
73,fixed_random_bfs,375650309,512,37,475,733,2000,2000,0,0.000000000,3240.418500000,3239.207500000,3239.207500000,0.000000000,1.211000000,2422,0.400000000,3.314701307,6.768176048,27.520730691,1.126666070,13.827726415,1.000000000
74,fixed_random_bfs,1394106985,512,44,468,785,2000,2000,12,0.600000000,3240.418500000,3237.554500000,3235.232500000,2.322000000,2.864000000,5728,5.600000000,3.314701307,6.796888996,27.530344950,1.111591986,13.883312394,1.000000000
75,fixed_random_bfs,9277914711,512,40,472,1032,2000,2000,0,0.000000000,3240.418500000,3240.239000000,3240.239000000,0.000000000,0.179500000,359,0.100000000,3.314701307,6.787274034,27.482564463,1.103967805,13.866203010,1.000000000
76,fixed_random_bfs,7531090318,512,60,452,2777,2000,2000,3,0.150000000,3240.418500000,3238.309500000,3237.316500000,0.993000000,2.109000000,4218,2.100000000,3.314701307,6.807660903,27.611371103,1.130321491,13.907765619,1.000000000
77,fixed_random_bfs,1954479040,512,44,468,1101,2000,2000,7,0.350000000,3240.418500000,3236.349000000,3235.123000000,1.226000000,4.069500000,8139,2.050000000,3.314701307,6.758575838,27.284110750,1.121557412,13.809166584,1.000000000
78,fixed_random_bfs,2336611287,512,48,464,1045,2000,2000,0,0.000000000,3240.418500000,3240.416000000,3240.416000000,0.000000000,0.002500000,5,0.050000000,3.314701307,6.825991085,27.645948548,1.113777870,13.944474377,1.000000000
79,fixed_random_bfs,2367780576,512,54,458,2552,2000,2000,0,0.000000000,3240.418500000,3240.189500000,3240.189500000,0.000000000,0.229000000,458,0.050000000,3.314701307,6.769614157,27.458509699,1.104169989,13.828419276,1.000000000
80,fixed_random_bfs,8626045146,512,47,465,1895,2000,2000,3,0.150000000,3240.418500000,3237.389000000,3236.379000000,1.010000000,3.029500000,6059,2.900000000,3.314701307,4.845072722,19.619031196,0.795364468,9.899459449,1.000000000
81,fixed_random_bfs,7494313985,512,49,463,1041,2000,2000,1,0.050000000,3240.418500000,3239.842500000,3239.603000000,0.239500000,0.576000000,1152,0.300000000,3.314701307,4.826211823,19.640127345,0.804378997,9.861510793,1.000000000
82,fixed_random_bfs,261193478,512,57,455,1901,2000,2000,5,0.250000000,3240.418500000,3240.525500000,3239.312500000,1.213000000,-0.107000000,-214,0.500000000,3.314701307,4.854831031,19.597220003,0.798401695,9.919859928,1.000000000
83,fixed_random_bfs,9236153615,512,47,465,737,2000,2000,47,2.350000000,3240.418500000,3227.035500000,3221.379000000,5.656500000,13.383000000,26766,9.850000000,3.314701307,4.866555420,19.645278192,0.796082154,9.937501648,1.000000000
84,fixed_random_bfs,261171328,512,52,460,956,2000,2000,120,6.000000000,3240.418500000,3164.432000000,3134.984000000,29.448000000,75.986500000,151973,32.150000000,3.314701307,4.834310597,19.656793706,0.796146718,9.864977353,1.000000000
85,fixed_random_bfs,7856845932,512,42,470,1525,2000,2000,7,0.350000000,3240.418500000,3240.701000000,3238.695000000,2.006000000,-0.282500000,-565,0.250000000,3.314701307,4.884392860,19.692188153,0.796130383,9.980209142,1.000000000
86,fixed_random_bfs,8017887231,512,50,462,1495,2000,2000,42,2.100000000,3240.418500000,3225.225500000,3214.193000000,11.032500000,15.193000000,30386,10.300000000,3.314701307,4.879224968,19.712651640,0.790354161,9.961585818,1.000000000
87,fixed_random_bfs,7191919415,512,38,474,570,2000,2000,16,0.800000000,3240.418500000,3229.651000000,3227.277500000,2.373500000,10.767500000,21535,5.350000000,3.314701307,4.874292914,19.611979600,0.789842757,9.960458238,1.000000000
88,fixed_random_bfs,1393853856,512,39,473,680,2000,2000,3,0.150000000,3240.418500000,3239.650000000,3239.172500000,0.477500000,0.768500000,1537,0.350000000,3.314701307,4.879488475,19.606817361,0.788213300,9.973581943,1.000000000
89,fixed_random_bfs,261149456,512,49,463,1453,2000,2000,0,0.000000000,3240.418500000,3240.190500000,3240.190500000,0.000000000,0.228000000,456,0.050000000,3.314701307,4.921917473,19.913786006,0.781188616,10.056924959,1.000000000
90,fixed_random_bfs,4976423070,512,37,475,1158,2000,2000,0,0.000000000,3240.418500000,3240.105000000,3240.105000000,0.000000000,0.313500000,627,0.100000000,3.314701307,4.846841070,19.558398497,0.774313757,9.904326683,1.000000000
91,fixed_random_bfs,2042883327,512,56,456,2309,2000,2000,1,0.050000000,3240.418500000,3238.912000000,3238.419500000,0.492500000,1.506500000,3013,1.100000000,3.314701307,4.913041968,19.817949400,0.777359533,10.039256605,1.000000000
92,fixed_random_bfs,253960322,512,50,462,1858,2000,2000,1,0.050000000,3240.418500000,3239.252500000,3239.003500000,0.249000000,1.166000000,2332,0.900000000,3.314701307,4.917927130,19.867506603,0.759489826,10.049352725,1.000000000
93,fixed_random_bfs,1478062763,512,47,465,1308,2000,2000,1,0.050000000,3240.418500000,3240.075500000,3239.831000000,0.244500000,0.343000000,686,0.300000000,3.314701307,4.834608151,19.435164406,0.742825852,9.879156622,1.000000000
94,fixed_random_bfs,5116576437,512,40,472,854,2000,2000,25,1.250000000,3240.418500000,3241.931500000,3235.046000000,6.885500000,-1.513000000,-3026,1.250000000,3.314701307,4.870877369,19.616546162,0.739257980,9.953761950,1.000000000
95,fixed_random_bfs,4792888728,512,44,468,1603,2000,2000,0,0.000000000,3240.418500000,3240.184500000,3240.184500000,0.000000000,0.234000000,468,0.050000000,3.314701307,4.927458354,19.551991799,0.750464234,10.071203260,1.000000000
96,fixed_random_bfs,917877739,512,38,474,1159,2000,2000,123,6.150000000,3240.418500000,3186.976500000,3153.985500000,32.991000000,53.442000000,106884,26.400000000,3.314701307,4.903886782,19.790690905,0.733467769,10.008791687,1.000000000
97,fixed_random_bfs,261182324,512,39,473,1062,2000,2000,0,0.000000000,3240.418500000,3240.151000000,3240.151000000,0.000000000,0.267500000,535,0.250000000,3.314701307,4.936641113,19.634837102,0.756448891,10.088887101,1.000000000
98,fixed_random_bfs,261115066,512,54,458,1903,2000,2000,0,0.000000000,3240.418500000,3240.189500000,3240.189500000,0.000000000,0.229000000,458,0.050000000,3.314701307,4.974267543,19.936683056,0.764267335,10.165989948,1.000000000
99,fixed_random_bfs,2123140688,512,39,473,1094,2000,2000,0,0.000000000,3240.418500000,3240.418500000,3240.418500000,0.000000000,0.000000000,0,0.000000000,3.314701307,4.938369665,19.937066588,0.741598557,10.092870990,1.000000000
100,fixed_random_bfs,2303511313,512,43,469,1198,2000,2000,2,0.100000000,3240.418500000,3198.754500000,3198.320000000,0.434500000,41.664000000,83328,26.550000000,3.314701307,4.940740871,19.830123108,0.740057064,10.096652569,1.000000000
101,fixed_random_bfs,367763375,512,55,457,1902,2000,2000,0,0.000000000,3240.418500000,3240.190000000,3240.190000000,0.000000000,0.228500000,457,0.050000000,3.314701307,6.867829506,27.554049745,1.114631958,14.031326052,1.000000000
102,fixed_random_bfs,261272306,512,60,452,1665,2000,2000,1,0.050000000,3240.418500000,3238.822000000,3238.606000000,0.216000000,1.596500000,3193,0.950000000,3.314701307,6.767350019,27.389648151,1.098328258,13.827652877,1.000000000
103,fixed_random_bfs,261303606,512,42,470,702,2000,2000,0,0.000000000,3240.418500000,3240.418500000,3240.418500000,0.000000000,0.000000000,0,0.000000000,3.314701307,6.750773878,27.557024402,1.089258925,13.792694357,1.000000000
104,fixed_random_bfs,26218644,512,69,443,1748,2000,2000,0,0.000000000,3240.418500000,3239.895500000,3239.895500000,0.000000000,0.523000000,1046,0.750000000,3.314701307,6.712324691,27.094377791,1.082588892,13.712859895,1.000000000
105,fixed_random_bfs,7506141998,512,43,469,938,2000,2000,17,0.850000000,3240.418500000,3208.938500000,3204.968500000,3.970000000,31.480000000,62960,15.250000000,3.314701307,6.725989963,26.691598600,1.075793443,13.737461515,1.000000000
106,fixed_random_bfs,2057016417,512,46,466,1566,2000,2000,0,0.000000000,3240.418500000,3240.404000000,3240.404000000,0.000000000,0.014500000,29,0.200000000,3.314701307,6.735265739,26.890928448,1.071611153,13.761698959,1.000000000
107,fixed_random_bfs,4279631996,512,40,472,1443,2000,2000,0,0.000000000,3240.418500000,3240.129500000,3240.129500000,0.000000000,0.289000000,578,0.150000000,3.314701307,6.755907906,27.250141196,1.121050658,13.803227192,1.000000000
