method,k,rank,region_id
g4_seed42_cost_0p100,18,1,1191
g4_seed42_cost_0p100,18,2,59
g4_seed42_cost_0p100,18,3,215
g4_seed42_cost_0p100,18,4,455
g4_seed42_cost_0p100,18,5,208
g4_seed42_cost_0p100,18,6,903
g4_seed42_cost_0p100,18,7,40
g4_seed42_cost_0p100,18,8,730
g4_seed42_cost_0p100,18,9,334
g4_seed42_cost_0p100,18,10,116
g4_seed42_cost_0p100,18,11,135
g4_seed42_cost_0p100,18,12,1042
g4_seed42_cost_0p100,18,13,795
g4_seed42_cost_0p100,18,14,265
g4_seed42_cost_0p100,18,15,1174
g4_seed42_cost_0p100,18,16,321
g4_seed42_cost_0p100,18,17,363
g4_seed42_cost_0p100,18,18,482
g4_seed42_cost_0p300,18,1,1191
g4_seed42_cost_0p300,18,2,59
g4_seed42_cost_0p300,18,3,555
g4_seed42_cost_0p300,18,4,215
g4_seed42_cost_0p300,18,5,5
g4_seed42_cost_0p300,18,6,208
g4_seed42_cost_0p300,18,7,730
g4_seed42_cost_0p300,18,8,40
g4_seed42_cost_0p300,18,9,476
g4_seed42_cost_0p300,18,10,135
g4_seed42_cost_0p300,18,11,1042
g4_seed42_cost_0p300,18,12,566
g4_seed42_cost_0p300,18,13,363
g4_seed42_cost_0p300,18,14,795
g4_seed42_cost_0p300,18,15,1174
g4_seed42_cost_0p300,18,16,1
g4_seed42_cost_0p300,18,17,340
g4_seed42_cost_0p300,18,18,1145
g4_seed43_cost_0p100,18,1,1191
g4_seed43_cost_0p100,18,2,1130
g4_seed43_cost_0p100,18,3,5
g4_seed43_cost_0p100,18,4,114
g4_seed43_cost_0p100,18,5,785
g4_seed43_cost_0p100,18,6,40
g4_seed43_cost_0p100,18,7,455
g4_seed43_cost_0p100,18,8,730
g4_seed43_cost_0p100,18,9,153
g4_seed43_cost_0p100,18,10,116
g4_seed43_cost_0p100,18,11,135
g4_seed43_cost_0p100,18,12,979
g4_seed43_cost_0p100,18,13,775
g4_seed43_cost_0p100,18,14,321
g4_seed43_cost_0p100,18,15,392
g4_seed43_cost_0p100,18,16,363
g4_seed43_cost_0p100,18,17,83
g4_seed43_cost_0p100,18,18,482
g4_seed43_cost_0p300,18,1,250
g4_seed43_cost_0p300,18,2,731
g4_seed43_cost_0p300,18,3,1110
g4_seed43_cost_0p300,18,4,63
g4_seed43_cost_0p300,18,5,730
g4_seed43_cost_0p300,18,6,555
g4_seed43_cost_0p300,18,7,385
g4_seed43_cost_0p300,18,8,762
g4_seed43_cost_0p300,18,9,40
g4_seed43_cost_0p300,18,10,135
g4_seed43_cost_0p300,18,11,1042
g4_seed43_cost_0p300,18,12,566
g4_seed43_cost_0p300,18,13,363
g4_seed43_cost_0p300,18,14,1
g4_seed43_cost_0p300,18,15,83
g4_seed43_cost_0p300,18,16,1174
g4_seed43_cost_0p300,18,17,795
g4_seed43_cost_0p300,18,18,1145
g4_seed44_cost_0p100,18,1,1191
g4_seed44_cost_0p100,18,2,59
g4_seed44_cost_0p100,18,3,5
g4_seed44_cost_0p100,18,4,40
g4_seed44_cost_0p100,18,5,114
g4_seed44_cost_0p100,18,6,208
g4_seed44_cost_0p100,18,7,455
g4_seed44_cost_0p100,18,8,730
g4_seed44_cost_0p100,18,9,116
g4_seed44_cost_0p100,18,10,334
g4_seed44_cost_0p100,18,11,979
g4_seed44_cost_0p100,18,12,135
g4_seed44_cost_0p100,18,13,265
g4_seed44_cost_0p100,18,14,363
g4_seed44_cost_0p100,18,15,1174
g4_seed44_cost_0p100,18,16,321
g4_seed44_cost_0p100,18,17,795
g4_seed44_cost_0p100,18,18,1149
g4_seed44_cost_0p300,18,1,1110
g4_seed44_cost_0p300,18,2,1191
g4_seed44_cost_0p300,18,3,5
g4_seed44_cost_0p300,18,4,63
g4_seed44_cost_0p300,18,5,114
g4_seed44_cost_0p300,18,6,555
g4_seed44_cost_0p300,18,7,730
g4_seed44_cost_0p300,18,8,40
g4_seed44_cost_0p300,18,9,334
g4_seed44_cost_0p300,18,10,135
g4_seed44_cost_0p300,18,11,265
g4_seed44_cost_0p300,18,12,1042
g4_seed44_cost_0p300,18,13,566
g4_seed44_cost_0p300,18,14,363
g4_seed44_cost_0p300,18,15,1
g4_seed44_cost_0p300,18,16,1174
g4_seed44_cost_0p300,18,17,795
g4_seed44_cost_0p300,18,18,325
