method,k,rank,region_id
random_seed42,5,1,846
random_seed42,5,2,139
random_seed42,5,3,248
random_seed42,5,4,1077
random_seed42,5,5,479
random_seed42,10,1,846
random_seed42,10,2,139
random_seed42,10,3,248
random_seed42,10,4,1077
random_seed42,10,5,479
random_seed42,10,6,631
random_seed42,10,7,226
random_seed42,10,8,1166
random_seed42,10,9,1053
random_seed42,10,10,676
random_seed42,18,1,846
random_seed42,18,2,139
random_seed42,18,3,248
random_seed42,18,4,1077
random_seed42,18,5,479
random_seed42,18,6,631
random_seed42,18,7,226
random_seed42,18,8,1166
random_seed42,18,9,1053
random_seed42,18,10,676
random_seed42,18,11,375
random_seed42,18,12,957
random_seed42,18,13,30
random_seed42,18,14,244
random_seed42,18,15,162
random_seed42,18,16,273
random_seed42,18,17,453
random_seed42,18,18,642
history_hotspot,5,1,215
history_hotspot,5,2,1130
history_hotspot,5,3,208
history_hotspot,5,4,355
history_hotspot,5,5,1182
history_hotspot,10,1,215
history_hotspot,10,2,1130
history_hotspot,10,3,208
history_hotspot,10,4,355
history_hotspot,10,5,1182
history_hotspot,10,6,455
history_hotspot,10,7,642
history_hotspot,10,8,935
history_hotspot,10,9,694
history_hotspot,10,10,735
history_hotspot,18,1,215
history_hotspot,18,2,1130
history_hotspot,18,3,208
history_hotspot,18,4,355
history_hotspot,18,5,1182
history_hotspot,18,6,455
history_hotspot,18,7,642
history_hotspot,18,8,935
history_hotspot,18,9,694
history_hotspot,18,10,735
history_hotspot,18,11,1094
history_hotspot,18,12,11
history_hotspot,18,13,1042
history_hotspot,18,14,55
history_hotspot,18,15,1152
history_hotspot,18,16,67
history_hotspot,18,17,149
history_hotspot,18,18,83
midpoint_proxy,5,1,96
midpoint_proxy,5,2,225
midpoint_proxy,5,3,786
midpoint_proxy,5,4,436
midpoint_proxy,5,5,511
midpoint_proxy,10,1,96
midpoint_proxy,10,2,225
midpoint_proxy,10,3,786
midpoint_proxy,10,4,436
midpoint_proxy,10,5,511
midpoint_proxy,10,6,845
midpoint_proxy,10,7,991
midpoint_proxy,10,8,694
midpoint_proxy,10,9,149
midpoint_proxy,10,10,11
midpoint_proxy,18,1,96
midpoint_proxy,18,2,225
midpoint_proxy,18,3,786
midpoint_proxy,18,4,436
midpoint_proxy,18,5,511
midpoint_proxy,18,6,845
midpoint_proxy,18,7,991
midpoint_proxy,18,8,694
midpoint_proxy,18,9,149
midpoint_proxy,18,10,11
midpoint_proxy,18,11,47
midpoint_proxy,18,12,793
midpoint_proxy,18,13,1174
midpoint_proxy,18,14,1029
midpoint_proxy,18,15,443
midpoint_proxy,18,16,251
midpoint_proxy,18,17,567
midpoint_proxy,18,18,629
z0,5,1,745
z0,5,2,1130
z0,5,3,474
z0,5,4,716
z0,5,5,642
z0,10,1,745
z0,10,2,1130
z0,10,3,474
z0,10,4,716
z0,10,5,642
z0,10,6,520
z0,10,7,1162
z0,10,8,1182
z0,10,9,1141
z0,10,10,1094
z0,18,1,745
z0,18,2,1130
z0,18,3,474
z0,18,4,716
z0,18,5,642
z0,18,6,520
z0,18,7,1162
z0,18,8,1182
z0,18,9,1141
z0,18,10,1094
z0,18,11,673
z0,18,12,120
z0,18,13,443
z0,18,14,1108
z0,18,15,679
z0,18,16,1032
z0,18,17,224
z0,18,18,201
g4_global_seed42,5,1,1130
g4_global_seed42,5,2,1191
g4_global_seed42,5,3,745
g4_global_seed42,5,4,455
g4_global_seed42,5,5,215
g4_global_seed42,10,1,1130
g4_global_seed42,10,2,1191
g4_global_seed42,10,3,745
g4_global_seed42,10,4,455
g4_global_seed42,10,5,215
g4_global_seed42,10,6,903
g4_global_seed42,10,7,423
g4_global_seed42,10,8,607
g4_global_seed42,10,9,730
g4_global_seed42,10,10,341
g4_global_seed42,18,1,1130
g4_global_seed42,18,2,1191
g4_global_seed42,18,3,745
g4_global_seed42,18,4,455
g4_global_seed42,18,5,215
g4_global_seed42,18,6,903
g4_global_seed42,18,7,423
g4_global_seed42,18,8,607
g4_global_seed42,18,9,730
g4_global_seed42,18,10,341
g4_global_seed42,18,11,311
g4_global_seed42,18,12,1060
g4_global_seed42,18,13,120
g4_global_seed42,18,14,1129
g4_global_seed42,18,15,321
g4_global_seed42,18,16,632
g4_global_seed42,18,17,682
g4_global_seed42,18,18,984
g4_global_seed43,5,1,1191
g4_global_seed43,5,2,1130
g4_global_seed43,5,3,745
g4_global_seed43,5,4,5
g4_global_seed43,5,5,455
g4_global_seed43,10,1,1191
g4_global_seed43,10,2,1130
g4_global_seed43,10,3,745
g4_global_seed43,10,4,5
g4_global_seed43,10,5,455
g4_global_seed43,10,6,114
g4_global_seed43,10,7,153
g4_global_seed43,10,8,730
g4_global_seed43,10,9,423
g4_global_seed43,10,10,341
g4_global_seed43,18,1,1191
g4_global_seed43,18,2,1130
g4_global_seed43,18,3,745
g4_global_seed43,18,4,5
g4_global_seed43,18,5,455
g4_global_seed43,18,6,114
g4_global_seed43,18,7,153
g4_global_seed43,18,8,730
g4_global_seed43,18,9,423
g4_global_seed43,18,10,341
g4_global_seed43,18,11,120
g4_global_seed43,18,12,794
g4_global_seed43,18,13,775
g4_global_seed43,18,14,262
g4_global_seed43,18,15,392
g4_global_seed43,18,16,218
g4_global_seed43,18,17,224
g4_global_seed43,18,18,989
g4_global_seed44,5,1,1130
g4_global_seed44,5,2,1191
g4_global_seed44,5,3,40
g4_global_seed44,5,4,455
g4_global_seed44,5,5,208
g4_global_seed44,10,1,1130
g4_global_seed44,10,2,1191
g4_global_seed44,10,3,40
g4_global_seed44,10,4,455
g4_global_seed44,10,5,208
g4_global_seed44,10,6,5
g4_global_seed44,10,7,114
g4_global_seed44,10,8,730
g4_global_seed44,10,9,341
g4_global_seed44,10,10,1182
g4_global_seed44,18,1,1130
g4_global_seed44,18,2,1191
g4_global_seed44,18,3,40
g4_global_seed44,18,4,455
g4_global_seed44,18,5,208
g4_global_seed44,18,6,5
g4_global_seed44,18,7,114
g4_global_seed44,18,8,730
g4_global_seed44,18,9,341
g4_global_seed44,18,10,1182
g4_global_seed44,18,11,642
g4_global_seed44,18,12,861
g4_global_seed44,18,13,201
g4_global_seed44,18,14,546
g4_global_seed44,18,15,117
g4_global_seed44,18,16,363
g4_global_seed44,18,17,989
g4_global_seed44,18,18,587
