scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
all_candidates,direct_topk,5,1,745,0.573153615,49.098500000,51.451000000
all_candidates,direct_topk,5,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,direct_topk,5,3,1193,0.555435061,47.847000000,54.691500000
all_candidates,direct_topk,5,4,915,0.549595118,63.877500000,70.381000000
all_candidates,direct_topk,5,5,474,0.540103555,77.631000000,73.839500000
all_candidates,direct_topk,10,1,745,0.573153615,49.098500000,51.451000000
all_candidates,direct_topk,10,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,direct_topk,10,3,1193,0.555435061,47.847000000,54.691500000
all_candidates,direct_topk,10,4,915,0.549595118,63.877500000,70.381000000
all_candidates,direct_topk,10,5,474,0.540103555,77.631000000,73.839500000
all_candidates,direct_topk,10,6,1131,0.538921356,73.539000000,72.658000000
all_candidates,direct_topk,10,7,716,0.538434267,51.921000000,53.590000000
all_candidates,direct_topk,10,8,786,0.535449207,82.143000000,79.091500000
all_candidates,direct_topk,10,9,305,0.530672133,84.048000000,80.255500000
all_candidates,direct_topk,10,10,941,0.523841321,62.481500000,59.129500000
all_candidates,direct_topk,18,1,745,0.573153615,49.098500000,51.451000000
all_candidates,direct_topk,18,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,direct_topk,18,3,1193,0.555435061,47.847000000,54.691500000
all_candidates,direct_topk,18,4,915,0.549595118,63.877500000,70.381000000
all_candidates,direct_topk,18,5,474,0.540103555,77.631000000,73.839500000
all_candidates,direct_topk,18,6,1131,0.538921356,73.539000000,72.658000000
all_candidates,direct_topk,18,7,716,0.538434267,51.921000000,53.590000000
all_candidates,direct_topk,18,8,786,0.535449207,82.143000000,79.091500000
all_candidates,direct_topk,18,9,305,0.530672133,84.048000000,80.255500000
all_candidates,direct_topk,18,10,941,0.523841321,62.481500000,59.129500000
all_candidates,direct_topk,18,11,717,0.522561073,82.197500000,79.017000000
all_candidates,direct_topk,18,12,1191,0.522494376,63.812000000,58.906500000
all_candidates,direct_topk,18,13,217,0.517045677,77.646500000,76.064500000
all_candidates,direct_topk,18,14,782,0.513644576,60.906000000,56.097000000
all_candidates,direct_topk,18,15,742,0.513250351,49.975500000,59.615000000
all_candidates,direct_topk,18,16,455,0.512495637,74.102500000,76.018000000
all_candidates,direct_topk,18,17,762,0.512333453,75.420500000,77.185000000
all_candidates,direct_topk,18,18,1161,0.509060860,81.345500000,80.891000000
all_candidates,jaccard_penalty,5,1,745,0.573153615,49.098500000,51.451000000
all_candidates,jaccard_penalty,5,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,jaccard_penalty,5,3,474,0.540103555,77.631000000,73.839500000
all_candidates,jaccard_penalty,5,4,716,0.538434267,51.921000000,53.590000000
all_candidates,jaccard_penalty,5,5,742,0.513250351,49.975500000,59.615000000
all_candidates,jaccard_penalty,10,1,745,0.573153615,49.098500000,51.451000000
all_candidates,jaccard_penalty,10,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,jaccard_penalty,10,3,474,0.540103555,77.631000000,73.839500000
all_candidates,jaccard_penalty,10,4,716,0.538434267,51.921000000,53.590000000
all_candidates,jaccard_penalty,10,5,742,0.513250351,49.975500000,59.615000000
all_candidates,jaccard_penalty,10,6,323,0.495366573,76.572000000,79.301000000
all_candidates,jaccard_penalty,10,7,254,0.494514942,44.992000000,43.649500000
all_candidates,jaccard_penalty,10,8,731,0.448170871,48.320500000,45.912500000
all_candidates,jaccard_penalty,10,9,364,0.434179187,29.431000000,36.193000000
all_candidates,jaccard_penalty,10,10,941,0.523841321,62.481500000,59.129500000
all_candidates,jaccard_penalty,18,1,745,0.573153615,49.098500000,51.451000000
all_candidates,jaccard_penalty,18,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,jaccard_penalty,18,3,474,0.540103555,77.631000000,73.839500000
all_candidates,jaccard_penalty,18,4,716,0.538434267,51.921000000,53.590000000
all_candidates,jaccard_penalty,18,5,742,0.513250351,49.975500000,59.615000000
