region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,fixed_random_bfs,261130664,512,63,449,2664,2000,2000,3,0.150000000,3323.308500000,3319.220000000,3318.483000000,0.737000000,4.088500000,8177,2.450000000,3.400481498,7.019783078,29.960843053,1.264375266,14.291264662,1.000000000
1,fixed_random_bfs,261245312,512,49,463,1144,2000,2000,83,4.150000000,3323.308500000,3301.705500000,3280.800000000,20.905500000,21.603000000,43206,12.650000000,3.400481498,4.936855502,21.057814700,0.997796720,10.050521262,1.000000000
2,fixed_random_bfs,709360166,512,56,456,1447,2000,2000,62,3.100000000,3323.308500000,3262.664500000,3252.060000000,10.604500000,60.644000000,121288,28.100000000,3.400481498,4.860866986,20.501392552,0.995414075,9.894511879,1.000000000
3,fixed_random_bfs,1296625442,512,45,467,1135,2000,2000,22,1.100000000,3323.308500000,3308.910500000,3303.093000000,5.817500000,14.398000000,28796,7.800000000,3.400481498,4.918496240,21.265748706,0.996475762,10.015448333,1.000000000
4,fixed_random_bfs,5495808193,512,69,443,3972,2000,2000,0,0.000000000,3323.308500000,3323.308500000,3323.308500000,0.000000000,0.000000000,0,0.000000000,3.400481498,7.104411603,30.130565641,1.263837391,14.468236493,1.000000000
5,fixed_random_bfs,1647496589,512,60,452,484,2000,2000,46,2.300000000,3323.308500000,3277.812500000,3275.716500000,2.096000000,45.496000000,90992,29.500000000,3.400481498,6.867880961,29.316575398,1.345360002,13.977585632,1.000000000
6,fixed_random_bfs,739118563,512,41,471,594,2000,2000,115,5.750000000,3323.308500000,3280.536500000,3258.397000000,22.139500000,42.772000000,85544,24.500000000,3.400481498,4.904467966,20.936297244,0.996701563,9.978182732,1.000000000
7,fixed_random_bfs,1308232052,512,51,461,1529,2000,2000,17,0.850000000,3323.308500000,3318.791000000,3314.169000000,4.622000000,4.517500000,9035,4.150000000,3.400481498,4.914704645,21.196919838,0.995032272,10.009590929,1.000000000
8,fixed_random_bfs,2402712172,512,43,469,1162,2000,2000,1,0.050000000,3323.308500000,3320.345000000,3320.093500000,0.251500000,2.963500000,5927,1.400000000,3.400481498,4.942256214,21.381739699,0.993617038,10.066684373,1.000000000
9,fixed_random_bfs,8229753272,512,58,454,1266,2000,2000,71,3.550000000,3323.308500000,3268.551000000,3259.252500000,9.298500000,54.757500000,109515,27.550000000,3.400481498,4.916345452,21.042496594,1.051774382,10.006919645,1.000000000
10,fixed_random_bfs,5870701665,512,60,452,1595,2000,2000,4,0.200000000,3323.308500000,3319.935000000,3318.819000000,1.116000000,3.373500000,6747,3.350000000,3.400481498,6.956759669,29.870400843,1.178450150,14.162187007,1.000000000
11,fixed_random_bfs,9074937013,512,40,472,824,2000,2000,35,1.750000000,3323.308500000,3327.740000000,3316.925000000,10.815000000,-4.431500000,-8863,1.300000000,3.400481498,4.983453329,21.175847643,0.984941160,10.149405546,1.000000000
12,fixed_random_bfs,602411024,512,34,478,768,2000,2000,4,0.200000000,3323.308500000,3317.913500000,3316.912500000,1.001000000,5.395000000,10790,2.350000000,3.400481498,5.058903024,21.461578889,1.324888300,10.303396376,1.000000000
13,fixed_random_bfs,727782494,512,40,472,939,2000,2000,0,0.000000000,3323.308500000,3323.233500000,3323.233500000,0.000000000,0.075000000,150,0.500000000,3.400481498,5.291347960,22.210340991,1.248852840,10.779936138,1.000000000
14,fixed_random_bfs,261312107,512,46,466,1644,2000,2000,0,0.000000000,3323.308500000,3322.811500000,3322.811500000,0.000000000,0.497000000,994,0.200000000,3.400481498,6.501560579,27.033182496,0.986646718,13.239480072,1.000000000
15,fixed_random_bfs,2401929340,512,45,467,1200,2000,2000,7,0.350000000,3323.308500000,3318.892500000,3317.165000000,1.727500000,4.416000000,8832,2.650000000,3.400481498,6.966125228,29.838456052,1.245632873,14.181945557,1.000000000
