region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,fixed_random_bfs,1142609813,512,16,496,225,2000,1985,1,0.050000000,10629.221500000,10612.454000000,10612.188500000,0.256000000,16.767500000,33535,5.750000000,8.410825702,21.148805588,92.966164157,1.271200266,43.152111781,1.000000000
1,fixed_random_bfs,1112073249,512,44,468,580,2000,1985,2,0.100000000,10629.221500000,10599.418000000,10599.241500000,0.167000000,29.803500000,59607,15.300000000,8.410825702,15.845729480,68.754571259,1.064673062,32.317210230,1.000000000
2,fixed_random_bfs,12484918850,512,27,485,255,2000,1985,0,0.000000000,10629.221500000,10623.734500000,10623.725000000,0.000000000,5.487000000,10974,2.650000000,8.410825702,16.037748924,69.371853160,1.071506456,32.713526090,1.000000000
3,fixed_random_bfs,292782963,512,29,483,490,2000,1985,0,0.000000000,10629.221500000,10618.038500000,10618.029000000,0.000000000,11.183000000,22366,3.450000000,8.410825702,15.793627645,68.447507558,1.064285654,32.212424982,1.000000000
4,fixed_random_bfs,479437576,512,18,494,100,2000,1985,44,2.200000000,10629.221500000,10521.961500000,10513.289500000,8.662500000,107.260000000,214520,36.400000000,8.410825702,15.887802081,68.887919599,1.067658598,32.399585499,1.000000000
5,fixed_random_bfs,2163335530,512,38,474,537,2000,1985,7,0.350000000,10629.221500000,10584.780000000,10583.921000000,0.849500000,44.441500000,88883,17.250000000,8.410825702,15.811801966,68.312704047,1.065490997,32.247775473,1.000000000
6,fixed_random_bfs,1518839603,512,30,482,580,2000,1985,0,0.000000000,10629.221500000,10626.359000000,10626.349500000,0.000000000,2.862500000,5725,0.900000000,8.410825702,21.354566238,93.615135006,1.271387004,43.571197154,1.000000000
7,fixed_random_bfs,1327639071,512,21,491,293,2000,1985,1,0.050000000,10629.221500000,10620.620000000,10620.361000000,0.249500000,8.601500000,17203,3.750000000,8.410825702,20.947091747,92.740059295,1.060192776,42.742431329,1.000000000
8,fixed_random_bfs,6094066396,512,32,480,185,2000,1985,2,0.100000000,10629.221500000,10609.712000000,10609.379500000,0.323000000,19.509500000,39019,6.300000000,8.410825702,15.745217586,68.325747645,1.132377719,32.109497746,1.000000000
9,fixed_random_bfs,1322917608,512,38,474,591,2000,1985,0,0.000000000,10629.221500000,10610.824500000,10610.815000000,0.000000000,18.397000000,36794,6.150000000,8.410825702,21.062131371,92.691571556,1.264251560,42.973016554,1.000000000
10,fixed_random_bfs,12454038415,512,46,466,979,2000,1985,26,1.300000000,10629.221500000,10539.222000000,10535.905000000,3.307500000,89.999500000,179999,34.350000000,8.410825702,20.152182653,88.634578704,1.128805415,41.117764943,1.000000000
11,fixed_random_bfs,3200644413,512,24,488,364,2000,1985,2,0.100000000,10629.221500000,10606.765000000,10606.250500000,0.505000000,22.456500000,44913,5.050000000,8.410825702,21.231428166,93.338806406,1.266381977,43.317008171,1.000000000
