method,k,rank,region_id
g4_seed42_cost_0p100,18,1,537
g4_seed42_cost_0p100,18,2,1101
g4_seed42_cost_0p100,18,3,1093
g4_seed42_cost_0p100,18,4,975
g4_seed42_cost_0p100,18,5,508
g4_seed42_cost_0p100,18,6,619
g4_seed42_cost_0p100,18,7,915
g4_seed42_cost_0p100,18,8,57
g4_seed42_cost_0p100,18,9,158
g4_seed42_cost_0p100,18,10,294
g4_seed42_cost_0p100,18,11,896
g4_seed42_cost_0p100,18,12,1013
g4_seed42_cost_0p100,18,13,256
g4_seed42_cost_0p100,18,14,131
g4_seed42_cost_0p100,18,15,291
g4_seed42_cost_0p100,18,16,1184
g4_seed42_cost_0p100,18,17,1068
g4_seed42_cost_0p100,18,18,94
g4_seed42_cost_0p300,18,1,979
g4_seed42_cost_0p300,18,2,537
g4_seed42_cost_0p300,18,3,975
g4_seed42_cost_0p300,18,4,1093
g4_seed42_cost_0p300,18,5,441
g4_seed42_cost_0p300,18,6,4
g4_seed42_cost_0p300,18,7,896
g4_seed42_cost_0p300,18,8,131
g4_seed42_cost_0p300,18,9,761
g4_seed42_cost_0p300,18,10,1018
g4_seed42_cost_0p300,18,11,291
g4_seed42_cost_0p300,18,12,650
g4_seed42_cost_0p300,18,13,619
g4_seed42_cost_0p300,18,14,1068
g4_seed42_cost_0p300,18,15,978
g4_seed42_cost_0p300,18,16,915
g4_seed42_cost_0p300,18,17,150
g4_seed42_cost_0p300,18,18,94
g4_seed43_cost_0p100,18,1,537
g4_seed43_cost_0p100,18,2,1101
g4_seed43_cost_0p100,18,3,1093
g4_seed43_cost_0p100,18,4,975
g4_seed43_cost_0p100,18,5,508
g4_seed43_cost_0p100,18,6,619
g4_seed43_cost_0p100,18,7,915
g4_seed43_cost_0p100,18,8,57
g4_seed43_cost_0p100,18,9,294
g4_seed43_cost_0p100,18,10,896
g4_seed43_cost_0p100,18,11,158
g4_seed43_cost_0p100,18,12,1127
g4_seed43_cost_0p100,18,13,131
g4_seed43_cost_0p100,18,14,256
g4_seed43_cost_0p100,18,15,128
g4_seed43_cost_0p100,18,16,384
g4_seed43_cost_0p100,18,17,1068
g4_seed43_cost_0p100,18,18,850
g4_seed43_cost_0p300,18,1,979
g4_seed43_cost_0p300,18,2,537
g4_seed43_cost_0p300,18,3,1093
g4_seed43_cost_0p300,18,4,975
g4_seed43_cost_0p300,18,5,441
g4_seed43_cost_0p300,18,6,4
g4_seed43_cost_0p300,18,7,896
g4_seed43_cost_0p300,18,8,131
g4_seed43_cost_0p300,18,9,1018
g4_seed43_cost_0p300,18,10,291
g4_seed43_cost_0p300,18,11,761
g4_seed43_cost_0p300,18,12,650
g4_seed43_cost_0p300,18,13,619
g4_seed43_cost_0p300,18,14,1068
g4_seed43_cost_0p300,18,15,712
g4_seed43_cost_0p300,18,16,772
g4_seed43_cost_0p300,18,17,150
g4_seed43_cost_0p300,18,18,94
g4_seed44_cost_0p100,18,1,537
g4_seed44_cost_0p100,18,2,1101
g4_seed44_cost_0p100,18,3,1093
g4_seed44_cost_0p100,18,4,975
g4_seed44_cost_0p100,18,5,508
g4_seed44_cost_0p100,18,6,619
g4_seed44_cost_0p100,18,7,915
g4_seed44_cost_0p100,18,8,57
g4_seed44_cost_0p100,18,9,294
g4_seed44_cost_0p100,18,10,896
g4_seed44_cost_0p100,18,11,1127
g4_seed44_cost_0p100,18,12,158
g4_seed44_cost_0p100,18,13,256
g4_seed44_cost_0p100,18,14,131
g4_seed44_cost_0p100,18,15,128
g4_seed44_cost_0p100,18,16,1184
g4_seed44_cost_0p100,18,17,1068
g4_seed44_cost_0p100,18,18,850
g4_seed44_cost_0p300,18,1,979
g4_seed44_cost_0p300,18,2,537
g4_seed44_cost_0p300,18,3,975
g4_seed44_cost_0p300,18,4,1093
g4_seed44_cost_0p300,18,5,441
g4_seed44_cost_0p300,18,6,4
g4_seed44_cost_0p300,18,7,896
g4_seed44_cost_0p300,18,8,131
g4_seed44_cost_0p300,18,9,1018
g4_seed44_cost_0p300,18,10,761
g4_seed44_cost_0p300,18,11,291
g4_seed44_cost_0p300,18,12,650
g4_seed44_cost_0p300,18,13,619
g4_seed44_cost_0p300,18,14,978
g4_seed44_cost_0p300,18,15,1068
g4_seed44_cost_0p300,18,16,915
g4_seed44_cost_0p300,18,17,150
g4_seed44_cost_0p300,18,18,772
