method,k,rank,region_id
random_seed42,5,1,846
random_seed42,5,2,139
random_seed42,5,3,248
random_seed42,5,4,1077
random_seed42,5,5,479
random_seed42,10,1,846
random_seed42,10,2,139
random_seed42,10,3,248
random_seed42,10,4,1077
random_seed42,10,5,479
random_seed42,10,6,226
random_seed42,10,7,1166
random_seed42,10,8,1053
random_seed42,10,9,676
random_seed42,10,10,375
random_seed42,18,1,846
random_seed42,18,2,139
random_seed42,18,3,248
random_seed42,18,4,1077
random_seed42,18,5,479
random_seed42,18,6,226
random_seed42,18,7,1166
random_seed42,18,8,1053
random_seed42,18,9,676
random_seed42,18,10,375
random_seed42,18,11,957
random_seed42,18,12,30
random_seed42,18,13,244
random_seed42,18,14,453
random_seed42,18,15,905
random_seed42,18,16,642
random_seed42,18,17,753
random_seed42,18,18,1195
history_hotspot,5,1,891
history_hotspot,5,2,963
history_hotspot,5,3,964
history_hotspot,5,4,917
history_hotspot,5,5,508
history_hotspot,10,1,891
history_hotspot,10,2,963
history_hotspot,10,3,964
history_hotspot,10,4,917
history_hotspot,10,5,508
history_hotspot,10,6,1031
history_hotspot,10,7,356
history_hotspot,10,8,1103
history_hotspot,10,9,1182
history_hotspot,10,10,796
history_hotspot,18,1,891
history_hotspot,18,2,963
history_hotspot,18,3,964
history_hotspot,18,4,917
history_hotspot,18,5,508
history_hotspot,18,6,1031
history_hotspot,18,7,356
history_hotspot,18,8,1103
history_hotspot,18,9,1182
history_hotspot,18,10,796
history_hotspot,18,11,847
history_hotspot,18,12,911
history_hotspot,18,13,156
history_hotspot,18,14,131
history_hotspot,18,15,99
history_hotspot,18,16,744
history_hotspot,18,17,192
history_hotspot,18,18,128
midpoint_proxy,5,1,709
midpoint_proxy,5,2,1119
midpoint_proxy,5,3,402
midpoint_proxy,5,4,508
midpoint_proxy,5,5,1101
midpoint_proxy,10,1,709
midpoint_proxy,10,2,1119
midpoint_proxy,10,3,402
midpoint_proxy,10,4,508
midpoint_proxy,10,5,1101
midpoint_proxy,10,6,201
midpoint_proxy,10,7,963
midpoint_proxy,10,8,1177
midpoint_proxy,10,9,847
midpoint_proxy,10,10,632
midpoint_proxy,18,1,709
midpoint_proxy,18,2,1119
midpoint_proxy,18,3,402
midpoint_proxy,18,4,508
midpoint_proxy,18,5,1101
midpoint_proxy,18,6,201
midpoint_proxy,18,7,963
midpoint_proxy,18,8,1177
midpoint_proxy,18,9,847
midpoint_proxy,18,10,632
midpoint_proxy,18,11,743
midpoint_proxy,18,12,1175
midpoint_proxy,18,13,294
midpoint_proxy,18,14,558
midpoint_proxy,18,15,677
midpoint_proxy,18,16,68
midpoint_proxy,18,17,892
midpoint_proxy,18,18,158
z0,5,1,988
z0,5,2,652
z0,5,3,917
z0,5,4,973
z0,5,5,508
z0,10,1,988
z0,10,2,652
z0,10,3,917
z0,10,4,973
z0,10,5,508
z0,10,6,619
z0,10,7,402
z0,10,8,601
z0,10,9,847
z0,10,10,560
z0,18,1,988
z0,18,2,652
z0,18,3,917
z0,18,4,973
z0,18,5,508
z0,18,6,619
z0,18,7,402
z0,18,8,601
z0,18,9,847
z0,18,10,560
z0,18,11,128
z0,18,12,951
z0,18,13,756
z0,18,14,964
z0,18,15,192
z0,18,16,294
z0,18,17,156
z0,18,18,131
g3_seed42,5,1,537
g3_seed42,5,2,1003
g3_seed42,5,3,975
g3_seed42,5,4,17
g3_seed42,5,5,388
g3_seed42,10,1,537
g3_seed42,10,2,1003
g3_seed42,10,3,975
g3_seed42,10,4,17
g3_seed42,10,5,388
g3_seed42,10,6,1171
g3_seed42,10,7,903
g3_seed42,10,8,432
g3_seed42,10,9,213
g3_seed42,10,10,705
g3_seed42,18,1,537
g3_seed42,18,2,1003
g3_seed42,18,3,975
g3_seed42,18,4,17
g3_seed42,18,5,388
g3_seed42,18,6,1171
g3_seed42,18,7,903
g3_seed42,18,8,432
g3_seed42,18,9,213
g3_seed42,18,10,705
g3_seed42,18,11,911
g3_seed42,18,12,192
g3_seed42,18,13,158
g3_seed42,18,14,743
g3_seed42,18,15,1002
g3_seed42,18,16,558
g3_seed42,18,17,883
g3_seed42,18,18,407
g3_seed43,5,1,424
g3_seed43,5,2,917
g3_seed43,5,3,737
g3_seed43,5,4,973
g3_seed43,5,5,402
g3_seed43,10,1,424
g3_seed43,10,2,917
g3_seed43,10,3,737
g3_seed43,10,4,973
g3_seed43,10,5,402
g3_seed43,10,6,997
g3_seed43,10,7,1171
g3_seed43,10,8,847
g3_seed43,10,9,897
g3_seed43,10,10,432
g3_seed43,18,1,424
g3_seed43,18,2,917
g3_seed43,18,3,737
g3_seed43,18,4,973
g3_seed43,18,5,402
g3_seed43,18,6,997
g3_seed43,18,7,1171
g3_seed43,18,8,847
g3_seed43,18,9,897
g3_seed43,18,10,432
g3_seed43,18,11,705
g3_seed43,18,12,560
g3_seed43,18,13,911
g3_seed43,18,14,632
g3_seed43,18,15,743
g3_seed43,18,16,558
g3_seed43,18,17,407
g3_seed43,18,18,541
g3_seed44,5,1,424
g3_seed44,5,2,737
g3_seed44,5,3,797
g3_seed44,5,4,402
g3_seed44,5,5,508
g3_seed44,10,1,424
g3_seed44,10,2,737
g3_seed44,10,3,797
g3_seed44,10,4,402
g3_seed44,10,5,508
g3_seed44,10,6,388
g3_seed44,10,7,888
g3_seed44,10,8,847
g3_seed44,10,9,903
g3_seed44,10,10,355
g3_seed44,18,1,424
g3_seed44,18,2,737
g3_seed44,18,3,797
g3_seed44,18,4,402
g3_seed44,18,5,508
g3_seed44,18,6,388
g3_seed44,18,7,888
g3_seed44,18,8,847
g3_seed44,18,9,903
g3_seed44,18,10,355
g3_seed44,18,11,128
g3_seed44,18,12,558
g3_seed44,18,13,192
g3_seed44,18,14,158
g3_seed44,18,15,1018
g3_seed44,18,16,896
g3_seed44,18,17,294
g3_seed44,18,18,985
