method,k,rank,region_id
g4_global_seed42,5,1,537
g4_global_seed42,5,2,1101
g4_global_seed42,5,3,1119
g4_global_seed42,5,4,619
g4_global_seed42,5,5,1171
g4_global_seed42,10,1,537
g4_global_seed42,10,2,1101
g4_global_seed42,10,3,1119
g4_global_seed42,10,4,619
g4_global_seed42,10,5,1171
g4_global_seed42,10,6,402
g4_global_seed42,10,7,432
g4_global_seed42,10,8,705
g4_global_seed42,10,9,847
g4_global_seed42,10,10,743
g4_global_seed42,18,1,537
g4_global_seed42,18,2,1101
g4_global_seed42,18,3,1119
g4_global_seed42,18,4,619
g4_global_seed42,18,5,1171
g4_global_seed42,18,6,402
g4_global_seed42,18,7,432
g4_global_seed42,18,8,705
g4_global_seed42,18,9,847
g4_global_seed42,18,10,743
g4_global_seed42,18,11,158
g4_global_seed42,18,12,951
g4_global_seed42,18,13,911
g4_global_seed42,18,14,192
g4_global_seed42,18,15,539
g4_global_seed42,18,16,1131
g4_global_seed42,18,17,156
g4_global_seed42,18,18,131
g4_global_seed43,5,1,537
g4_global_seed43,5,2,1101
g4_global_seed43,5,3,1119
g4_global_seed43,5,4,619
g4_global_seed43,5,5,1171
g4_global_seed43,10,1,537
g4_global_seed43,10,2,1101
g4_global_seed43,10,3,1119
g4_global_seed43,10,4,619
g4_global_seed43,10,5,1171
g4_global_seed43,10,6,402
g4_global_seed43,10,7,432
g4_global_seed43,10,8,705
g4_global_seed43,10,9,847
g4_global_seed43,10,10,743
g4_global_seed43,18,1,537
g4_global_seed43,18,2,1101
g4_global_seed43,18,3,1119
g4_global_seed43,18,4,619
g4_global_seed43,18,5,1171
g4_global_seed43,18,6,402
g4_global_seed43,18,7,432
g4_global_seed43,18,8,705
g4_global_seed43,18,9,847
g4_global_seed43,18,10,743
g4_global_seed43,18,11,951
g4_global_seed43,18,12,158
g4_global_seed43,18,13,911
g4_global_seed43,18,14,539
g4_global_seed43,18,15,192
g4_global_seed43,18,16,131
g4_global_seed43,18,17,1131
g4_global_seed43,18,18,156
g4_global_seed44,5,1,537
g4_global_seed44,5,2,1101
g4_global_seed44,5,3,1119
g4_global_seed44,5,4,619
g4_global_seed44,5,5,1171
g4_global_seed44,10,1,537
g4_global_seed44,10,2,1101
g4_global_seed44,10,3,1119
g4_global_seed44,10,4,619
g4_global_seed44,10,5,1171
g4_global_seed44,10,6,402
g4_global_seed44,10,7,432
g4_global_seed44,10,8,705
g4_global_seed44,10,9,847
g4_global_seed44,10,10,951
g4_global_seed44,18,1,537
g4_global_seed44,18,2,1101
g4_global_seed44,18,3,1119
g4_global_seed44,18,4,619
g4_global_seed44,18,5,1171
g4_global_seed44,18,6,402
g4_global_seed44,18,7,432
g4_global_seed44,18,8,705
g4_global_seed44,18,9,847
g4_global_seed44,18,10,951
g4_global_seed44,18,11,743
g4_global_seed44,18,12,158
g4_global_seed44,18,13,911
g4_global_seed44,18,14,192
g4_global_seed44,18,15,539
g4_global_seed44,18,16,1131
g4_global_seed44,18,17,156
g4_global_seed44,18,18,407
