epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate,next_learning_rate,trainable_scope,trainable_parameter_count
0,0.483081191778183,0.10394251346588135,nan,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47672224044799805,0.10937734693288803,0.47672224044799805,0.8988826870918274,0.9410928320832948,0.04836907982826233,1.114495038986206,-0.5396414995193481,5.383940696716309,1.0,1.0,0,0,0,0,nan,nan,0.0,0.005,0.005,output_head,33
1,0.483081191778183,-0.0,0.483081191778183,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.476645827293396,0.10942011326551437,0.476645827293396,0.8988826870918274,0.9410928320832948,0.047799281775951385,1.1152093410491943,-0.5406166911125183,5.386721611022949,1.0,1.0,0,1,0,1,0.004171337466686964,0.004171337466686964,0.024956094101071358,0.005,0.005,output_head,33
2,0.4829972982406616,-0.0,0.4829972982406616,0.4829972982406616,0.8903074860572815,-0.0005928652826696634,1.0006369352340698,-0.5476715564727783,5.7587409019470215,0.4765694737434387,0.10946401953697205,0.4765694737434387,0.8987585306167603,0.9410475631963949,0.04719094932079315,1.115923523902893,-0.5416303873062134,5.389463901519775,1.0,1.0,1,2,0,1,0.004168795887380838,0.004168795887380838,0.02495669387280941,0.005,0.005,output_head,33
3,0.48291343450546265,-0.0,0.48291343450546265,0.48291343450546265,0.8903160095214844,-0.0012242442462593317,1.0012739896774292,-0.5486904978752136,5.761354923248291,0.47649314999580383,0.10950444638729095,0.47649314999580383,0.8987585306167603,0.9410475631963949,0.046895623207092285,1.1166375875473022,-0.5423310399055481,5.392518997192383,1.0,1.0,2,3,0,1,0.004166256636381149,0.004166256636381149,0.024947235360741615,0.005,0.005,output_head,33
4,0.48282960057258606,-0.0,0.48282960057258606,0.48282960057258606,0.8903160095214844,-0.0015426011523231864,1.0019110441207886,-0.5493963360786438,5.764281749725342,0.47641685605049133,0.10954514145851135,0.47641685605049133,0.8988205790519714,0.9411463316769036,0.0466080978512764,1.117351770401001,-0.543023943901062,5.3955817222595215,1.0,1.0,3,4,0,1,0.004163720179349184,0.004163720179349184,0.024945618584752083,0.005,0.005,output_head,33
5,0.48274579644203186,-0.0,0.48274579644203186,0.48274579644203186,0.8903188705444336,-0.0018532027024775743,1.0025479793548584,-0.550094485282898,5.767215728759766,0.4763406217098236,0.10958561301231384,0.4763406217098236,0.8988205790519714,0.9411463316769036,0.04636351764202118,1.1180658340454102,-0.5436738133430481,5.398687362670898,1.0,1.0,4,5,0,1,0.004161185584962368,0.004161185584962368,0.024942919611930847,0.005,0.005,output_head,33
6,0.4826621115207672,-0.0,0.4826621115207672,0.4826621115207672,0.8903245329856873,-0.002120819641277194,1.0031849145889282,-0.5507495403289795,5.770193099975586,0.47626450657844543,0.10962887108325958,0.47626450657844543,0.8988205790519714,0.9411463316769036,0.04594782739877701,1.1187798976898193,-0.5444948077201843,5.401621341705322,1.0,1.0,5,6,0,1,0.0041586533188819885,0.0041586533188819885,0.02494441717863083,0.005,0.005,output_head,33
7,0.48257842659950256,-0.0,0.48257842659950256,0.48257842659950256,0.8903160095214844,-0.0025595417246222496,1.003821849822998,-0.5515757203102112,5.772998809814453,0.4761883616447449,0.10967472940683365,0.4761883616447449,0.8987585306167603,0.9410022943094951,0.045391328632831573,1.119493842124939,-0.5454565286636353,5.404414653778076,1.0,1.0,6,7,0,1,0.004156123381108046,0.004156123381108046,0.024945732206106186,0.005,0.005,output_head,33
8,0.4824948012828827,-0.0,0.4824948012828827,0.4824948012828827,0.890304684638977,-0.00313907815143466,1.0044587850570679,-0.5525426864624023,5.775663375854492,0.4761122763156891,0.10971635580062866,0.4761122763156891,0.8987585306167603,0.9410022943094951,0.045147474855184555,1.1202077865600586,-0.5461056232452393,5.407520294189453,1.0,1.0,7,8,0,1,0.004153595771640539,0.004153595771640539,0.024934925138950348,0.005,0.005,output_head,33
9,0.48241126537323,-0.0,0.48241126537323,0.48241126537323,0.8902989625930786,-0.0034059900790452957,1.0050956010818481,-0.5531970262527466,5.7786407470703125,0.4744430482387543,0.11038672178983688,0.4744430482387543,0.898510217666626,0.940767719168287,0.05069981887936592,1.135170340538025,-0.5494027733802795,5.480061054229736,1.0,1.0,8,9,0,1,0.007560268975794315,0.007560268975794315,0.7179805636405945,0.005,0.005,all,418183
10,0.48062047362327576,0.0,0.48062047362327576,0.48062047362327576,0.890293300151825,0.0015369495376944542,1.0183759927749634,-0.556617796421051,5.848947048187256,0.47179844975471497,0.11178099364042282,0.47179844975471497,0.8988826870918274,0.9408706030021503,0.061548151075839996,1.159605622291565,-0.5529190897941589,5.60123872756958,1.0,1.0,9,10,0,1,0.015684766694903374,0.015684766694903374,0.6336452960968018,0.005,0.005,all,418183
11,0.4777737855911255,0.0,0.4777737855911255,0.4777737855911255,0.8903358578681946,0.011405853554606438,1.0400327444076538,-0.5603537559509277,5.966814994812012,0.46758151054382324,0.11487375199794769,0.46758151054382324,0.8988826870918274,0.9410146403695587,0.08055144548416138,1.1999316215515137,-0.5575454235076904,5.802706241607666,1.0,1.0,10,11,0,1,0.028801891952753067,0.028801891952753067,0.6883522868156433,0.005,0.005,all,418183
12,0.4732365012168884,0.0,0.4732365012168884,0.4732365012168884,0.8903301954269409,0.028762346133589745,1.0756558179855347,-0.565349817276001,6.162349224090576,0.4613058865070343,0.1216571107506752,0.4613058865070343,0.8993792533874512,0.9416628085228967,0.11229225993156433,1.262846827507019,-0.5625704526901245,6.119208335876465,1.0,1.0,11,12,0,1,0.04733766242861748,0.04733766242861748,0.8043570518493652,0.005,0.005,all,418183
13,0.46648749709129333,0.0,0.46648749709129333,0.46648749709129333,0.8903330564498901,0.057922158390283585,1.1311578750610352,-0.5709556341171265,6.469893932342529,0.45242929458618164,0.13621260225772858,0.45242929458618164,0.8999379277229309,0.9421648816321492,0.16320008039474487,1.3580530881881714,-0.5670864582061768,6.600021839141846,1.0,1.0,12,13,0,1,0.07138639688491821,0.07138639688491821,0.9599225521087646,0.005,0.005,all,418183
14,0.45695772767066956,0.0,0.45695772767066956,0.45695772767066956,0.8901769518852234,0.10495632886886597,1.215212345123291,-0.5763463377952576,6.939933776855469,0.4404303729534149,0.16623404622077942,0.4404303729534149,0.9008690118789673,0.9428109921088099,0.2405540943145752,1.499114990234375,-0.5716028809547424,7.311216354370117,1.0,1.0,13,14,0,1,0.10033279657363892,0.10033279657363892,1.1415730714797974,0.005,0.005,all,418183
15,0.44413238763809204,0.0,0.44413238763809204,0.44413238763809204,0.8901571035385132,0.17662791907787323,1.3399333953857422,-0.5821515321731567,7.6409759521484375,0.42495787143707275,0.22335822880268097,0.42495787143707275,0.9013656377792358,0.9429262220027367,0.3560996949672699,1.7050151824951172,-0.5751855373382568,8.348678588867188,1.0,1.0,14,15,0,1,0.13200458884239197,0.13200458884239197,1.3346476554870605,0.005,0.005,all,418183
16,0.42774102091789246,0.0,0.42774102091789246,0.42774102091789246,0.8900350332260132,0.284044474363327,1.5224637985229492,-0.5876199007034302,8.676042556762695,0.4059532880783081,0.32711905241012573,0.4059532880783081,0.9013035297393799,0.9425393787874111,0.5251010656356812,2.0032317638397217,-0.5779613852500916,9.853347778320312,1.0,1.0,15,16,0,1,0.16252340376377106,0.16252340376377106,1.526694655418396,0.005,0.005,all,418183
