epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate,trainable_scope,trainable_parameter_count
0,0.483081191778183,0.10394251346588135,nan,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47672224044799805,0.10937734693288803,0.47672224044799805,0.8988826870918274,0.9410928320832948,0.04836907982826233,1.114495038986206,-0.5396414995193481,5.383940696716309,1.0,1.0,0,0,0,0,nan,nan,0.0,0.005,output_head,33
1,0.483081191778183,-0.0,0.483081191778183,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47664692997932434,0.10941009968519211,0.47664692997932434,0.8988205790519714,0.9410660822864904,0.04854502156376839,1.115191102027893,-0.5398756265640259,5.387292861938477,1.0,1.0,0,1,0,1,0.004671174101531506,0.004671174101531506,0.024377677589654922,0.005,output_head,33
2,0.4829980134963989,0.0,0.4829980134963989,0.4829980134963989,0.8903131484985352,0.0001543374382890761,1.0006197690963745,-0.5469315648078918,5.759486675262451,0.4765717089176178,0.10944150388240814,0.4765717089176178,0.8987585306167603,0.9410475631963949,0.048857975751161575,1.1158870458602905,-0.539972722530365,5.390782356262207,1.0,1.0,1,2,0,1,0.004668353591114283,0.004668353591114283,0.024373173713684082,0.005,output_head,33
3,0.4829147756099701,0.0,0.4829147756099701,0.4829147756099701,0.8902961611747742,0.000445726967882365,1.0012396574020386,-0.5470349788665771,5.763021945953369,0.47649654746055603,0.10947360098361969,0.47649654746055603,0.8987585306167603,0.9410475631963949,0.04913321137428284,1.1165831089019775,-0.5401075482368469,5.394233703613281,1.0,1.0,2,3,0,1,0.004665535409003496,0.004665535409003496,0.024373391643166542,0.005,output_head,33
4,0.4828316271305084,0.0,0.4828316271305084,0.4828316271305084,0.890293300151825,0.000699362310115248,1.001859426498413,-0.5471760630607605,5.766519069671631,0.47642138600349426,0.10950706899166107,0.47642138600349426,0.8987585306167603,0.9410475631963949,0.04930790513753891,1.117279052734375,-0.5403429269790649,5.397584438323975,1.0,1.0,3,4,0,1,0.004662720020860434,0.004662720020860434,0.0243753083050251,0.005,output_head,33
5,0.48274853825569153,0.0,0.48274853825569153,0.48274853825569153,0.8902961611747742,0.0008524724980816245,1.0024791955947876,-0.5474177002906799,5.769915580749512,0.47634634375572205,0.10953771322965622,0.47634634375572205,0.8987585306167603,0.9410475631963949,0.04976179078221321,1.117974877357483,-0.5402990579605103,5.401214599609375,1.0,1.0,4,5,0,1,0.0046599069610238075,0.0046599069610238075,0.024366626515984535,0.005,output_head,33
6,0.4826655387878418,0.0,0.4826655387878418,0.4826655387878418,0.8902904987335205,0.0012847707839682698,1.003098964691162,-0.5473800897598267,5.7735915184021,0.47627130150794983,0.10956878960132599,0.47627130150794983,0.8986964821815491,0.9410372748130086,0.050208356231451035,1.1186708211898804,-0.5402625203132629,5.404836654663086,1.0,1.0,5,6,0,1,0.004657096695154905,0.004657096695154905,0.024365128949284554,0.005,output_head,33
7,0.4825825095176697,0.0,0.4825825095176697,0.4825825095176697,0.8902961611747742,0.001709751901216805,1.0037187337875366,-0.5473498106002808,5.777259349822998,0.4761962294578552,0.1095992848277092,0.4761962294578552,0.8986964821815491,0.9410372748130086,0.050744228065013885,1.1193666458129883,-0.5401365756988525,5.408548355102539,1.0,1.0,6,7,0,1,0.004654288291931152,0.004654288291931152,0.024361517280340195,0.005,output_head,33
8,0.4824995994567871,0.0,0.4824995994567871,0.4824995994567871,0.8903131484985352,0.0022240402176976204,1.0043385028839111,-0.5472301840782166,5.781016826629639,0.47612130641937256,0.10962942987680435,0.47612130641937256,0.8986964821815491,0.9410372748130086,0.051361169666051865,1.1200624704360962,-0.5399296283721924,5.4123406410217285,1.0,1.0,7,8,0,1,0.0046514831483364105,0.0046514831483364105,0.024358078837394714,0.005,output_head,33
9,0.48241668939590454,0.0,0.48241668939590454,0.48241668939590454,0.8903103470802307,0.0028193951584398746,1.004958152770996,-0.547029435634613,5.784854888916016,0.47444212436676025,0.11034395545721054,0.47444212436676025,0.8986343741416931,0.9410228710762678,0.061033543199300766,1.1352825164794922,-0.5393404960632324,5.49005651473999,1.0,1.0,8,9,0,1,0.007657675072550774,0.007657675072550774,0.6916499733924866,0.005,all,418183
10,0.4805864989757538,0.0,0.4805864989757538,0.4805864989757538,0.8904096484184265,0.011959384195506573,1.0185620784759521,-0.5465953946113586,5.863903045654297,0.4718344509601593,0.11180410534143448,0.4718344509601593,0.898510217666626,0.9407697768449643,0.07570914924144745,1.15927255153656,-0.5389801859855652,5.612888336181641,1.0,1.0,9,10,0,1,0.01669786497950554,0.01669786497950554,0.6424822211265564,0.005,all,418183
11,0.47775569558143616,0.0,0.47775569558143616,0.47775569558143616,0.8903756141662598,0.025786304846405983,1.0400751829147339,-0.5464693903923035,5.989545822143555,0.4677105247974396,0.11517155170440674,0.4677105247974396,0.8987585306167603,0.9411957159171579,0.09802757948637009,1.199040412902832,-0.5401193499565125,5.817108631134033,1.0,1.0,10,11,0,1,0.02979828231036663,0.02979828231036663,0.6985991597175598,0.005,all,418183
12,0.4732646942138672,0.0,0.4732646942138672,0.4732646942138672,0.8904294967651367,0.04668765515089035,1.0754992961883545,-0.5479872822761536,6.197962760925293,0.4615446627140045,0.1225939467549324,0.4615446627140045,0.8991930484771729,0.9418994413407821,0.1330064982175827,1.26197350025177,-0.541885495185852,6.142144203186035,1.0,1.0,11,12,0,1,0.04808095097541809,0.04808095097541809,0.8068156838417053,0.005,all,418183
13,0.46653732657432556,0.0,0.46653732657432556,0.46653732657432556,0.8905174732208252,0.0794762447476387,1.1315078735351562,-0.5503318905830383,6.530666828155518,0.4527986943721771,0.13833650946617126,0.4527986943721771,0.8996896147727966,0.942014671234709,0.1872401386499405,1.3580492734909058,-0.54328453540802,6.642160892486572,1.0,1.0,12,13,0,1,0.07180628925561905,0.07180628925561905,0.952446699142456,0.005,all,418183
14,0.45700711011886597,0.0,0.45700711011886597,0.45700711011886597,0.890321671962738,0.1303919404745102,1.2169222831726074,-0.5525871515274048,7.044724941253662,0.4408915936946869,0.1704685389995575,0.4408915936946869,0.9004344940185547,0.9424118028334207,0.26851871609687805,1.502252459526062,-0.5448916554450989,7.3961687088012695,1.0,1.0,13,14,0,1,0.10036126524209976,0.10036126524209976,1.1245883703231812,0.005,all,418183
15,0.4440992474555969,0.0,0.4440992474555969,0.4440992474555969,0.8899044990539551,0.20671510696411133,1.3450366258621216,-0.555453360080719,7.823006629943848,0.42542558908462524,0.2318185269832611,0.42542558908462524,0.9002482891082764,0.9418644608372686,0.389373779296875,1.715529203414917,-0.5458219051361084,8.525230407714844,1.0,1.0,14,15,0,1,0.13166390359401703,0.13166390359401703,1.3096246719360352,0.005,all,418183
