epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate
0,0.5190417766571045,0.3811822235584259,nan,0.6892978549003601,0.8983897566795349,-0.06239066645503044,0.00881178304553032,-0.06848740577697754,-0.02495185285806656,0.5424115657806396,0.40458497405052185,0.6891329288482666,0.9001862406730652,0.9458275461176785,-0.06208045780658722,0.009082446806132793,-0.06841085106134415,-0.026677846908569336,65536.0,65536.0,0,0,0,0,nan,nan,0.0,0.001
1,0.5189562439918518,0.3811822533607483,0.6888698935508728,0.6892978549003601,0.8983840942382812,-0.06239067390561104,0.008811666630208492,-0.06848744302988052,-0.024949179962277412,0.5424116253852844,0.4045850336551666,0.6891329288482666,0.9001862406730652,0.9458275461176785,-0.062080491334199905,0.009082388132810593,-0.0684109553694725,-0.026677466928958893,65536.0,32768.0,0,0,1,0,nan,nan,0.0,0.001
2,0.5190842747688293,0.3811822831630707,0.6895099878311157,0.6892978549003601,0.898381233215332,-0.06239067018032074,0.008811591193079948,-0.06848742812871933,-0.024946436285972595,0.5424115061759949,0.40458494424819946,0.6891328692436218,0.9001862406730652,0.9458275461176785,-0.062080416828393936,0.009082788601517677,-0.06841091066598892,-0.026674721390008926,32768.0,16384.0,0,0,1,0,nan,nan,0.0,0.001
3,0.5190552473068237,0.3811822831630707,0.6893646717071533,0.6892979145050049,0.8983926177024841,-0.06239068880677223,0.00881155300885439,-0.06848740577697754,-0.02494906820356846,0.5424116849899292,0.4045850932598114,0.6891330480575562,0.9001241326332092,0.9457961386649701,-0.062080614268779755,0.009082152508199215,-0.06841085106134415,-0.026679793372750282,16384.0,8192.0,0,0,1,0,nan,nan,0.0,0.001
4,0.519065260887146,0.3811822235584259,0.6894153356552124,0.6892978549003601,0.8983585834503174,-0.062390632927417755,0.008811854757368565,-0.06848745793104172,-0.024945858865976334,0.5424114465713501,0.4045848846435547,0.689132809638977,0.9001862406730652,0.9458275461176785,-0.06208039075136185,0.009082626551389694,-0.06841085106134415,-0.02667837217450142,8192.0,4096.0,0,0,1,0,nan,nan,0.0,0.001
5,0.51903235912323,0.3811822831630707,0.6892502307891846,0.6892979145050049,0.8983926177024841,-0.062390729784965515,0.008811642415821552,-0.06848742812871933,-0.024950960651040077,0.5424115657806396,0.40458497405052185,0.6891329288482666,0.9001862406730652,0.9458275461176785,-0.06208048388361931,0.009082470089197159,-0.0684109553694725,-0.02667534165084362,4096.0,2048.0,0,0,1,0,nan,nan,0.0,0.001
6,0.519039511680603,0.3811822235584259,0.6892863512039185,0.6892978549003601,0.8983699083328247,-0.062390703707933426,0.008811830542981625,-0.06848739087581635,-0.024949276819825172,0.5424115657806396,0.40458497405052185,0.6891329288482666,0.9001241326332092,0.9457637581406834,-0.062080468982458115,0.009082554839551449,-0.06841090321540833,-0.02667788788676262,2048.0,1024.0,0,0,1,0,nan,nan,0.0,0.001
7,0.5190386176109314,0.38118234276771545,0.6892813444137573,0.6892979145050049,0.8983840942382812,-0.06239071860909462,0.008811628445982933,-0.06848742812871933,-0.02495109662413597,0.5424114465713501,0.4045848548412323,0.689132809638977,0.9001862406730652,0.9457961386649701,-0.062080446630716324,0.009082667529582977,-0.0684109553694725,-0.026679059490561485,1024.0,512.0,0,0,1,0,nan,nan,0.0,0.001
8,0.519061803817749,0.3811822235584259,0.6893978118896484,0.6892978549003601,0.8983755707740784,-0.06239071488380432,0.008811751380562782,-0.06848748028278351,-0.02494911290705204,0.5424115657806396,0.40458497405052185,0.6891329288482666,0.9001241326332092,0.9457637581406834,-0.06208048015832901,0.009082520380616188,-0.0684109553694725,-0.026676267385482788,512.0,256.0,0,0,1,0,nan,nan,0.0,0.001
9,0.5190125703811646,0.3811822235584259,0.6891516447067261,0.6892978549003601,0.8983784317970276,-0.06239064782857895,0.008811748586595058,-0.06848745793104172,-0.02494712918996811,0.5424115657806396,0.40458494424819946,0.6891329288482666,0.9001241326332092,0.9457637581406834,-0.06208045780658722,0.009082535281777382,-0.06841106712818146,-0.026677127927541733,256.0,128.0,0,0,1,0,nan,nan,0.0,0.001
