epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate
0,0.5190536975860596,0.38119494915008545,nan,0.6892936825752258,0.8983046412467957,-0.06220723316073418,0.008831135928630829,-0.06830362975597382,-0.024636484682559967,0.5424169301986694,0.4045916199684143,0.6891264319419861,0.9002482891082764,0.9459345453048963,-0.061895329505205154,0.009105558507144451,-0.06822866946458817,-0.02632143534719944,1.0,1.0,0,0,0,0,nan,nan,0.0,0.001
1,0.5189673900604248,0.3811945617198944,0.6888642907142639,0.6892933249473572,0.8982762694358826,-0.06220676004886627,0.008831307291984558,-0.0683039054274559,-0.02463041990995407,0.5424177050590515,0.4045923054218292,0.6891269683837891,0.9001862406730652,0.9459818718684733,-0.0618952177464962,0.009103389456868172,-0.06822630763053894,-0.026319080963730812,1.0,1.0,0,1,0,1,inf,0.0,8.701732440385967e-06,0.001
2,0.5190948247909546,0.3811935484409332,0.689506471157074,0.6892924308776855,0.8983954191207886,-0.06220551207661629,0.00883367471396923,-0.06830376386642456,-0.024604201316833496,0.5424147248268127,0.40458977222442627,0.6891248226165771,0.9003724455833435,0.9459942179285369,-0.061892569065093994,0.009109641425311565,-0.06822754442691803,-0.026357676833868027,1.0,1.0,1,2,0,1,inf,0.0,8.701732440385967e-06,0.001
3,0.5190657377243042,0.38119378685951233,0.689359724521637,0.6892924904823303,0.898418128490448,-0.062204889953136444,0.008833952248096466,-0.06830362975597382,-0.024583838880062103,0.5424157381057739,0.4045906066894531,0.6891255378723145,0.9003103375434875,0.9460559482288547,-0.061893280595541,0.00910743698477745,-0.06822630763053894,-0.026317903771996498,1.0,1.0,2,3,0,1,inf,0.0,8.701732440385967e-06,0.001
4,0.5190751552581787,0.3811931908130646,0.6894099116325378,0.6892918348312378,0.898381233215332,-0.06220452859997749,0.008836300112307072,-0.06830376386642456,-0.024557435885071754,0.5424162149429321,0.40459105372428894,0.6891257762908936,0.9001241326332092,0.9458995648013827,-0.061893537640571594,0.00910745095461607,-0.06822781264781952,-0.026315052062273026,1.0,1.0,3,4,0,1,inf,0.0,8.701732440385967e-06,0.001
5,0.5190432071685791,0.3811941146850586,0.6892454028129578,0.6892926692962646,0.8983443379402161,-0.06220533698797226,0.008833874017000198,-0.06830348819494247,-0.02457932010293007,0.5424152612686157,0.4045902490615845,0.689125120639801,0.9001241326332092,0.9459160262148009,-0.06189247965812683,0.009109548293054104,-0.06822705268859863,-0.026344355195760727,1.0,1.0,4,5,0,1,inf,0.0,8.701732440385967e-06,0.001
6,0.5190494060516357,0.38119328022003174,0.6892805695533752,0.6892919540405273,0.8983869552612305,-0.062204718589782715,0.008835081942379475,-0.0683039054274559,-0.02458302676677704,0.5424148440361023,0.4045898914337158,0.6891247034072876,0.9003103375434875,0.9460538905521776,-0.06189243495464325,0.009109491482377052,-0.068226158618927,-0.026309756562113762,1.0,1.0,5,6,0,1,inf,0.0,8.701732440385967e-06,0.001
7,0.5190497636795044,0.3811943531036377,0.689276933670044,0.6892929673194885,0.8983443379402161,-0.062205590307712555,0.008832800202071667,-0.06830362975597382,-0.02460046112537384,0.5424161553382874,0.40459105372428894,0.6891255378723145,0.9004344940185547,0.9462020432729406,-0.06189233064651489,0.009107611142098904,-0.06822746992111206,-0.026357347145676613,1.0,1.0,6,7,0,1,inf,0.0,8.701732440385967e-06,0.001
8,0.5190726518630981,0.38119402527809143,0.6893932819366455,0.6892925500869751,0.8982450366020203,-0.06220487132668495,0.008833484724164009,-0.06830362975597382,-0.02460552379488945,0.5424164533615112,0.40459126234054565,0.6891258955001831,0.9003103375434875,0.9460744673189502,-0.061893220990896225,0.00910673663020134,-0.06822705268859863,-0.026331033557653427,1.0,1.0,7,8,0,1,inf,0.0,8.701732440385967e-06,0.001
9,0.5190225839614868,0.3811933398246765,0.689146101474762,0.6892919540405273,0.8983017802238464,-0.06220414862036705,0.008835009299218655,-0.0683039054274559,-0.024573924019932747,0.5424156785011292,0.4045906066894531,0.6891253590583801,0.9004344940185547,0.9462349660997768,-0.061892785131931305,0.009107423014938831,-0.06822705268859863,-0.026352614164352417,1.0,1.0,8,9,0,1,inf,0.0,8.701732440385967e-06,0.001
