scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
all_candidates,direct_topk,5,1,988,1.352652073,181.537500000,186.602500000
all_candidates,direct_topk,5,2,891,1.347485185,164.044000000,165.831500000
all_candidates,direct_topk,5,3,768,1.326140642,168.779500000,169.219000000
all_candidates,direct_topk,5,4,300,1.323004961,170.123500000,172.576000000
all_candidates,direct_topk,5,5,779,1.311909199,174.913500000,180.008000000
all_candidates,direct_topk,10,1,988,1.352652073,181.537500000,186.602500000
all_candidates,direct_topk,10,2,891,1.347485185,164.044000000,165.831500000
all_candidates,direct_topk,10,3,768,1.326140642,168.779500000,169.219000000
all_candidates,direct_topk,10,4,300,1.323004961,170.123500000,172.576000000
all_candidates,direct_topk,10,5,779,1.311909199,174.913500000,180.008000000
all_candidates,direct_topk,10,6,1101,1.296095133,145.308000000,154.292000000
all_candidates,direct_topk,10,7,537,1.278423548,152.448000000,159.100000000
all_candidates,direct_topk,10,8,1003,1.272784948,181.605500000,184.121000000
all_candidates,direct_topk,10,9,424,1.237535477,177.977500000,177.066000000
all_candidates,direct_topk,10,10,599,1.220734358,151.010000000,159.574000000
all_candidates,direct_topk,18,1,988,1.352652073,181.537500000,186.602500000
all_candidates,direct_topk,18,2,891,1.347485185,164.044000000,165.831500000
all_candidates,direct_topk,18,3,768,1.326140642,168.779500000,169.219000000
all_candidates,direct_topk,18,4,300,1.323004961,170.123500000,172.576000000
all_candidates,direct_topk,18,5,779,1.311909199,174.913500000,180.008000000
all_candidates,direct_topk,18,6,1101,1.296095133,145.308000000,154.292000000
all_candidates,direct_topk,18,7,537,1.278423548,152.448000000,159.100000000
all_candidates,direct_topk,18,8,1003,1.272784948,181.605500000,184.121000000
all_candidates,direct_topk,18,9,424,1.237535477,177.977500000,177.066000000
all_candidates,direct_topk,18,10,599,1.220734358,151.010000000,159.574000000
all_candidates,direct_topk,18,11,710,1.212427855,157.199500000,160.381000000
all_candidates,direct_topk,18,12,979,1.212182522,148.343500000,156.322500000
all_candidates,direct_topk,18,13,1031,1.190610766,171.198000000,165.984000000
all_candidates,direct_topk,18,14,529,1.164732933,150.290000000,154.440500000
all_candidates,direct_topk,18,15,1136,1.154293895,176.228500000,171.394000000
all_candidates,direct_topk,18,16,290,1.134037495,146.201500000,153.329000000
