region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,fixed_random_bfs,1142609813,512,16,496,225,2000,1976,1,0.050000000,10881.926500000,10859.045000000,10858.782000000,0.256000000,22.881500000,45763,6.500000000,8.359524028,25.328799124,123.594608598,2.333428559,52.193821421,1.000000000
1,fixed_random_bfs,1112073249,512,44,468,580,2000,1976,0,0.000000000,10881.926500000,10849.007500000,10849.000500000,0.000000000,32.919000000,65838,15.400000000,8.359524028,22.306317058,108.366721296,2.360124384,45.965113026,1.000000000
2,fixed_random_bfs,12484918850,512,27,485,255,2000,1976,1,0.050000000,10881.926500000,10877.163500000,10876.939500000,0.217000000,4.763000000,9526,2.950000000,8.359524028,28.183093145,135.541468450,2.295582990,58.197702748,1.000000000
3,fixed_random_bfs,292782963,512,29,483,490,2000,1976,1,0.050000000,10881.926500000,10870.142000000,10869.907500000,0.227500000,11.784500000,23569,4.150000000,8.359524028,22.979725679,110.563833253,2.511216769,47.335988976,1.000000000
4,fixed_random_bfs,479437576,512,18,494,100,2000,1976,33,1.650000000,10881.926500000,10776.335000000,10769.326500000,7.001500000,105.591500000,211183,35.450000000,8.359524028,24.654749790,119.184224149,2.222301762,50.845984242,1.000000000
5,fixed_random_bfs,2163335530,512,38,474,537,2000,1976,12,0.600000000,10881.926500000,10835.769500000,10835.095000000,0.667500000,46.157000000,92314,18.000000000,8.359524028,24.796943262,121.650777049,2.378146073,51.122332267,1.000000000
6,fixed_random_bfs,1518839603,512,30,482,580,2000,1976,1,0.050000000,10881.926500000,10878.501000000,10878.252000000,0.242000000,3.425500000,6851,1.200000000,8.359524028,24.068429297,117.323241155,2.397196941,49.630467868,1.000000000
7,fixed_random_bfs,1327639071,512,21,491,293,2000,1976,1,0.050000000,10881.926500000,10872.467500000,10872.211000000,0.249500000,9.459000000,18918,4.300000000,8.359524028,27.870989119,136.566767998,2.261355561,57.566107736,1.000000000
8,fixed_random_bfs,6094066396,512,32,480,185,2000,1976,1,0.050000000,10881.926500000,10863.042500000,10862.844000000,0.191500000,18.884000000,37768,5.600000000,8.359524028,24.733329999,117.080734000,2.423902842,50.982285108,1.000000000
9,fixed_random_bfs,1322917608,512,38,474,591,2000,1976,1,0.050000000,10881.926500000,10858.077500000,10857.841500000,0.229000000,23.849000000,47698,6.800000000,8.359524028,24.757977651,120.446729949,2.446452894,51.072161240,1.000000000
10,fixed_random_bfs,12454038415,512,46,466,979,2000,1976,34,1.700000000,10881.926500000,10785.799000000,10781.437500000,4.354500000,96.127500000,192255,36.850000000,8.359524028,24.262333528,116.605770505,2.387529883,50.025703617,1.000000000
11,fixed_random_bfs,3200644413,512,24,488,364,2000,1976,0,0.000000000,10881.926500000,10852.865500000,10852.858500000,0.000000000,29.061000000,58122,6.450000000,8.359524028,25.164965008,122.275840605,2.379276597,51.918717899,1.000000000
12,fixed_random_bfs,6768048270,512,27,485,676,2000,1976,0,0.000000000,10881.926500000,10881.384500000,10881.377500000,0.000000000,0.542000000,1084,0.200000000,8.359524028,27.420680587,138.649938455,2.347843787,56.616787604,1.000000000
13,fixed_random_bfs,4665705852,512,26,486,222,2000,1976,10,0.500000000,10881.926500000,10841.590500000,10840.504500000,1.079000000,40.336000000,80672,14.700000000,8.359524028,24.766188012,118.202229251,2.325786120,51.046494300,1.000000000
14,fixed_random_bfs,3241516294,512,44,468,1213,2000,1976,0,0.000000000,10881.926500000,10853.458500000,10853.451500000,0.000000000,28.468000000,56936,10.050000000,8.359524028,27.951260079,135.365884499,2.306333912,57.729386996,1.000000000
15,fixed_random_bfs,4955285396,512,26,486,405,2000,1976,6,0.300000000,10881.926500000,10857.245000000,10855.774000000,1.464000000,24.681500000,49363,7.900000000,8.359524028,22.536362896,106.453989147,2.397782749,46.414521466,1.000000000
16,fixed_random_bfs,497240505,512,43,469,846,2000,1976,23,1.150000000,10881.926500000,10797.915500000,10793.495500000,4.413000000,84.011000000,168022,25.850000000,8.359524028,25.583982088,123.881083406,0.914390042,52.673456152,1.000000000
17,fixed_random_bfs,9073575305,512,46,466,835,2000,1976,92,4.600000000,10881.926500000,10751.715000000,10730.385500000,21.322500000,130.211500000,260423,55.500000000,8.359524028,23.744572498,111.386867198,0.822692111,48.831599197,1.000000000
18,fixed_random_bfs,4074469815,512,25,487,404,2000,1976,7,0.350000000,10881.926500000,10848.348500000,10846.595500000,1.746000000,33.578000000,67156,12.550000000,8.359524028,22.883500435,109.775736747,0.839786246,47.021315242,1.000000000
19,fixed_random_bfs,10562265153,512,23,489,263,2000,1976,0,0.000000000,10881.926500000,10875.024000000,10875.017000000,0.000000000,6.902500000,13805,2.150000000,8.359524028,22.786812302,111.183027603,0.809213617,46.826366977,1.000000000
20,fixed_random_bfs,1801523308,512,27,485,184,2000,1976,1,0.050000000,10881.926500000,10858.076000000,10858.063000000,0.006000000,23.850500000,47701,5.750000000,8.359524028,25.836538078,124.191119553,1.055367802,53.220458449,1.000000000
21,fixed_random_bfs,1548076025,512,36,476,595,2000,1976,18,0.900000000,10881.926500000,10806.487000000,10802.780000000,3.700000000,75.439500000,150879,27.750000000,8.359524028,26.119419430,127.809499498,1.151039258,53.764131424,1.000000000
22,fixed_random_bfs,5185111392,512,31,481,430,2000,1976,6,0.300000000,10881.926500000,10850.168500000,10848.752500000,1.409000000,31.758000000,63516,10.000000000,8.359524028,23.625284509,113.606938102,1.118024183,48.589489797,1.000000000
23,fixed_random_bfs,445353619,512,26,486,509,2000,1976,5,0.250000000,10881.926500000,10855.211000000,10853.940000000,1.264000000,26.715500000,53431,8.600000000,8.359524028,25.963487629,125.380255004,1.119269058,53.471245847,1.000000000
24,fixed_random_bfs,5284628346,512,26,486,625,2000,1976,0,0.000000000,10881.926500000,10878.879500000,10878.872500000,0.000000000,3.047000000,6094,2.450000000,8.359524028,28.005825497,134.211659148,1.130700347,57.723213585,1.000000000
25,fixed_random_bfs,10892466852,512,32,480,584,2000,1976,45,2.250000000,10881.926500000,10830.076000000,10820.157500000,9.911500000,51.850500000,103701,19.150000000,8.359524028,27.403405553,131.507477753,1.130435140,56.394703700,1.000000000
26,fixed_random_bfs,1110698247,512,44,468,372,2000,1976,174,8.700000000,10881.926500000,10699.082000000,10678.482000000,20.593000000,182.844500000,365689,68.350000000,8.359524028,25.644359693,124.656851901,1.062728886,52.741088149,1.000000000
27,fixed_random_bfs,13426945403,512,29,483,704,2000,1976,1,0.050000000,10881.926500000,10869.400500000,10869.143000000,0.250500000,12.526000000,25052,4.700000000,8.359524028,30.398056847,149.930372753,1.066931971,62.670920960,1.000000000
