run_id,completed_at,scan_mode,experiment_axis,strategy,seed,query_count,requested_region_count,actual_region_count,region_size,original_node_count,original_edge_count,compressed_node_count,compressed_edge_count,internal_node_count,shortcut_count,fallback_query_count,fallback_rate_pct,preprocessing_seconds,evaluation_wall_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,expanded_change_pct,faster_query_rate_pct,median_delta_ms,correctness_rate
random_bfs_r50_s512_seed1,2026-07-11T20:23:46+08:00,controlled,region_count,random_bfs,1,98082,50,50,512,133839,221589,109688,202263,24151,22637,34656,35.333700,1.429253,734.193289,84.686756,75.782883,-10.513891,384.201035,338.421965,-11.915395,10741.695153,9291.105187,-13.504293,61.773822,-1.637900,1.000000
random_bfs_r50_s512_seed2,2026-07-11T20:34:40+08:00,controlled,region_count,random_bfs,2,98082,50,50,512,133839,221589,109608,198867,24231,19107,32092,32.719561,1.264395,652.755323,74.924012,68.228565,-8.936317,340.404075,303.772610,-10.761171,10741.695153,9515.432240,-11.415916,59.830550,-0.734600,1.000000
random_bfs_r50_s512_seed3,2026-07-11T20:43:42+08:00,controlled,region_count,random_bfs,3,98082,50,50,512,133839,221589,109705,200460,24134,20383,39374,40.143961,1.251510,540.050484,61.255555,56.541927,-7.695023,263.296760,239.799775,-8.924145,10741.695153,9546.951918,-11.122483,58.261455,-0.367900,1.000000
random_bfs_r50_s512_seed4,2026-07-11T20:49:56+08:00,controlled,region_count,random_bfs,4,98082,50,50,512,133839,221589,109699,202195,24140,21500,23792,24.257254,1.469264,371.400176,39.465703,35.514486,-10.011775,176.129795,157.387725,-10.641056,10741.695153,9402.887981,-12.463649,61.774841,-0.469550,1.000000
random_bfs_r50_s512_seed5,2026-07-11T20:57:06+08:00,controlled,region_count,random_bfs,5,98082,50,50,512,133839,221589,109647,200131,24192,20214,35692,36.389959,1.403301,428.042107,46.805448,41.779481,-10.737997,209.502190,185.548350,-11.433694,10741.695153,9290.864970,-13.506529,60.430048,-0.471000,1.000000
od_hotspot_bfs_r50_s512,2026-07-11T21:05:01+08:00,controlled,region_count,od_hotspot_bfs,,98082,50,50,512,133839,221589,109861,205846,23978,23248,75051,76.518627,3.325951,471.229874,47.419006,46.547089,-1.838749,212.813835,211.750885,-0.499474,10741.695153,10149.688016,-5.511301,54.171000,-0.167800,1.000000
random_bfs_r100_s512_seed1,2026-07-11T21:19:14+08:00,controlled,region_count,random_bfs,1,98082,100,100,512,133839,221589,85394,177781,48445,40968,54712,55.781897,4.069402,848.359413,98.308529,86.106525,-12.411948,444.032315,384.716600,-13.358423,10741.695153,9140.016711,-14.910854,61.627006,-1.743050,1.000000
random_bfs_r100_s512_seed2,2026-07-11T21:33:11+08:00,controlled,region_count,random_bfs,2,98082,100,100,512,133839,221589,85424,177957,48415,38657,51791,52.803776,5.025811,830.997171,97.169877,84.335320,-13.208371,439.166030,381.205130,-13.197947,10741.695153,9022.821619,-16.001883,63.436716,-2.120800,1.000000
random_bfs_r100_s512_seed3,2026-07-11T21:47:16+08:00,controlled,region_count,random_bfs,3,98082,100,100,512,133839,221589,85397,175160,48442,37261,59140,60.296487,3.987743,840.325855,98.050475,85.698143,-12.597931,443.818485,378.347515,-14.751745,10741.695153,9113.051498,-15.161887,63.132889,-2.197600,1.000000
random_bfs_r100_s512_seed4,2026-07-11T22:01:24+08:00,controlled,region_count,random_bfs,4,98082,100,100,512,133839,221589,85408,178142,48431,39745,55179,56.258029,5.003709,842.228379,97.841040,86.077520,-12.023093,442.495450,377.238890,-14.747397,10741.695153,9165.897922,-14.669912,63.373504,-1.994650,1.000000
