method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE,current_y,0,7,436149.92634375,4637703.13221875,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,0,8,436149.92634375,4640096.62278125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,0,9,436149.92634375,4642490.11334375,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,1,8,437232.03903125,4640096.62278125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,2,6,438314.15171875,4635309.64165625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,2,8,438314.15171875,4640096.62278125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,2,9,438314.15171875,4642490.11334375,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,3,3,439396.26440625,4628129.169968749,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,3,5,439396.26440625,4632916.15109375,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,3,8,439396.26440625,4640096.62278125,1,False,-191.0,-191.0,-191.0,-191.0,0.0,0.0,1.0,0.0
BRIDGE,current_y,3,9,439396.26440625,4642490.11334375,6,True,19.11111111111111,0.0,0.0,14.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
BRIDGE,current_y,3,10,439396.26440625,4644883.60390625,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,3,11,439396.26440625,4647277.09446875,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,4,5,440478.37709375,4632916.15109375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,4,7,440478.37709375,4637703.13221875,1,False,-2.6666666666666665,-2.6666666666666665,-2.6666666666666665,-2.6666666666666665,0.0,0.0,1.0,0.0
BRIDGE,current_y,4,8,440478.37709375,4640096.62278125,5,True,-119.2,-2.0,-223.0,0.0,0.0,0.4,0.6,0.0
BRIDGE,current_y,4,9,440478.37709375,4642490.11334375,10,True,-16.033333333333335,0.0,0.0,0.0,0.0,0.9,0.1,0.0
BRIDGE,current_y,4,10,440478.37709375,4644883.60390625,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,4,11,440478.37709375,4647277.09446875,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,5,6,441560.48978125,4635309.64165625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,5,7,441560.48978125,4637703.13221875,2,False,-265.0,-265.0,-397.5,-132.5,0.0,0.5,0.5,0.0
BRIDGE,current_y,5,8,441560.48978125,4640096.62278125,9,True,165.5185185185185,73.0,4.333333333333333,114.33333333333333,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.3333333333333333
BRIDGE,current_y,5,9,441560.48978125,4642490.11334375,14,True,17.976190476190474,3.1666666666666665,-33.0,29.25,0.5,0.14285714285714285,0.35714285714285715,0.14285714285714285
BRIDGE,current_y,5,10,441560.48978125,4644883.60390625,5,True,-11.73333333333333,0.0,0.0,0.0,0.2,0.6,0.2,0.0
BRIDGE,current_y,5,11,441560.48978125,4647277.09446875,1,False,-15.666666666666666,-15.666666666666666,-15.666666666666666,-15.666666666666666,0.0,0.0,1.0,0.0
BRIDGE,current_y,5,13,441560.48978125,4652064.07559375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,5,15,441560.48978125,4656851.05671875,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
