method,window,stratification,quartile,query_count,scale_mean,baseline_expanded_mean,absolute_gain_mean,expanded_reduction_pct,delta_vs_z0_mean,improved_vs_z0_query_fraction
BRIDGE,current_y,baseline_expanded,1,500,264.572,264.572,-257.394,-97.28693890509953,-7.099999999999996,0.412
BRIDGE,current_y,baseline_expanded,2,500,940.872,940.872,-47.51466666666667,-5.050067030017544,-37.74666666666667,0.422
BRIDGE,current_y,baseline_expanded,3,500,2424.788,2424.788,450.75066666666663,18.589281482202445,-51.94933333333333,0.448
BRIDGE,current_y,baseline_expanded,4,500,9663.002,9663.002,2462.744,25.486324022286215,-148.184,0.378
BRIDGE,current_y,od_span_m,1,500,736.5561502505105,348.066,-246.388,-70.78772416725559,-25.682,0.414
BRIDGE,current_y,od_span_m,2,500,1428.0319544598442,1060.596,20.047333333333334,1.890195072707548,-47.782666666666664,0.408
BRIDGE,current_y,od_span_m,3,500,2312.7261811515727,2526.848,488.7660000000001,19.342912593080396,-68.412,0.42
BRIDGE,current_y,od_span_m,4,500,4956.09328263983,9357.724,2346.1606666666667,25.071915635326107,-103.10333333333334,0.418
BRIDGE,future_f,baseline_expanded,1,500,237.718,237.718,-265.70466666666664,-111.77305322553046,-2.592666666666668,0.402
BRIDGE,future_f,baseline_expanded,2,500,953.57,953.57,-29.34466666666667,-3.077347931108007,-20.57266666666667,0.476
BRIDGE,future_f,baseline_expanded,3,500,2558.628,2558.628,474.8026666666667,18.55692451840074,-60.20933333333333,0.458
BRIDGE,future_f,baseline_expanded,4,500,9211.758,9211.758,2449.206666666667,26.587831189949465,-128.88333333333335,0.408
BRIDGE,future_f,od_span_m,1,500,679.2156527441647,302.914,-246.9333333333333,-81.51928710238991,-1.3093333333333357,0.42
BRIDGE,future_f,od_span_m,2,500,1431.105033325665,1037.444,1.7280000000000073,0.16656320726709362,-37.968,0.454
BRIDGE,future_f,od_span_m,3,500,2403.3022056659015,2709.55,537.9546666666668,19.854022500661234,-98.96333333333334,0.416
BRIDGE,future_f,od_span_m,4,500,4883.9802446856165,8911.766,2336.2106666666664,26.214901363732686,-74.01733333333334,0.454
BRIDGE-B,current_y,baseline_expanded,1,500,264.572,264.572,-256.91400000000004,-97.10551381098529,-6.620000000000002,0.248
BRIDGE-B,current_y,baseline_expanded,2,500,940.872,940.872,-9.404,-0.9994983377122488,0.364,0.352
BRIDGE-B,current_y,baseline_expanded,3,500,2424.788,2424.788,448.2006666666667,18.48411764932302,-54.499333333333325,0.374
BRIDGE-B,current_y,baseline_expanded,4,500,9663.002,9663.002,2407.8966666666665,24.91872263574681,-203.03133333333332,0.338
BRIDGE-B,current_y,od_span_m,1,500,736.5561502505105,348.066,-230.804,-66.31041239305186,-10.097999999999999,0.274
BRIDGE-B,current_y,od_span_m,2,500,1428.0319544598442,1060.596,49.70333333333334,4.686358739174327,-18.12666666666667,0.33
BRIDGE-B,current_y,od_span_m,3,500,2312.7261811515727,2526.848,498.7233333333333,19.736974021917153,-58.45466666666667,0.356
BRIDGE-B,current_y,od_span_m,4,500,4956.09328263983,9357.724,2272.1566666666668,24.281082308760823,-177.10733333333332,0.352
BRIDGE-B,future_f,baseline_expanded,1,500,237.718,237.718,-264.0453333333333,-111.07502727321172,-0.9333333333333339,0.27
BRIDGE-B,future_f,baseline_expanded,2,500,953.57,953.57,-17.604666666666656,-1.8461850379800844,-8.832666666666665,0.344
BRIDGE-B,future_f,baseline_expanded,3,500,2558.628,2558.628,465.094,18.177476366240032,-69.918,0.376
BRIDGE-B,future_f,baseline_expanded,4,500,9211.758,9211.758,2369.647333333333,25.72415963742572,-208.44266666666667,0.326
BRIDGE-B,future_f,od_span_m,1,500,679.2156527441647,302.914,-238.27266666666662,-78.66016977315898,7.351333333333332,0.312
BRIDGE-B,future_f,od_span_m,2,500,1431.105033325665,1037.444,8.098666666666672,0.7806365130712264,-31.59733333333333,0.314
BRIDGE-B,future_f,od_span_m,3,500,2403.3022056659015,2709.55,550.9593333333332,20.333979197037635,-85.95866666666666,0.34
BRIDGE-B,future_f,od_span_m,4,500,4883.9802446856165,8911.766,2232.306,25.048974580346933,-177.922,0.35
