method,window,seed,stratum,query_count,delta_mean,delta_median,improved_query_fraction,tied_query_fraction,degraded_query_fraction
BRIDGE,current_y,42,head,1868,-58.80299785867238,-6.0,0.43147751605995716,0.059957173447537475,0.5085653104925053
BRIDGE,current_y,42,non_head,132,-15.568181818181818,0.0,0.12878787878787878,0.75,0.12121212121212122
BRIDGE,current_y,43,head,1868,-45.396145610278374,0.0,0.4421841541755889,0.07655246252676659,0.48126338329764456
BRIDGE,current_y,43,non_head,132,-0.3560606060606061,0.0,0.06818181818181818,0.8863636363636364,0.045454545454545456
BRIDGE,current_y,44,head,1868,-91.5813704496788,-6.5,0.3688436830835118,0.11723768736616702,0.5139186295503212
BRIDGE,current_y,44,non_head,132,2.6515151515151514,0.0,0.15151515151515152,0.8181818181818182,0.030303030303030304
BRIDGE,future_f,42,head,1892,-44.961945031712474,0.0,0.4487315010570824,0.05179704016913319,0.49947145877378435
BRIDGE,future_f,42,non_head,108,17.11111111111111,0.0,0.14814814814814814,0.7407407407407407,0.1111111111111111
BRIDGE,future_f,43,head,1892,-32.6791754756871,0.0,0.45190274841437633,0.07241014799154334,0.47568710359408034
BRIDGE,future_f,43,non_head,108,30.175925925925927,0.0,0.12962962962962962,0.8333333333333334,0.037037037037037035
BRIDGE,future_f,44,head,1892,-95.05919661733616,-7.0,0.36363636363636365,0.11945031712473574,0.5169133192389006
BRIDGE,future_f,44,non_head,108,30.13888888888889,0.0,0.2222222222222222,0.7592592592592593,0.018518518518518517
BRIDGE-B,current_y,42,head,1868,-59.01338329764454,0.0,0.3335117773019272,0.1809421841541756,0.4855460385438972
BRIDGE-B,current_y,42,non_head,132,13.159090909090908,0.0,0.1893939393939394,0.7803030303030303,0.030303030303030304
BRIDGE-B,current_y,43,head,1868,-59.01338329764454,0.0,0.3335117773019272,0.1809421841541756,0.4855460385438972
BRIDGE-B,current_y,43,non_head,132,13.159090909090908,0.0,0.1893939393939394,0.7803030303030303,0.030303030303030304
BRIDGE-B,current_y,44,head,1868,-97.02837259100643,-11.0,0.31745182012847967,0.15524625267665954,0.5273019271948608
BRIDGE-B,current_y,44,non_head,132,19.46212121212121,0.0,0.2196969696969697,0.75,0.030303030303030304
BRIDGE-B,future_f,42,head,1892,-66.77272727272727,-2.0,0.3123678646934461,0.18181818181818182,0.5058139534883721
BRIDGE-B,future_f,42,non_head,108,19.703703703703702,0.0,0.25925925925925924,0.6666666666666666,0.07407407407407407
BRIDGE-B,future_f,43,head,1892,-66.77272727272727,-2.0,0.3123678646934461,0.18181818181818182,0.5058139534883721
BRIDGE-B,future_f,43,non_head,108,19.703703703703702,0.0,0.25925925925925924,0.6666666666666666,0.07407407407407407
BRIDGE-B,future_f,44,head,1892,-99.90750528541226,-14.0,0.32082452431289643,0.1506342494714588,0.5285412262156448
BRIDGE-B,future_f,44,non_head,108,48.583333333333336,0.0,0.3055555555555556,0.6481481481481481,0.046296296296296294
BRIDGE,current_y,seed_mean,head,1868,-65.26017130620986,-17.0,0.43254817987152033,0.0417558886509636,0.525695931477516
BRIDGE,current_y,seed_mean,non_head,132,-4.424242424242424,0.0,0.16666666666666666,0.7272727272727273,0.10606060606060606
BRIDGE,future_f,seed_mean,head,1892,-57.566772374911906,-6.0,0.44820295983086683,0.03858350951374207,0.5132135306553911
BRIDGE,future_f,seed_mean,non_head,108,25.80864197530864,0.0,0.2222222222222222,0.6851851851851852,0.09259259259259259
BRIDGE-B,current_y,seed_mean,head,1868,-71.68504639543184,-2.0,0.33458244111349034,0.15524625267665954,0.5101713062098501
BRIDGE-B,current_y,seed_mean,non_head,132,15.26010101010101,0.0,0.23484848484848486,0.75,0.015151515151515152
BRIDGE-B,future_f,seed_mean,head,1892,-77.8176532769556,-7.833333333333334,0.32928118393234673,0.1511627906976744,0.5195560253699789
BRIDGE-B,future_f,seed_mean,non_head,108,29.330246913580247,0.0,0.32407407407407407,0.6203703703703703,0.05555555555555555
