method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE,current_y,1,9,-46775.700781249994,168651.083625,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,1,11,-46775.700781249994,170807.383125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,1,15,-46775.700781249994,175119.982125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,current_y,2,6,-45778.30596875,165416.634375,3,False,12.333333333333334,0.0,0.0,18.5,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
BRIDGE,current_y,2,7,-45778.30596875,166494.784125,5,True,-135.4,-87.0,-100.0,-13.0,0.0,0.2,0.8,0.0
BRIDGE,current_y,2,8,-45778.30596875,167572.933875,1,False,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1.0,0.0
BRIDGE,current_y,2,9,-45778.30596875,168651.083625,1,False,269.6666666666667,269.6666666666667,269.6666666666667,269.6666666666667,1.0,0.0,0.0,1.0
BRIDGE,current_y,2,10,-45778.30596875,169729.233375,2,False,302.6666666666667,302.6666666666667,248.0,357.3333333333333,1.0,0.0,0.0,0.5
BRIDGE,current_y,2,11,-45778.30596875,170807.383125,1,False,266.6666666666667,266.6666666666667,266.6666666666667,266.6666666666667,1.0,0.0,0.0,1.0
BRIDGE,current_y,2,12,-45778.30596875,171885.532875,1,False,-14.666666666666666,-14.666666666666666,-14.666666666666666,-14.666666666666666,0.0,0.0,1.0,0.0
BRIDGE,current_y,3,5,-44780.91115625,164338.48462499998,7,True,-102.85714285714286,-28.0,-126.5,-8.0,0.0,0.14285714285714285,0.8571428571428571,0.0
BRIDGE,current_y,3,6,-44780.91115625,165416.634375,17,True,-40.05882352941177,-37.0,-159.0,-5.0,0.23529411764705882,0.0,0.7647058823529411,0.23529411764705882
BRIDGE,current_y,3,7,-44780.91115625,166494.784125,21,True,93.71428571428571,119.33333333333333,0.0,230.0,0.5714285714285714,0.19047619047619047,0.23809523809523808,0.5714285714285714
BRIDGE,current_y,3,8,-44780.91115625,167572.933875,7,True,224.14285714285714,232.0,-62.49999999999999,515.0,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143
BRIDGE,current_y,3,9,-44780.91115625,168651.083625,1,False,268.0,268.0,268.0,268.0,1.0,0.0,0.0,1.0
BRIDGE,current_y,3,10,-44780.91115625,169729.233375,5,True,140.8,167.66666666666666,97.33333333333333,185.66666666666666,1.0,0.0,0.0,1.0
BRIDGE,current_y,3,11,-44780.91115625,170807.383125,3,False,232.44444444444446,266.6666666666667,210.16666666666669,271.83333333333337,1.0,0.0,0.0,1.0
BRIDGE,current_y,3,14,-44780.91115625,174041.832375,2,False,94.16666666666666,94.16666666666666,39.916666666666664,148.41666666666666,0.5,0.0,0.5,0.0
BRIDGE,current_y,4,5,-43783.51634375,164338.48462499998,3,False,106.0,92.0,33.0,172.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
