method,window,stratification,quartile,query_count,scale_mean,baseline_expanded_mean,absolute_gain_mean,expanded_reduction_pct,delta_vs_z0_mean,improved_vs_z0_query_fraction
BRIDGE,current_y,baseline_expanded,1,500,660.5,660.5,-24.545999999999985,-3.7162755488266486,-51.674,0.318
BRIDGE,current_y,baseline_expanded,2,500,2928.61,2928.61,714.814,24.40796145611741,-46.998,0.418
BRIDGE,current_y,baseline_expanded,3,500,7923.85,7923.85,2008.8653333333332,25.352137323817754,63.06733333333334,0.548
BRIDGE,current_y,baseline_expanded,4,500,32014.746,32014.746,4956.855333333333,15.483038139154162,91.00733333333335,0.654
BRIDGE,current_y,od_span_m,1,500,910.0353896897412,894.54,24.929999999999993,2.7869072372392543,-58.648,0.316
BRIDGE,current_y,od_span_m,2,500,1979.0065697212003,3184.186,770.4953333333334,24.197560485892893,-35.21466666666667,0.428
BRIDGE,current_y,od_span_m,3,500,3180.64690375433,7959.588,1979.2226666666668,24.865893393812176,57.63666666666666,0.556
BRIDGE,current_y,od_span_m,4,500,6597.545942745465,31489.392,4881.340666666667,15.501539904824662,91.62866666666666,0.638
BRIDGE,future_f,baseline_expanded,1,500,727.108,727.108,-22.228,-3.0570424201081536,-81.014,0.292
BRIDGE,future_f,baseline_expanded,2,500,3148.604,3148.604,771.9926666666668,24.51856971110583,-36.49933333333333,0.406
BRIDGE,future_f,baseline_expanded,3,500,8177.054,8177.054,2066.3473333333336,25.2700707777316,49.45733333333334,0.528
BRIDGE,future_f,baseline_expanded,4,500,30464.12,30464.12,4749.905333333333,15.591802203160098,83.14533333333333,0.606
BRIDGE,future_f,od_span_m,1,500,933.3285906402571,906.952,15.894666666666657,1.7525367016850557,-86.57333333333332,0.29
BRIDGE,future_f,od_span_m,2,500,2047.9132785919778,3426.638,866.9826666666668,25.301262247913748,-3.68533333333333,0.446
BRIDGE,future_f,od_span_m,3,500,3234.8602199306506,8197.152,2011.1666666666665,24.5349441692269,29.030666666666665,0.508
BRIDGE,future_f,od_span_m,4,500,6398.284964624549,29986.144,4671.973333333333,15.5804405305775,76.31733333333332,0.588
BRIDGE-B,current_y,baseline_expanded,1,500,660.5,660.5,26.266,3.9766843300529904,-0.862,0.166
BRIDGE-B,current_y,baseline_expanded,2,500,2928.61,2928.61,812.218,27.733907894871628,50.406,0.446
BRIDGE-B,current_y,baseline_expanded,3,500,7923.85,7923.85,2025.024,25.556061762905657,79.226,0.624
BRIDGE-B,current_y,baseline_expanded,4,500,32014.746,32014.746,5038.99,15.73959074983759,173.142,0.802
BRIDGE-B,current_y,od_span_m,1,500,910.0353896897412,894.54,81.324,9.091152994835335,-2.254,0.182
BRIDGE-B,current_y,od_span_m,2,500,1979.0065697212003,3184.186,850.438,26.70817596710745,44.728,0.446
BRIDGE-B,current_y,od_span_m,3,500,3180.64690375433,7959.588,2002.422,25.15735739085993,80.836,0.592
BRIDGE-B,current_y,od_span_m,4,500,6597.545942745465,31489.392,4968.314,15.777738738175701,178.602,0.818
BRIDGE-B,future_f,baseline_expanded,1,500,727.108,727.108,66.724,9.176628506356689,7.938,0.186
BRIDGE-B,future_f,baseline_expanded,2,500,3148.604,3148.604,852.938,27.08940216044952,44.446,0.464
BRIDGE-B,future_f,baseline_expanded,3,500,8177.054,8177.054,2093.048,25.596602394945663,76.158,0.63
BRIDGE-B,future_f,baseline_expanded,4,500,30464.12,30464.12,4843.024,15.89746889127275,176.264,0.766
BRIDGE-B,future_f,od_span_m,1,500,933.3285906402571,906.952,109.508,12.074288385713908,7.04,0.194
BRIDGE-B,future_f,od_span_m,2,500,2047.9132785919778,3426.638,913.78,26.666954606818695,43.112,0.47
BRIDGE-B,future_f,od_span_m,3,500,3234.8602199306506,8197.152,2049.174,24.998609273074354,67.038,0.594
BRIDGE-B,future_f,od_span_m,4,500,6398.284964624549,29986.144,4783.272,15.951607515791293,187.616,0.788
